,2026-06-30,2026-03-31,2025-12-31,2025-06-30,2025-03-31,2024-12-31
Tax Effect Of Unusual Items,84349954.952358,50944666.0,14672049.678741,18518580.094679,158873160.0,
Tax Rate For Calcs,0.247037,0.3455,0.165921,0.187653,0.34,
Normalized EBITDA,2192589000.0,1015306000.0,2144115000.0,2579041000.0,2397390000.0,
Total Unusual Items,341446000.0,147452000.0,88428000.0,98685000.0,467274000.0,
Total Unusual Items Excluding Goodwill,341446000.0,147452000.0,88428000.0,98685000.0,467274000.0,
Net Income From Continuing Operation Net Minority Interest,386580000.0,-530056000.0,81253000.0,572066000.0,401242000.0,
Reconciled Depreciation,1158958000.0,1162379000.0,1244176000.0,1126726000.0,1298841000.0,
Reconciled Cost Of Revenue,3403443000.0,4441931000.0,3683043000.0,3097745000.0,3223998000.0,
EBITDA,2534035000.0,1162758000.0,2232543000.0,2677726000.0,2864664000.0,
EBIT,1375077000.0,379000.0,988367000.0,1551000000.0,1565823000.0,
Net Interest Income,-954456000.0,-857478000.0,-872902000.0,-940983000.0,-910631000.0,
Interest Expense,861665000.0,759721000.0,786349000.0,830459000.0,797608000.0,
Interest Income,,4671000.0,-16267000.0,,5415000.0,-21028000.0
Normalized Income,129483954.952358,-626563334.0,7497049.678741,491899580.094679,92841160.0,
Net Income From Continuing And Discontinued Operation,386580000.0,-530056000.0,81253000.0,572066000.0,401242000.0,
Total Expenses,4204686000.0,5190939000.0,4366164000.0,3903899000.0,3904115000.0,
Diluted NI Availto Com Stockholders,386580000.0,-530056000.0,81253000.0,572066000.0,401242000.0,
Net Income Common Stockholders,386580000.0,-530056000.0,81253000.0,572066000.0,401242000.0,
Otherunder Preferred Stock Dividend,0.0,0.0,0.0,0.0,0.0,
Net Income,386580000.0,-530056000.0,81253000.0,572066000.0,401242000.0,
Minority Interests,0.0,-33080000.0,-87246000.0,-13263000.0,-45257000.0,
Net Income Including Noncontrolling Interests,386580000.0,-496976000.0,168499000.0,585329000.0,446499000.0,
Net Income Continuous Operations,386580000.0,-496976000.0,168499000.0,585329000.0,446499000.0,
Tax Provision,126832000.0,-262366000.0,33519000.0,135212000.0,321716000.0,
Pretax Income,513412000.0,-759342000.0,202018000.0,720541000.0,768215000.0,
Other Non Operating Income Expenses,-6135000.0,-20178000.0,,-445000.0,-37072000.0,
Special Income Charges,87940000.0,64378000.0,179878000.0,-65922000.0,747000.0,
Other Special Charges,-87940000.0,-64378000.0,-179878000.0,65922000.0,-747000.0,
Net Non Operating Interest Income Expense,-954456000.0,-857478000.0,-872902000.0,-940983000.0,-910631000.0,
Total Other Finance Cost,92791000.0,102428000.0,70286000.0,110524000.0,118438000.0,
Interest Expense Non Operating,861665000.0,759721000.0,786349000.0,830459000.0,797608000.0,
Interest Income Non Operating,,4671000.0,-16267000.0,,5415000.0,-21028000.0
Operating Income,946026000.0,-244982000.0,799140000.0,1343303000.0,954419000.0,
Operating Expense,801243000.0,749008000.0,683121000.0,806154000.0,680117000.0,
Other Operating Expenses,23464000.0,9929000.0,-117940000.0,25146000.0,9421000.0,
Depreciation And Amortization In Income Statement,22880000.0,18441000.0,24935000.0,24376000.0,21622000.0,
Depreciation Income Statement,22880000.0,18441000.0,24935000.0,24376000.0,21622000.0,
Selling General And Administration,564993000.0,519725000.0,596920000.0,576012000.0,464131000.0,
Selling And Marketing Expense,453186000.0,409530000.0,436979000.0,476142000.0,341154000.0,
General And Administrative Expense,111807000.0,110195000.0,159941000.0,99870000.0,122977000.0,
Gross Profit,1747269000.0,504026000.0,1482261000.0,2149457000.0,1634536000.0,
Cost Of Revenue,3403443000.0,4441931000.0,3683043000.0,3097745000.0,3223998000.0,
Total Revenue,5150712000.0,4945957000.0,5165304000.0,5247202000.0,4858534000.0,
Operating Revenue,5150712000.0,4945957000.0,5165304000.0,5247202000.0,4858534000.0,
