,2026-03-31,2025-12-31,2025-09-30,2025-06-30,2025-03-31,2024-12-31
Free Cash Flow,-29863000.0,-137832000.0,-15746000.0,24714000.0,-106748000.0,
Repurchase Of Capital Stock,-39196000.0,,,,,0.0
Repayment Of Debt,-75460000.0,-83233000.0,-75252000.0,-101349000.0,-37164000.0,
Issuance Of Debt,117046000.0,111824000.0,112658000.0,234021000.0,85708000.0,
Issuance Of Capital Stock,,20903000.0,6305000.0,-1361000.0,9992000.0,28018000.0
Capital Expenditure,-18807000.0,-7303000.0,-9665000.0,-124000.0,-1174000.0,
End Cash Position,191250000.0,184489000.0,111548000.0,125507000.0,112129000.0,
Beginning Cash Position,184489000.0,111548000.0,125507000.0,112129000.0,98937000.0,
Changes In Cash,6761000.0,72941000.0,-13959000.0,13378000.0,13192000.0,
Financing Cash Flow,-26271000.0,137497000.0,12554000.0,80811000.0,-24704000.0,
Net Other Financing Charges,1339000.0,387727000.0,-2415000.0,-1060000.0,1106000.0,
Cash Dividends Paid,-30000000.0,-299201000.0,-28380000.0,-49640000.0,-84000000.0,
Common Stock Dividend Paid,-30000000.0,-299201000.0,-28380000.0,-49640000.0,-84000000.0,
Net Common Stock Issuance,-39196000.0,20903000.0,6305000.0,-1361000.0,9992000.0,
Common Stock Payments,-39196000.0,,,,,0.0
Common Stock Issuance,,20903000.0,6305000.0,-1361000.0,9992000.0,28018000.0
Net Issuance Payments Of Debt,41586000.0,28591000.0,37406000.0,132672000.0,48544000.0,
Net Long Term Debt Issuance,41586000.0,28591000.0,37406000.0,132672000.0,48544000.0,
Long Term Debt Payments,-75460000.0,-83233000.0,-75252000.0,-101349000.0,-37164000.0,
Long Term Debt Issuance,117046000.0,111824000.0,112658000.0,234021000.0,85708000.0,
Investing Cash Flow,44088000.0,65973000.0,-20432000.0,-92271000.0,143470000.0,
Net Other Investing Changes,-93000.0,127556000.0,-15238000.0,-97811000.0,3938000.0,
Dividends Received Cfi,6752000.0,9212000.0,12150000.0,18312000.0,41731000.0,
Net Investment Purchase And Sale,56236000.0,-62620000.0,-7679000.0,-12648000.0,98975000.0,
Sale Of Investment,56236000.0,-18906000.0,-7679000.0,-16727000.0,103054000.0,
Purchase Of Investment,,-43714000.0,,,-4079000.0,-138786000.0
Net Investment Properties Purchase And Sale,0.0,,,,0.0,
Purchase Of Investment Properties,0.0,,,,0.0,
Net PPE Purchase And Sale,-18807000.0,-7303000.0,-9665000.0,-124000.0,-1174000.0,
Purchase Of PPE,-18807000.0,-7303000.0,-9665000.0,-124000.0,-1174000.0,
Operating Cash Flow,-11056000.0,-130529000.0,-6081000.0,24838000.0,-105574000.0,
Taxes Refund Paid,-12990000.0,2124000.0,-31216000.0,-18745000.0,-3151000.0,
Interest Paid Cfo,-20237000.0,-29283000.0,-19103000.0,-23772000.0,-8696000.0,
Change In Working Capital,-45701000.0,-206972000.0,-97420000.0,-45624000.0,-186114000.0,
Change In Other Current Assets,16203000.0,32804000.0,54026000.0,12792000.0,7719000.0,
Change In Accrued Expense,-2404000.0,-74000.0,3592000.0,4261000.0,-5833000.0,
Change In Payable,73583000.0,148134000.0,-18597000.0,85643000.0,-20505000.0,
Change In Inventory,-134213000.0,-258836000.0,-71089000.0,-22010000.0,-140437000.0,
Change In Receivables,1130000.0,-129000000.0,-65352000.0,-126310000.0,-27058000.0,
Other Non Cash Items,35308000.0,15207000.0,51364000.0,8745000.0,26655000.0,
Provisionand Write Offof Assets,4822000.0,1720000.0,5647000.0,1813000.0,5056000.0,
Deferred Tax,2211000.0,7444000.0,2040000.0,5105000.0,778000.0,
Depreciation And Amortization,125000.0,2343000.0,8149000.0,94000.0,277000.0,
Depreciation,125000.0,2343000.0,8149000.0,94000.0,277000.0,
Gain Loss On Investment Securities,-29565000.0,-33235000.0,-30105000.0,-25024000.0,-23756000.0,
Net Income From Continuing Operations,78068000.0,139688000.0,131775000.0,144450000.0,102778000.0,
