,2026-03-31,2025-12-31,2025-09-30,2025-06-30,2025-03-31,2024-12-31
Tax Effect Of Unusual Items,11442800.0,2800861.534276,2814718.542971,0.0,1379268.014556,
Tax Rate For Calcs,0.4,0.117555,0.119719,0.110115,0.062504,
Normalized EBITDA,78307000.0,139489000.0,132285000.0,167284000.0,94009000.0,
Total Unusual Items,28607000.0,23826000.0,23511000.0,,22067000.0,14843000.0
Total Unusual Items Excluding Goodwill,28607000.0,23826000.0,23511000.0,,22067000.0,14843000.0
Net Income From Continuing Operation Net Minority Interest,69871000.0,104638000.0,103959000.0,118591000.0,86883000.0,
Reconciled Depreciation,125000.0,2343000.0,8149000.0,94000.0,277000.0,
Reconciled Cost Of Revenue,253913000.0,351488000.0,268197000.0,317337000.0,209067000.0,
EBITDA,106914000.0,163315000.0,155796000.0,167284000.0,116076000.0,
EBIT,106789000.0,160972000.0,147647000.0,167190000.0,115799000.0,
Net Interest Income,-24109000.0,-17522000.0,-7808000.0,9177000.0,-12912000.0,
Interest Expense,28721000.0,21284000.0,15872000.0,22741000.0,13021000.0,
Interest Income,2999000.0,6303000.0,7591000.0,31918000.0,2653000.0,
Normalized Income,52706800.0,83612861.534276,83262718.542971,118591000.0,66195268.014556,
Net Income From Continuing And Discontinued Operation,69871000.0,104638000.0,103959000.0,118591000.0,86883000.0,
Total Expenses,323279000.0,426503000.0,325892000.0,368826000.0,260436000.0,
Diluted Average Shares,195434000.0,193774074.0,175015152.0,195436717.0,197461364.0,
Basic Average Shares,195434000.0,193774074.0,175015152.0,195436717.0,197461364.0,
Diluted EPS,0.3575,0.54,0.594,0.6068,0.44,
Basic EPS,0.3575,0.54,0.594,0.6068,0.44,
Diluted NI Availto Com Stockholders,69871000.0,104638000.0,103959000.0,118591000.0,86883000.0,
Net Income Common Stockholders,69871000.0,104638000.0,103959000.0,118591000.0,86883000.0,
Otherunder Preferred Stock Dividend,0.0,0.0,0.0,0.0,0.0,
Net Income,69871000.0,104638000.0,103959000.0,118591000.0,86883000.0,
Minority Interests,-12202000.0,-18629000.0,-12040000.0,-9952000.0,-9471000.0,
Net Income Including Noncontrolling Interests,82073000.0,123267000.0,115999000.0,128543000.0,96354000.0,
Net Income Continuous Operations,82073000.0,123267000.0,115999000.0,128543000.0,96354000.0,
Tax Provision,-4005000.0,16421000.0,15776000.0,15906000.0,6424000.0,
Pretax Income,78068000.0,139688000.0,131775000.0,144449000.0,102778000.0,
Special Income Charges,-2401000.0,-5260000.0,-2665000.0,,-1177000.0,-1208000.0
Other Special Charges,2401000.0,5260000.0,2665000.0,,1177000.0,1208000.0
Net Non Operating Interest Income Expense,-24109000.0,-17522000.0,-7808000.0,9177000.0,-12912000.0,
Total Other Finance Cost,-1613000.0,2541000.0,-473000.0,,2544000.0,1317000.0
Interest Expense Non Operating,28721000.0,21284000.0,15872000.0,22741000.0,13021000.0,
Interest Income Non Operating,2999000.0,6303000.0,7591000.0,31918000.0,2653000.0,
Operating Income,49679000.0,103618000.0,88861000.0,113068000.0,74194000.0,
Operating Expense,69366000.0,75015000.0,57695000.0,51489000.0,51369000.0,
Other Operating Expenses,7774000.0,7226000.0,4035000.0,1782000.0,3344000.0,
Depreciation And Amortization In Income Statement,117000.0,164000.0,285000.0,,277000.0,306000.0
Depreciation Income Statement,117000.0,164000.0,285000.0,,277000.0,306000.0
Selling General And Administration,48643000.0,57522000.0,44892000.0,49707000.0,36538000.0,
Selling And Marketing Expense,38575000.0,46871000.0,35510000.0,27556000.0,28283000.0,
General And Administrative Expense,10068000.0,10651000.0,9382000.0,22151000.0,8255000.0,
Gross Profit,119045000.0,178633000.0,146556000.0,164557000.0,125563000.0,
Cost Of Revenue,253913000.0,351488000.0,268197000.0,317337000.0,209067000.0,
Total Revenue,372958000.0,530121000.0,414753000.0,481894000.0,334630000.0,
Operating Revenue,372958000.0,530121000.0,414753000.0,481894000.0,334630000.0,
