,2026-03-31,2025-12-31,2025-09-30,2025-06-30,2025-03-31,2024-12-31
Ordinary Shares Number,206917263.0,206917263.0,206917263.0,206917263.0,206917263.0,
Share Issued,206917263.0,206917263.0,206917263.0,206917263.0,206917263.0,
Net Debt,,143870000.0,185450000.0,17984000.0,330958000.0,44617000.0
Total Debt,1073998000.0,1092999000.0,1078529000.0,1032799000.0,1030390000.0,
Tangible Book Value,283718000.0,345138000.0,389204000.0,431328000.0,477154000.0,
Invested Capital,911776000.0,987095000.0,1007660000.0,986590000.0,1035961000.0,
Working Capital,1356423000.0,1045563000.0,1035352000.0,1070564000.0,830178000.0,
Net Tangible Assets,283718000.0,345138000.0,389204000.0,431328000.0,477154000.0,
Capital Lease Obligations,505540000.0,510840000.0,519021000.0,535999000.0,530432000.0,
Common Stock Equity,343318000.0,404936000.0,448152000.0,489790000.0,536003000.0,
Total Capitalization,791146000.0,891794000.0,829532000.0,755346000.0,838941000.0,
Total Equity Gross Minority Interest,343318000.0,404936000.0,448152000.0,489790000.0,536003000.0,
Stockholders Equity,343318000.0,404936000.0,448152000.0,489790000.0,536003000.0,
Retained Earnings,,,-121847000.0,-79704000.0,-33693000.0,
Capital Stock,505967000.0,505967000.0,505967000.0,505967000.0,505967000.0,
Common Stock,505967000.0,505967000.0,505967000.0,505967000.0,505967000.0,
Total Liabilities Net Minority Interest,3559763000.0,3366298000.0,3218587000.0,3248315000.0,2894220000.0,
Total Non Current Liabilities Net Minority Interest,1984748000.0,1638497000.0,1597094000.0,1607423000.0,1343837000.0,
Other Non Current Liabilities,1079087000.0,687960000.0,743915000.0,839285000.0,544172000.0,
Tradeand Other Payables Non Current,32000.0,31000.0,30000.0,12388000.0,11989000.0,
Non Current Deferred Revenue,18094000.0,18522000.0,18914000.0,19304000.0,19683000.0,
Non Current Deferred Taxes Liabilities,17500000.0,16832000.0,15688000.0,16462000.0,13959000.0,
Long Term Debt And Capital Lease Obligation,870035000.0,915152000.0,818547000.0,719984000.0,754034000.0,
Long Term Capital Lease Obligation,422207000.0,428294000.0,437167000.0,454428000.0,451096000.0,
Long Term Debt,447828000.0,486858000.0,381380000.0,265556000.0,302938000.0,
Current Liabilities,1575015000.0,1727801000.0,1621493000.0,1640892000.0,1550383000.0,
Other Current Liabilities,333448000.0,449520000.0,495784000.0,476987000.0,462696000.0,
Current Debt And Capital Lease Obligation,203963000.0,177847000.0,259982000.0,312815000.0,276356000.0,
Current Capital Lease Obligation,83333000.0,82546000.0,81854000.0,81571000.0,79336000.0,
Current Debt,120630000.0,95301000.0,178128000.0,231244000.0,197020000.0,
Payables,955086000.0,1098920000.0,864263000.0,849681000.0,806547000.0,
Other Payable,599353000.0,605921000.0,538315000.0,490051000.0,450836000.0,
Dividends Payable,,0.0,0.0,0.0,0.0,21580000.0
Total Tax Payable,23400000.0,24372000.0,18952000.0,19677000.0,25717000.0,
Accounts Payable,332333000.0,468627000.0,306996000.0,339953000.0,329994000.0,
Total Assets,3903081000.0,3771234000.0,3666739000.0,3738105000.0,3430223000.0,
Total Non Current Assets,971643000.0,997870000.0,1009894000.0,1026649000.0,1049662000.0,
Non Current Prepaid Assets,543000.0,796000.0,358000.0,652000.0,935000.0,
Non Current Deferred Taxes Assets,209709000.0,212403000.0,212643000.0,213556000.0,209065000.0,
Long Term Equity Investment,4000.0,4000.0,3000.0,3000.0,3000.0,
Investmentsin Subsidiariesat Cost,4000.0,4000.0,3000.0,3000.0,3000.0,
Goodwill And Other Intangible Assets,59600000.0,59798000.0,58948000.0,58462000.0,58849000.0,
Other Intangible Assets,59575000.0,59768000.0,58913000.0,58422000.0,58804000.0,
Goodwill,25000.0,30000.0,35000.0,40000.0,45000.0,
Net PPE,600544000.0,614628000.0,628905000.0,649804000.0,646909000.0,
Accumulated Depreciation,-794562000.0,-762872000.0,-731189000.0,-702537000.0,-670196000.0,
Gross PPE,1395106000.0,1377500000.0,1360094000.0,1352341000.0,1317105000.0,
Construction In Progress,14820000.0,17316000.0,20892000.0,19864000.0,17702000.0,
Other Properties,215458000.0,210902000.0,203780000.0,198006000.0,193091000.0,
Machinery Furniture Equipment,218478000.0,216274000.0,212831000.0,209120000.0,204257000.0,
Buildings And Improvements,946350000.0,933008000.0,922591000.0,925351000.0,902055000.0,
Land And Improvements,,,,,,0.0
Properties,0.0,0.0,0.0,0.0,0.0,
Current Assets,2931438000.0,2773364000.0,2656845000.0,2711456000.0,2380561000.0,
Current Deferred Assets,448000.0,,,,,
Prepaid Assets,13501000.0,12375000.0,9664000.0,11459000.0,12418000.0,
Inventory,519481000.0,535669000.0,544326000.0,544393000.0,508358000.0,
Inventories Adjustments Allowances,-4224000.0,-6838000.0,-4908000.0,-4522000.0,-4147000.0,
Other Inventories,814000.0,66000.0,215000.0,,,165000.0
Finished Goods,522891000.0,542441000.0,549019000.0,548915000.0,512505000.0,
Other Receivables,33539000.0,30425000.0,25558000.0,36456000.0,33109000.0,
Taxes Receivable,107059000.0,117355000.0,160189000.0,182821000.0,163296000.0,
Accounts Receivable,1484307000.0,1477665000.0,1386229000.0,1311535000.0,1332847000.0,
Cash Cash Equivalents And Short Term Investments,773103000.0,599875000.0,530879000.0,624792000.0,330533000.0,
Other Short Term Investments,165045000.0,161586000.0,156821000.0,145976000.0,161533000.0,
Cash And Cash Equivalents,608058000.0,438289000.0,374058000.0,478816000.0,169000000.0,
Cash Equivalents,593757000.0,409264000.0,353170000.0,459799000.0,152787000.0,
Cash Financial,14301000.0,29025000.0,20888000.0,19017000.0,16213000.0,
