,2025-12-31,2024-12-31,2023-12-31,2022-12-31,2021-12-31
Free Cash Flow,149064000.0,313053000.0,158039000.0,170486000.0,
Repurchase Of Capital Stock,,,,,0.0
Repayment Of Debt,-396479000.0,-131133000.0,-50770000.0,-111516000.0,
Issuance Of Debt,441622000.0,161912000.0,150000000.0,250000000.0,
Issuance Of Capital Stock,23807000.0,31597000.0,0.0,0.0,
Capital Expenditure,-9325000.0,-10593000.0,-8442000.0,-65827000.0,
End Cash Position,438289000.0,489905000.0,421357000.0,416779000.0,
Beginning Cash Position,489905000.0,421357000.0,416779000.0,256351000.0,
Changes In Cash,-51616000.0,68548000.0,4578000.0,160428000.0,
Financing Cash Flow,-163427000.0,-153353000.0,-82315000.0,-20301000.0,
Net Other Financing Charges,,,,10768000.0,
Interest Paid Cff,-80738000.0,-65364000.0,-65068000.0,-42588000.0,
Cash Dividends Paid,-21580000.0,-28963000.0,,-21250000.0,-15123000.0
Common Stock Dividend Paid,-21580000.0,-28963000.0,0.0,-21250000.0,
Net Common Stock Issuance,23807000.0,31597000.0,0.0,0.0,
Common Stock Payments,,,,,0.0
Common Stock Issuance,23807000.0,31597000.0,0.0,0.0,
Net Issuance Payments Of Debt,45143000.0,30779000.0,99230000.0,138484000.0,
Net Long Term Debt Issuance,45143000.0,30779000.0,99230000.0,138484000.0,
Long Term Debt Payments,-396479000.0,-131133000.0,-50770000.0,-111516000.0,
Long Term Debt Issuance,441622000.0,161912000.0,150000000.0,250000000.0,
Investing Cash Flow,-46578000.0,-101745000.0,-79588000.0,-55584000.0,
Net Other Investing Changes,-39101000.0,-38396000.0,-38655000.0,,
Dividends Received Cfi,0.0,0.0,0.0,0.0,
Net Investment Purchase And Sale,1521000.0,-52898000.0,-34687000.0,9367000.0,
Sale Of Investment,1521000.0,,,9367000.0,
Purchase Of Investment,0.0,-52898000.0,-34687000.0,,-53353000.0
Net Intangibles Purchase And Sale,-9325000.0,-10593000.0,-8442000.0,-12046000.0,
Purchase Of Intangibles,-9325000.0,-10593000.0,-8442000.0,-12046000.0,
Net PPE Purchase And Sale,327000.0,142000.0,2196000.0,-52905000.0,
Sale Of PPE,327000.0,142000.0,2196000.0,876000.0,
Purchase Of PPE,,,-38655000.0,-53781000.0,-67959000.0
Operating Cash Flow,158389000.0,323646000.0,166481000.0,236313000.0,
Taxes Refund Paid,-6015000.0,-11323000.0,-9317000.0,-2344000.0,
Change In Working Capital,15665000.0,76805000.0,-71573000.0,32177000.0,
Change In Other Current Liabilities,213455000.0,294521000.0,154951000.0,220874000.0,
Change In Other Current Assets,101123000.0,-28230000.0,-68146000.0,57778000.0,
Change In Payable,-2816000.0,72706000.0,23186000.0,-81886000.0,
Change In Inventory,-20286000.0,-43410000.0,-4726000.0,-14055000.0,
Change In Receivables,-275811000.0,-218782000.0,-176838000.0,-150534000.0,
Other Non Cash Items,122527000.0,114382000.0,99512000.0,85139000.0,
Stock Based Compensation,150000.0,4189000.0,8898000.0,9376000.0,
Provisionand Write Offof Assets,40041000.0,27997000.0,28205000.0,32646000.0,
Deferred Tax,9301000.0,-20476000.0,-32854000.0,-7801000.0,
Depreciation And Amortization,138303000.0,131277000.0,124941000.0,106318000.0,
Depreciation,138303000.0,131277000.0,124941000.0,106318000.0,
Gain Loss On Investment Securities,,,-3000.0,,
Gain Loss On Sale Of PPE,359000.0,649000.0,-1007000.0,-495000.0,
Net Income From Continuing Operations,-161941000.0,146000.0,19679000.0,-18703000.0,
