,2026-03-31,2025-12-31,2025-09-30,2025-06-30,2025-03-31,2024-12-31
Free Cash Flow,247275000.0,109088000.0,-70781000.0,340734000.0,-229977000.0,
Repayment Of Debt,-15096000.0,-192784000.0,-118069000.0,-49631000.0,-35995000.0,
Issuance Of Debt,,216113000.0,180510000.0,44999000.0,0.0,-1107000.0
Issuance Of Capital Stock,0.0,0.0,0.0,0.0,23807000.0,
Capital Expenditure,-1946000.0,-2793000.0,,-22952000.0,-2447000.0,-1638000.0
End Cash Position,608058000.0,438289000.0,379355000.0,478816000.0,169000000.0,
Beginning Cash Position,438289000.0,379355000.0,478816000.0,169000000.0,489905000.0,
Changes In Cash,169769000.0,58934000.0,-99461000.0,309816000.0,-320905000.0,
Financing Cash Flow,-70338000.0,-32994000.0,8871000.0,-55891000.0,-83413000.0,
Interest Paid Cff,-21877000.0,-23475000.0,-20940000.0,-18699000.0,-17624000.0,
Cash Dividends Paid,,0.0,0.0,0.0,-21580000.0,0.0
Common Stock Dividend Paid,0.0,0.0,0.0,0.0,-21580000.0,
Net Common Stock Issuance,0.0,0.0,0.0,0.0,23807000.0,
Common Stock Issuance,0.0,0.0,0.0,0.0,23807000.0,
Net Issuance Payments Of Debt,-15096000.0,23329000.0,62441000.0,-4632000.0,-35995000.0,
Net Long Term Debt Issuance,-15096000.0,23329000.0,62441000.0,-4632000.0,-35995000.0,
Long Term Debt Payments,-15096000.0,-192784000.0,-118069000.0,-49631000.0,-35995000.0,
Long Term Debt Issuance,,216113000.0,180510000.0,44999000.0,0.0,-1107000.0
Investing Cash Flow,-9114000.0,-19953000.0,-18684000.0,2021000.0,-9962000.0,
Net Other Investing Changes,-3709000.0,-7098000.0,,,-9416000.0,-7671000.0
Dividends Received Cfi,,0.0,,,,
Net Investment Purchase And Sale,-3459000.0,-10062000.0,-5548000.0,15557000.0,1574000.0,
Net Intangibles Purchase And Sale,-1946000.0,-2793000.0,-2254000.0,-1831000.0,-2447000.0,
Purchase Of Intangibles,-1946000.0,-2793000.0,-2254000.0,-1831000.0,-2447000.0,
Net PPE Purchase And Sale,0.0,0.0,21121000.0,-21121000.0,327000.0,
Sale Of PPE,0.0,0.0,0.0,0.0,327000.0,
Operating Cash Flow,249221000.0,111881000.0,-89648000.0,363686000.0,-227530000.0,
Taxes Refund Paid,-1730000.0,0.0,-3491000.0,-1438000.0,-1086000.0,
Change In Working Capital,221473000.0,75882000.0,-123421000.0,335660000.0,-272456000.0,
Change In Other Current Liabilities,349423000.0,-34613000.0,-40839000.0,348619000.0,-59712000.0,
Change In Other Current Assets,11289000.0,38047000.0,39167000.0,6271000.0,17638000.0,
Change In Payable,-136353000.0,166864000.0,-30426000.0,5229000.0,-144483000.0,
Change In Inventory,18802000.0,6727000.0,-319000.0,-36410000.0,9716000.0,
Change In Receivables,-21688000.0,-101143000.0,-91004000.0,11951000.0,-95615000.0,
Other Non Cash Items,34322000.0,33219000.0,34303000.0,29135000.0,25870000.0,
Stock Based Compensation,129000.0,45000.0,35000.0,35000.0,35000.0,
Provisionand Write Offof Assets,16002000.0,7204000.0,8089000.0,11565000.0,13183000.0,
Deferred Tax,5414000.0,3660000.0,2062000.0,123000.0,3456000.0,
Depreciation And Amortization,35015000.0,34496000.0,34933000.0,34617000.0,34257000.0,
Depreciation,35015000.0,34496000.0,34933000.0,34617000.0,34257000.0,
Gain Loss On Sale Of PPE,262000.0,64000.0,-15000.0,0.0,310000.0,
Net Income From Continuing Operations,-61666000.0,-42688000.0,-42143000.0,-46011000.0,-31099000.0,
