,2025-12-31,2024-12-31,2023-12-31,2022-12-31,2021-12-31
Free Cash Flow,7494223000.0,8708988000.0,7384445000.0,4078188000.0,
Repurchase Of Capital Stock,-2050304000.0,-1849212000.0,-213153000.0,-86057000.0,
Repayment Of Debt,-99385459000.0,-85576116000.0,-56671865000.0,-49912715000.0,
Issuance Of Debt,103976865000.0,76424090000.0,49407327000.0,54194411000.0,
Issuance Of Capital Stock,,0.0,5760088000.0,0.0,0.0
Capital Expenditure,-5583917000.0,-3953350000.0,-3671935000.0,-3911112000.0,
End Cash Position,4711133000.0,4516687000.0,6460212000.0,6403788000.0,
Other Cash Adjustment Outside Changein Cash,,,1500000000.0,,
Beginning Cash Position,4516687000.0,6460212000.0,6403788000.0,1759482000.0,
Effect Of Exchange Rate Changes,-893529000.0,2452134000.0,-149686000.0,172285000.0,
Changes In Cash,1087975000.0,-4395659000.0,-1293890000.0,4472021000.0,
Other Cash Adjustment Inside Changein Cash,121083000.0,5062788000.0,-2318720000.0,1833190000.0,
Financing Cash Flow,-2677801000.0,-15560869000.0,-3911183000.0,523047000.0,
Net Other Financing Charges,-55285000.0,-110043000.0,-699345000.0,-219374000.0,
Cash Dividends Paid,-3847269000.0,-3135078000.0,-340763000.0,-2769703000.0,
Common Stock Dividend Paid,-3847269000.0,-3135078000.0,-340763000.0,-2769703000.0,
Net Common Stock Issuance,-2050304000.0,-1849212000.0,5546935000.0,-86057000.0,
Common Stock Payments,-2050304000.0,-1849212000.0,-213153000.0,-86057000.0,
Common Stock Issuance,,0.0,5760088000.0,0.0,0.0
Net Issuance Payments Of Debt,4591406000.0,-9152026000.0,-7264538000.0,4281696000.0,
Net Long Term Debt Issuance,4591406000.0,-9152026000.0,-7264538000.0,4281696000.0,
Long Term Debt Payments,-99385459000.0,-85576116000.0,-56671865000.0,-49912715000.0,
Long Term Debt Issuance,103976865000.0,76424090000.0,49407327000.0,54194411000.0,
Investing Cash Flow,-9433447000.0,-6559916000.0,-6120367000.0,-5873516000.0,
Net Other Investing Changes,-32728000.0,,-1457167000.0,-1058569000.0,
Net Investment Purchase And Sale,-3538604000.0,-2606566000.0,-2448432000.0,-6424889000.0,
Sale Of Investment,,,581569000.0,,
Purchase Of Investment,-3538604000.0,-2606566000.0,-3030001000.0,-6424889000.0,
Net Business Purchase And Sale,-278198000.0,0.0,0.0,4462485000.0,
Sale Of Business,,,0.0,4462485000.0,0.0
Purchase Of Business,-278198000.0,0.0,,,
Net Intangibles Purchase And Sale,-243029000.0,-160061000.0,-168900000.0,-179261000.0,
Purchase Of Intangibles,-243029000.0,-160061000.0,-168900000.0,-179261000.0,
Net PPE Purchase And Sale,-3673036000.0,-2338601000.0,-2045868000.0,-2673282000.0,
Purchase Of PPE,-3673036000.0,-2338601000.0,-2045868000.0,-2673282000.0,
Capital Expenditure Reported,-1667852000.0,-1454688000.0,-1457167000.0,-1058569000.0,
Operating Cash Flow,13078140000.0,12662338000.0,11056380000.0,7989300000.0,
Change In Working Capital,-767728000.0,-2707613000.0,1919506000.0,-3625471000.0,
Change In Other Current Assets,-1884801000.0,-800608000.0,-1041469000.0,-806691000.0,
Change In Accrued Expense,,,-445257000.0,-995294000.0,675138000.0
Change In Payable,928511000.0,-4238279000.0,-243438000.0,-1086984000.0,
Change In Inventory,-1629791000.0,-65793000.0,1661855000.0,-237552000.0,
Change In Receivables,1324814000.0,2324058000.0,1987815000.0,-498950000.0,
Other Non Cash Items,6842269000.0,6188669000.0,5763569000.0,714636000.0,
Provisionand Write Offof Assets,608859000.0,1628432000.0,42730000.0,209978000.0,
Deferred Tax,-1566025000.0,-2665015000.0,-1193360000.0,-674906000.0,
Depreciation And Amortization,7232639000.0,7197504000.0,6740232000.0,5332693000.0,
Amortization Cash Flow,,984659000.0,,,
Depreciation,7232639000.0,7197504000.0,6740232000.0,5332693000.0,
Gain Loss On Investment Securities,-3523000.0,-1629000.0,-3836000.0,-6405000.0,
Net Foreign Currency Exchange Gain Loss,-20046000.0,282510000.0,1175664000.0,2534398000.0,
Net Income From Continuing Operations,358228000.0,1619109000.0,-1348386000.0,4831386000.0,
