,2025-12-31,2024-12-31,2023-12-31,2022-12-31,2021-12-31
Free Cash Flow,1131757000.0,313491000.0,1863545000.0,-70505000.0,
Repurchase Of Capital Stock,0.0,-50533000.0,0.0,-36597000.0,
Repayment Of Debt,-901632000.0,-1185755000.0,-344077000.0,-85330000.0,
Issuance Of Debt,79082000.0,1172112000.0,331715000.0,430094000.0,
Capital Expenditure,-276172000.0,-278178000.0,-262237000.0,-177125000.0,
End Cash Position,1888270000.0,2152587000.0,2267837000.0,648046000.0,
Other Cash Adjustment Outside Changein Cash,,,,707861000.0,
Beginning Cash Position,2152587000.0,2267837000.0,648046000.0,1555864000.0,
Effect Of Exchange Rate Changes,-392000.0,4607000.0,-488000.0,127000.0,
Changes In Cash,-263925000.0,-119857000.0,1620279000.0,-907945000.0,
Financing Cash Flow,-1374323000.0,-385149000.0,-161643000.0,-413451000.0,
Interest Paid Cff,-439034000.0,-221821000.0,-69775000.0,-655483000.0,
Net Common Stock Issuance,0.0,-50533000.0,0.0,-36597000.0,
Common Stock Payments,0.0,-50533000.0,0.0,-36597000.0,
Net Issuance Payments Of Debt,-822550000.0,-13643000.0,-12362000.0,344764000.0,
Net Long Term Debt Issuance,-822550000.0,-13643000.0,-12362000.0,344764000.0,
Long Term Debt Payments,-901632000.0,-1185755000.0,-344077000.0,-85330000.0,
Long Term Debt Issuance,79082000.0,1172112000.0,331715000.0,430094000.0,
Investing Cash Flow,-297531000.0,-326377000.0,-343860000.0,-601114000.0,
Net Other Investing Changes,,,,-2640000.0,
Net Investment Purchase And Sale,-3298000.0,970000.0,-378000.0,757000.0,
Sale Of Investment,2508000.0,1070000.0,1667000.0,2257000.0,
Purchase Of Investment,-5806000.0,-100000.0,-2045000.0,-1500000.0,
Net Business Purchase And Sale,-18061000.0,-49169000.0,-81245000.0,-422106000.0,
Purchase Of Business,-18061000.0,-49169000.0,-81245000.0,-422106000.0,
Net PPE Purchase And Sale,-276172000.0,-278178000.0,-262237000.0,-177125000.0,
Purchase Of PPE,-276172000.0,-278178000.0,-262237000.0,-177125000.0,
Operating Cash Flow,1407929000.0,591669000.0,2125782000.0,106620000.0,
Taxes Refund Paid,-20822000.0,-56000.0,-4778000.0,0.0,
Interest Paid Cfo,-120311000.0,-126832000.0,-117854000.0,-80156000.0,
Change In Working Capital,239949000.0,-698668000.0,824568000.0,-559844000.0,
Change In Other Current Liabilities,144849000.0,-128860000.0,-12189000.0,82020000.0,
Change In Other Current Assets,-57636000.0,-65940000.0,10250000.0,-149625000.0,
Change In Payable,320445000.0,-192553000.0,-142089000.0,300189000.0,
Change In Prepaid Assets,,,,,2642000.0
Change In Inventory,7548000.0,-404387000.0,816505000.0,-949485000.0,
Change In Receivables,-175533000.0,94561000.0,159932000.0,163308000.0,
Other Non Cash Items,6726000.0,432612000.0,124776000.0,89758000.0,
Stock Based Compensation,14196000.0,17028000.0,13809000.0,11010000.0,
Provisionand Write Offof Assets,124572000.0,92744000.0,68196000.0,69693000.0,
Deferred Tax,-67882000.0,-77775000.0,-76143000.0,-60737000.0,
Depreciation And Amortization,412058000.0,368969000.0,364971000.0,317250000.0,
Depreciation,412058000.0,368969000.0,364971000.0,317250000.0,
Gain Loss On Investment Securities,301368000.0,-137448000.0,196578000.0,228840000.0,
Gain Loss On Sale Of PPE,1315000.0,1290000.0,11748000.0,1343000.0,
Net Income From Continuing Operations,708270000.0,823185000.0,936027000.0,351691000.0,
