,2026-03-31,2025-12-31,2025-09-30,2025-06-30,2025-03-31,2024-12-31
Tax Effect Of Unusual Items,13454400.0,-5249260.0,,10756240.0,13112100.0,6958780.0
Tax Rate For Calcs,0.4,0.34,,0.34,0.34,0.34
Normalized EBITDA,364308000.0,702064000.0,,450601000.0,472693000.0,658022000.0
Total Unusual Items,33636000.0,-15439000.0,,31636000.0,38565000.0,20467000.0
Total Unusual Items Excluding Goodwill,33636000.0,-15439000.0,,31636000.0,38565000.0,20467000.0
Net Income From Continuing Operation Net Minority Interest,-55220000.0,131606000.0,,-24356000.0,12768000.0,294821000.0
Reconciled Depreciation,332446000.0,323205000.0,,318261000.0,323112000.0,327607000.0
Reconciled Cost Of Revenue,6372770000.0,8106666000.0,,6346187000.0,6511997000.0,7543265000.0
EBITDA,397944000.0,686625000.0,,482237000.0,511258000.0,678489000.0
EBIT,65498000.0,363420000.0,,163976000.0,188146000.0,350882000.0
Net Interest Income,-555458000.0,-552005000.0,,-486407000.0,-491008000.0,-369323000.0
Interest Expense,281267000.0,311326000.0,,290709000.0,238166000.0,226110000.0
Interest Income,75084000.0,84845000.0,,54604000.0,56728000.0,62657000.0
Normalized Income,-75401600.0,141795740.0,,-45235760.0,-12684900.0,281312780.0
Net Income From Continuing And Discontinued Operation,-55220000.0,131606000.0,,-24356000.0,12768000.0,294821000.0
Total Expenses,8937457000.0,10533237000.0,,8857715000.0,9028812000.0,10386337000.0
Total Operating Income As Reported,352936000.0,624564000.0,,368832000.0,438049000.0,514763000.0
Diluted Average Shares,774880345.0,,774579835.0,778410324.0,773445466.0,772863232.0
Basic Average Shares,774880345.0,,774579835.0,774333888.0,773445466.0,772863232.0
Diluted EPS,-0.071237,,0.109221,-0.031429,0.016549,0.381439
Basic EPS,-0.071237,,0.109221,-0.031429,0.016549,0.381439
Diluted NI Availto Com Stockholders,-55220000.0,131606000.0,,-24356000.0,12768000.0,294821000.0
Net Income Common Stockholders,-55220000.0,131606000.0,,-24356000.0,12768000.0,294821000.0
Otherunder Preferred Stock Dividend,0.0,0.0,,0.0,0.0,0.0
Net Income,-55220000.0,131606000.0,,-24356000.0,12768000.0,294821000.0
Net Income Including Noncontrolling Interests,-55220000.0,131606000.0,,-24356000.0,12768000.0,294821000.0
Net Income Continuous Operations,-55220000.0,131606000.0,,-24356000.0,12768000.0,294821000.0
Tax Provision,-160549000.0,-79512000.0,,-102377000.0,-62788000.0,-170049000.0
Pretax Income,-215769000.0,52094000.0,,-126733000.0,-50020000.0,124772000.0
Special Income Charges,-849000.0,-52454000.0,,-883000.0,2935000.0,-624000.0
Other Special Charges,,,,883000.0,-2935000.0,
Write Off,849000.0,20994000.0,,0.0,-2935000.0,
Restructuring And Mergern Acquisition,,30080000.0,,,,810000.0
Net Non Operating Interest Income Expense,-555458000.0,-552005000.0,,-486407000.0,-491008000.0,-369323000.0
Total Other Finance Cost,349275000.0,325524000.0,,250302000.0,309570000.0,205870000.0
Interest Expense Non Operating,281267000.0,311326000.0,,290709000.0,238166000.0,226110000.0
Interest Income Non Operating,75084000.0,84845000.0,,54604000.0,56728000.0,62657000.0
Operating Income,268274000.0,619848000.0,,276951000.0,360173000.0,400956000.0
Operating Expense,2564687000.0,2426571000.0,,2511528000.0,2516815000.0,2843072000.0
Other Operating Expenses,231898000.0,-374471000.0,,184772000.0,154995000.0,153730000.0
Depreciation And Amortization In Income Statement,332446000.0,323205000.0,,318261000.0,323112000.0,327607000.0
Depreciation Income Statement,332446000.0,323205000.0,,318261000.0,323112000.0,327607000.0
Selling General And Administration,2039592000.0,2538768000.0,,2044698000.0,2095608000.0,2397436000.0
Selling And Marketing Expense,1700997000.0,2178672000.0,,1706395000.0,1757388000.0,2045408000.0
General And Administrative Expense,338595000.0,360096000.0,,338303000.0,338220000.0,352028000.0
Gross Profit,2832961000.0,3046419000.0,,2788479000.0,2876988000.0,3244028000.0
Cost Of Revenue,6372770000.0,8106666000.0,,6346187000.0,6511997000.0,7543265000.0
Total Revenue,9205731000.0,11153085000.0,,9134666000.0,9388985000.0,10787293000.0
Operating Revenue,9205731000.0,11153085000.0,,9134666000.0,9388985000.0,10787293000.0
