,2026-03-31,2025-12-31,2025-09-30,2025-06-30,2025-03-31
Tax Effect Of Unusual Items,1918400.0,319001.144605,-498996.0,-1920000.0,-1873645.774562
Tax Rate For Calcs,0.4,0.224491,0.332,0.25,0.305552
Normalized EBITDA,310807000.0,264816000.0,251645000.0,258956000.0,229507000.0
Total Unusual Items,4796000.0,1421000.0,-1503000.0,-7680000.0,-6132000.0
Total Unusual Items Excluding Goodwill,4796000.0,1421000.0,-1503000.0,-7680000.0,-6132000.0
Net Income From Continuing Operation Net Minority Interest,196975000.0,78476000.0,67339000.0,87232000.0,67798000.0
Reconciled Depreciation,78294000.0,76447000.0,70771000.0,66069000.0,62570000.0
Reconciled Cost Of Revenue,181774000.0,194149000.0,180764000.0,162072000.0,147771000.0
EBITDA,315603000.0,266237000.0,250142000.0,251276000.0,223375000.0
EBIT,237309000.0,189790000.0,179371000.0,185207000.0,160805000.0
Net Interest Income,-42597000.0,-52918000.0,-49547000.0,-38353000.0,-63956000.0
Interest Expense,68830000.0,88445000.0,78548000.0,68323000.0,62969000.0
Interest Income,30739000.0,5947000.0,6970000.0,11087000.0,2687000.0
Normalized Income,194097400.0,77374001.144605,68343004.0,92992000.0,72056354.225438
Net Income From Continuing And Discontinued Operation,196975000.0,78476000.0,67339000.0,87232000.0,67798000.0
Total Expenses,271515000.0,329682000.0,327657000.0,271473000.0,268184000.0
Rent Expense Supplemental,3584000.0,3996000.0,3229000.0,2592000.0,3319000.0
Diluted Average Shares,234109000.0,226675661.0,241092000.0,232139000.0,229843000.0
Basic Average Shares,226947000.0,226675661.0,226676000.0,226306000.0,225566000.0
Diluted EPS,0.84138,0.34631,0.27931,0.37577,0.29497
Basic EPS,0.86793,0.34631,0.29707,0.38546,0.30057
Diluted NI Availto Com Stockholders,196975000.0,78476000.0,67339000.0,87232000.0,67798000.0
Net Income Common Stockholders,196975000.0,78476000.0,67339000.0,87232000.0,67798000.0
Otherunder Preferred Stock Dividend,0.0,0.0,0.0,0.0,0.0
Net Income,196975000.0,78476000.0,67339000.0,87232000.0,67798000.0
Minority Interests,-40000.0,-118000.0,-44000.0,-112000.0,-144000.0
Net Income Including Noncontrolling Interests,197015000.0,78594000.0,67383000.0,87344000.0,67942000.0
Net Income Continuous Operations,197015000.0,78594000.0,67383000.0,87344000.0,67942000.0
Tax Provision,-28536000.0,22751000.0,33440000.0,29540000.0,29894000.0
Pretax Income,168479000.0,101345000.0,100823000.0,116884000.0,97836000.0
Special Income Charges,-341000.0,-59000.0,-8000.0,-5831000.0,-628000.0
Other Special Charges,,,,5276000.0,
Write Off,341000.0,59000.0,8000.0,555000.0,628000.0
Net Non Operating Interest Income Expense,-42597000.0,-52918000.0,-49547000.0,-38353000.0,-63956000.0
Total Other Finance Cost,4506000.0,-29580000.0,-22031000.0,-18883000.0,3674000.0
Interest Expense Non Operating,68830000.0,88445000.0,78548000.0,68323000.0,62969000.0
Interest Income Non Operating,30739000.0,5947000.0,6970000.0,11087000.0,2687000.0
Operating Income,189676000.0,163058000.0,155010000.0,178587000.0,144184000.0
Operating Expense,89741000.0,135533000.0,146893000.0,109401000.0,120413000.0
Other Operating Expenses,-14013000.0,8061000.0,11930000.0,1539000.0,9128000.0
Depreciation And Amortization In Income Statement,24637000.0,25209000.0,25215000.0,25264000.0,26280000.0
Depreciation Income Statement,24637000.0,25209000.0,25215000.0,25264000.0,26280000.0
Selling General And Administration,31564000.0,35052000.0,44446000.0,22122000.0,26793000.0
Selling And Marketing Expense,458000.0,7355000.0,272000.0,341000.0,1481000.0
General And Administrative Expense,31106000.0,27697000.0,44174000.0,21781000.0,25312000.0
Rent And Landing Fees,725000.0,1069000.0,521000.0,654000.0,926000.0
Gross Profit,279417000.0,298591000.0,301903000.0,287988000.0,264597000.0
Cost Of Revenue,181774000.0,194149000.0,180764000.0,162072000.0,147771000.0
Total Revenue,461191000.0,492740000.0,482667000.0,450060000.0,412368000.0
Operating Revenue,461191000.0,492740000.0,482667000.0,450060000.0,412368000.0
