,2025-12-31,2024-12-31,2023-12-31,2022-12-31,2021-12-31
Free Cash Flow,-3885242000.0,841633000.0,1376459000.0,3495663000.0,
Repurchase Of Capital Stock,0.0,-77163000.0,-44825000.0,0.0,
Repayment Of Debt,-5664427000.0,-9421366000.0,-12838402000.0,-6701998000.0,
Issuance Of Debt,13142161000.0,12032957000.0,10772063000.0,5849349000.0,
Capital Expenditure,-9632676000.0,-6330912000.0,-5440952000.0,-2989921000.0,
End Cash Position,3651544000.0,4187905000.0,4548717000.0,5229073000.0,
Beginning Cash Position,4187905000.0,4548717000.0,5229073000.0,4593600000.0,
Effect Of Exchange Rate Changes,0.0,16923000.0,-1003000.0,-4232000.0,
Changes In Cash,-536361000.0,-377735000.0,-679353000.0,639705000.0,
Financing Cash Flow,-1933691000.0,-1564864000.0,-2679293000.0,-1822275000.0,
Net Other Financing Charges,-5664774000.0,53832000.0,-96543000.0,-152270000.0,
Interest Paid Cff,-2701109000.0,-2952897000.0,-187000.0,0.0,
Cash Dividends Paid,-974747000.0,-748651000.0,-382393000.0,-769079000.0,
Common Stock Dividend Paid,,,,-769079000.0,-275179000.0
Net Common Stock Issuance,0.0,-77163000.0,-44825000.0,0.0,
Common Stock Payments,0.0,-77163000.0,-44825000.0,0.0,
Net Issuance Payments Of Debt,7477734000.0,2611591000.0,-2066339000.0,-852649000.0,
Net Long Term Debt Issuance,7477734000.0,2611591000.0,-2066339000.0,-852649000.0,
Long Term Debt Payments,-5664427000.0,-9421366000.0,-12838402000.0,-6701998000.0,
Long Term Debt Issuance,13142161000.0,12032957000.0,10772063000.0,5849349000.0,
Investing Cash Flow,-4350104000.0,-5985416000.0,-4817471000.0,-4023604000.0,
Net Other Investing Changes,6452347000.0,-248310000.0,-89510000.0,-103472000.0,
Net Investment Purchase And Sale,-1543606000.0,572817000.0,675573000.0,-1519453000.0,
Sale Of Investment,,572817000.0,675573000.0,0.0,1370175000.0
Purchase Of Investment,-1543606000.0,0.0,0.0,-1519453000.0,
Net Investment Properties Purchase And Sale,448000.0,0.0,,,
Sale Of Investment Properties,448000.0,0.0,,,
Net Business Purchase And Sale,-406000.0,-461000.0,0.0,587239000.0,
Sale Of Business,0.0,0.0,0.0,587239000.0,
Purchase Of Business,-406000.0,-461000.0,0.0,0.0,
Net Intangibles Purchase And Sale,-8973406000.0,-5906015000.0,-5104159000.0,-2693619000.0,
Purchase Of Intangibles,-8973406000.0,-5906015000.0,-5104159000.0,-2693619000.0,
Net PPE Purchase And Sale,-409357000.0,-403447000.0,-299375000.0,-296302000.0,
Sale Of PPE,249913000.0,21450000.0,37418000.0,,
Purchase Of PPE,-659270000.0,-424897000.0,-336793000.0,-296302000.0,
Operating Cash Flow,5747434000.0,7172545000.0,6817411000.0,6485584000.0,
Dividend Received Cfo,109746000.0,261004000.0,251935000.0,228753000.0,
Change In Working Capital,-948580000.0,-188887000.0,-67127000.0,-91363000.0,
Change In Other Current Liabilities,-139785000.0,-67457000.0,-61861000.0,-14477000.0,
Change In Other Current Assets,-28702000.0,-2775000.0,-124907000.0,376067000.0,
Change In Payable,-220226000.0,261935000.0,473412000.0,839659000.0,
Change In Prepaid Assets,49756000.0,-117886000.0,-137122000.0,-123819000.0,
Change In Inventory,-24204000.0,-119344000.0,-147821000.0,-149175000.0,
Change In Receivables,298766000.0,194525000.0,78107000.0,-989025000.0,
Other Non Cash Items,765886000.0,1977428000.0,662192000.0,-3151145000.0,
Provisionand Write Offof Assets,596207000.0,581434000.0,593458000.0,395680000.0,
Deferred Tax,-378439000.0,-227089000.0,226080000.0,1700783000.0,
Depreciation And Amortization,1532081000.0,1337001000.0,1573148000.0,1732920000.0,
Amortization Cash Flow,97185000.0,98164000.0,135108000.0,162947000.0,
Depreciation,1434896000.0,1238837000.0,1438040000.0,1569973000.0,
Pension And Employee Benefit Expense,32498000.0,20317000.0,10463000.0,0.0,
Gain Loss On Investment Securities,51023000.0,372480000.0,103875000.0,-325820000.0,
Net Foreign Currency Exchange Gain Loss,-127457000.0,26017000.0,-38182000.0,-56087000.0,
Net Income From Continuing Operations,3503497000.0,1311615000.0,1854501000.0,4212180000.0,
