,2025-12-31,2024-12-31,2023-12-31,2022-12-31
Tax Effect Of Unusual Items,-340064260.0,-96884020.0,82436400.0,145926640.0
Tax Rate For Calcs,0.34,0.34,0.34,0.34
Normalized EBITDA,1027203000.0,612748000.0,221700000.0,133970000.0
Total Unusual Items,-1000189000.0,-284953000.0,242460000.0,429196000.0
Total Unusual Items Excluding Goodwill,-1000189000.0,-284953000.0,242460000.0,429196000.0
Net Income From Continuing Operation Net Minority Interest,-1042256000.0,-503202000.0,-29815000.0,-176648000.0
Reconciled Depreciation,251608000.0,172616000.0,133409000.0,176381000.0
Reconciled Cost Of Revenue,7706442000.0,6633159000.0,5742737000.0,5327731000.0
EBITDA,27014000.0,327795000.0,464160000.0,563166000.0
EBIT,-224594000.0,155179000.0,330751000.0,386785000.0
Net Interest Income,-1323408000.0,-747911000.0,-443352000.0,-197489000.0
Interest Expense,615871000.0,488788000.0,404138000.0,261192000.0
Interest Income,9547000.0,8126000.0,5143000.0,2982000.0
Normalized Income,-382131260.0,-315133020.0,-189838600.0,-459917360.0
Net Income From Continuing And Discontinued Operation,-1042256000.0,-503202000.0,-29815000.0,-176648000.0
Total Expenses,9569641000.0,8415494000.0,7377433000.0,6831518000.0
Rent Expense Supplemental,409043000.0,138296000.0,33667000.0,14214000.0
Diluted Average Shares,562825000.0,562807000.0,520617000.0,483226000.0
Basic Average Shares,562825000.0,562807000.0,520617000.0,483226000.0
Diluted EPS,-1.85183,-0.89409,-0.05727,-0.36556
Basic EPS,-1.85183,-0.89409,-0.05727,-0.36556
Diluted NI Availto Com Stockholders,-1042256000.0,-503202000.0,-29815000.0,-176648000.0
Net Income Common Stockholders,-1042256000.0,-503202000.0,-29815000.0,-176648000.0
Otherunder Preferred Stock Dividend,0.0,0.0,0.0,0.0
Net Income,-1042256000.0,-503202000.0,-29815000.0,-176648000.0
Minority Interests,448000.0,-21105000.0,-11376000.0,-53185000.0
Net Income Including Noncontrolling Interests,-1042704000.0,-482097000.0,-18439000.0,-123463000.0
Net Income Continuous Operations,-1042704000.0,-482097000.0,-18439000.0,-123463000.0
Tax Provision,202239000.0,148488000.0,-54948000.0,249056000.0
Pretax Income,-840465000.0,-333609000.0,-73387000.0,125593000.0
Special Income Charges,-1058731000.0,-41923000.0,77892000.0,640083000.0
Other Special Charges,12517000.0,41923000.0,-77892000.0,-640083000.0
Impairment Of Capital Assets,1046214000.0,0.0,,
Net Non Operating Interest Income Expense,-1323408000.0,-747911000.0,-443352000.0,-197489000.0
Total Other Finance Cost,717084000.0,267249000.0,44357000.0,-60721000.0
Interest Expense Non Operating,615871000.0,488788000.0,404138000.0,261192000.0
Interest Income Non Operating,9547000.0,8126000.0,5143000.0,2982000.0
Operating Income,1336595000.0,593541000.0,52482000.0,-186233000.0
Operating Expense,1863199000.0,1782335000.0,1634696000.0,1503787000.0
Other Operating Expenses,307104000.0,306922000.0,293198000.0,258309000.0
Depreciation And Amortization In Income Statement,89875000.0,104160000.0,80192000.0,73292000.0
Depreciation Income Statement,89875000.0,104160000.0,80192000.0,73292000.0
Selling General And Administration,1010106000.0,890925000.0,760878000.0,658863000.0
Selling And Marketing Expense,314725000.0,182528000.0,195539000.0,158264000.0
General And Administrative Expense,695381000.0,708397000.0,565339000.0,500599000.0
Gross Profit,3199794000.0,2375876000.0,1687178000.0,1317554000.0
Cost Of Revenue,7706442000.0,6633159000.0,5742737000.0,5327731000.0
Total Revenue,10906236000.0,9009035000.0,7429915000.0,6645285000.0
Operating Revenue,10906236000.0,9009035000.0,7429915000.0,6645285000.0
