,2026-06-30,2026-03-31,2025-12-31,2025-09-30,2025-06-30,2025-03-31,2024-12-31
Free Cash Flow,36092000.0,174724000.0,121287000.0,,-232519000.0,-58648000.0,
Repurchase Of Capital Stock,,,0.0,,0.0,0.0,0.0
Repayment Of Debt,-94429000.0,-180118000.0,-117469000.0,,-346584000.0,-855935000.0,
Issuance Of Debt,112529000.0,377881000.0,52869000.0,,442483000.0,583275000.0,
Capital Expenditure,-81766000.0,-162747000.0,-133697000.0,,-129895000.0,-158379000.0,
End Cash Position,1868049000.0,1866118000.0,1599733000.0,,1678690000.0,1932732000.0,
Beginning Cash Position,1866118000.0,1599733000.0,1624952000.0,,1932732000.0,2463475000.0,
Effect Of Exchange Rate Changes,-9527000.0,-54608000.0,25904000.0,,1090000.0,-64199000.0,
Changes In Cash,11458000.0,320993000.0,-51123000.0,,-255132000.0,-466544000.0,
Financing Cash Flow,-36737000.0,145091000.0,-185276000.0,,-23217000.0,-409708000.0,
Net Other Financing Charges,0.0,-33928000.0,-37960000.0,,0.0,-118149000.0,
Cash Dividends Paid,,,9681000.0,,,,-80000.0
Net Common Stock Issuance,,,0.0,,0.0,0.0,0.0
Common Stock Payments,,,0.0,,0.0,0.0,0.0
Net Issuance Payments Of Debt,18100000.0,197763000.0,-64600000.0,,95899000.0,-272660000.0,
Net Long Term Debt Issuance,18100000.0,197763000.0,-64600000.0,,95899000.0,-272660000.0,
Long Term Debt Payments,-94429000.0,-180118000.0,-117469000.0,,-346584000.0,-855935000.0,
Long Term Debt Issuance,112529000.0,377881000.0,52869000.0,,442483000.0,583275000.0,
Investing Cash Flow,-69663000.0,-161569000.0,-120831000.0,,-129291000.0,-156567000.0,
Dividends Received Cfi,6036000.0,1178000.0,18396000.0,,604000.0,1812000.0,
Net Business Purchase And Sale,,,-5530000.0,0.0,,,0.0
Net Intangibles Purchase And Sale,-190000.0,-494000.0,-326000.0,,0.0,-328000.0,
Purchase Of Intangibles,-190000.0,-494000.0,-326000.0,,0.0,-328000.0,
Net PPE Purchase And Sale,-81576000.0,-162253000.0,-133371000.0,,-129895000.0,-158051000.0,
Purchase Of PPE,-81576000.0,-162253000.0,-133371000.0,,-129895000.0,-158051000.0,
Operating Cash Flow,117858000.0,337471000.0,254984000.0,,-102624000.0,99731000.0,
Taxes Refund Paid,-32801000.0,-91972000.0,-32779000.0,,-43650000.0,-5131000.0,
Interest Paid Cfo,-212102000.0,-60280000.0,-224805000.0,,-297557000.0,-56413000.0,
Change In Working Capital,-93217000.0,130046000.0,199169000.0,,-200808000.0,-100321000.0,
Change In Other Current Liabilities,47264000.0,101474000.0,-138038000.0,,-62239000.0,92727000.0,
Change In Payable,220884000.0,547481000.0,-232780000.0,,-64135000.0,302166000.0,
Change In Inventory,-173289000.0,-13445000.0,167942000.0,,-81376000.0,-218903000.0,
Change In Receivables,-185353000.0,-502628000.0,406257000.0,,9489000.0,-273684000.0,
Other Non Cash Items,142496000.0,134608000.0,170043000.0,209148000.0,192349000.0,,
Provisionand Write Offof Assets,3731000.0,5515000.0,-3673000.0,,-36222000.0,30640000.0,
Deferred Tax,67114000.0,38998000.0,44895000.0,,51839000.0,41227000.0,
Depreciation And Amortization,133813000.0,138223000.0,132061000.0,,143622000.0,137333000.0,
Depreciation,133813000.0,138223000.0,132061000.0,,143622000.0,137333000.0,
Pension And Employee Benefit Expense,,5656000.0,,,,6614000.0,
Gain Loss On Investment Securities,,,,,,,0.0
Gain Loss On Sale Of PPE,-114000.0,114000.0,1402000.0,,-114000.0,-258000.0,
Net Income From Continuing Operations,123272000.0,37105000.0,-2226000.0,,110332000.0,35532000.0,
