,2026-06-30,2026-03-31,2025-12-31,2025-09-30,2025-06-30,2025-03-31
Tax Effect Of Unusual Items,-1732356.240738,-2737200.0,-3642760.0,,-6062857.870534,102680.0
Tax Rate For Calcs,0.260387,0.4,0.34,,0.290395,0.34
Normalized EBITDA,442822000.0,355626000.0,346791000.0,,458494000.0,351593000.0
Total Unusual Items,-6653000.0,-6843000.0,-10714000.0,,-20878000.0,302000.0
Total Unusual Items Excluding Goodwill,-6653000.0,-6843000.0,-10714000.0,,-20878000.0,302000.0
Net Income From Continuing Operation Net Minority Interest,86869000.0,3920000.0,-34398000.0,,86822000.0,10892000.0
Reconciled Depreciation,133813000.0,138223000.0,132061000.0,,143622000.0,137333000.0
Reconciled Cost Of Revenue,3526927000.0,3365795000.0,3107012000.0,,3572351000.0,3494318000.0
EBITDA,436169000.0,348783000.0,336077000.0,,437616000.0,351895000.0
EBIT,302356000.0,210560000.0,204016000.0,,293994000.0,214562000.0
Net Interest Income,-150103000.0,-150214000.0,-158679000.0,,-145728000.0,-162204000.0
Interest Expense,135685000.0,138018000.0,150246000.0,,138509000.0,137524000.0
Interest Income,282000.0,698000.0,-3023000.0,,1886000.0,711000.0
Normalized Income,91789643.759262,8025800.0,-27326760.0,,101637142.129466,10692680.0
Net Income From Continuing And Discontinued Operation,86869000.0,3920000.0,-34398000.0,,86822000.0,10892000.0
Total Expenses,3728532000.0,3581843000.0,3329232000.0,,3804995000.0,3724151000.0
Diluted Average Shares,149771556.0,149769774.0,,,149770571.0,149769774.0
Basic Average Shares,149771556.0,149769774.0,,,149770571.0,149769774.0
Diluted EPS,0.58001,0.02618,,,0.5797,0.07274
Basic EPS,0.58001,0.02618,,,0.5797,0.07274
Diluted NI Availto Com Stockholders,86869000.0,3920000.0,-34398000.0,,86822000.0,10892000.0
Net Income Common Stockholders,86869000.0,3920000.0,-34398000.0,,86822000.0,10892000.0
Otherunder Preferred Stock Dividend,0.0,0.0,0.0,,0.0,0.0
Net Income,86869000.0,3920000.0,-34398000.0,,86822000.0,10892000.0
Minority Interests,-36403000.0,-33185000.0,-32172000.0,,-23510000.0,-24640000.0
Net Income Including Noncontrolling Interests,123272000.0,37105000.0,-2226000.0,,110333000.0,35532000.0
Net Income Continuous Operations,123272000.0,37105000.0,-2226000.0,,110333000.0,35532000.0
Tax Provision,43399000.0,35437000.0,55996000.0,,45152000.0,41506000.0
Pretax Income,166671000.0,72542000.0,53770000.0,,155485000.0,77038000.0
Special Income Charges,-8407000.0,-6843000.0,-8717000.0,,-12161000.0,302000.0
Other Special Charges,-2031000.0,-941000.0,258000.0,,-1346000.0,-1518000.0
Write Off,3285000.0,-275000.0,-1264000.0,,0.0,-373000.0
Restructuring And Mergern Acquisition,7153000.0,8059000.0,9723000.0,,13507000.0,1589000.0
Net Non Operating Interest Income Expense,-150103000.0,-150214000.0,-158679000.0,,-145728000.0,-162204000.0
Total Other Finance Cost,14700000.0,12894000.0,5410000.0,,9105000.0,25391000.0
Interest Expense Non Operating,135685000.0,138018000.0,150246000.0,,138509000.0,137524000.0
Interest Income Non Operating,282000.0,698000.0,-3023000.0,,1886000.0,711000.0
Operating Income,283938000.0,225490000.0,189888000.0,,301973000.0,213899000.0
Operating Expense,201605000.0,216048000.0,222220000.0,,232644000.0,229833000.0
Other Operating Expenses,779000.0,5729000.0,4023000.0,,-386000.0,3732000.0
Selling General And Administration,213840000.0,210319000.0,224616000.0,210230000.0,244020000.0,
Selling And Marketing Expense,15375000.0,21707000.0,13183000.0,,26065000.0,20413000.0
General And Administrative Expense,198465000.0,188612000.0,211433000.0,188462000.0,217955000.0,
Gross Profit,485543000.0,441538000.0,412108000.0,,534617000.0,443732000.0
Cost Of Revenue,3526927000.0,3365795000.0,3107012000.0,,3572351000.0,3494318000.0
Total Revenue,4012470000.0,3807333000.0,3519120000.0,,4106968000.0,3938050000.0
Operating Revenue,4012470000.0,3807333000.0,3519120000.0,,4106968000.0,3938050000.0
