,2025-12-31,2024-12-31,2023-12-31,2022-12-31,2021-12-31
Free Cash Flow,-93378000.0,-1464276000.0,-224553000.0,-129259000.0,
Repurchase Of Capital Stock,-46546000.0,-73290000.0,-6844000.0,0.0,
Issuance Of Capital Stock,48009000.0,48232000.0,670000.0,61254000.0,
Capital Expenditure,-18751000.0,-26241000.0,-2008000.0,-1532000.0,
End Cash Position,657173000.0,657173000.0,205842000.0,301559000.0,
Beginning Cash Position,869196000.0,2328331000.0,301559000.0,312602000.0,
Effect Of Exchange Rate Changes,34369000.0,63641000.0,16625000.0,-9926000.0,
Changes In Cash,-246392000.0,-1734799000.0,-112342000.0,-1117000.0,
Financing Cash Flow,-153007000.0,-270516000.0,111870000.0,131446000.0,
Interest Paid Cff,-89434000.0,-123902000.0,-25710000.0,-11475000.0,
Net Common Stock Issuance,1463000.0,-25058000.0,-6174000.0,61254000.0,
Common Stock Payments,-46546000.0,-73290000.0,-6844000.0,0.0,
Common Stock Issuance,48009000.0,48232000.0,670000.0,61254000.0,
Net Issuance Payments Of Debt,-65036000.0,-121556000.0,143754000.0,81667000.0,
Net Long Term Debt Issuance,-65036000.0,-121556000.0,143754000.0,81667000.0,
Investing Cash Flow,-18758000.0,-26248000.0,-1667000.0,-4836000.0,
Dividends Received Cfi,,6605000.0,0.0,,
Net Investment Purchase And Sale,-7000.0,-7000.0,341000.0,-3304000.0,
Purchase Of Investment,,,,-3304000.0,0.0
Net Business Purchase And Sale,0.0,0.0,0.0,0.0,
Sale Of Business,,1054000.0,0.0,,
Purchase Of Business,,-8332000.0,0.0,,0.0
Net Intangibles Purchase And Sale,-4899000.0,-10629000.0,0.0,0.0,
Net PPE Purchase And Sale,-13852000.0,-15612000.0,-2008000.0,-1532000.0,
Operating Cash Flow,-74627000.0,-1438035000.0,-222545000.0,-127727000.0,
Change In Working Capital,-701599000.0,-2358118000.0,-450850000.0,-234218000.0,
Change In Other Current Liabilities,944395000.0,3068938000.0,2195356000.0,576695000.0,
Change In Other Current Assets,-200710000.0,-836456000.0,132468000.0,-508461000.0,
Change In Receivables,-71630000.0,-52012000.0,,,
Stock Based Compensation,1333000.0,3286000.0,5062000.0,0.0,
Provisionand Write Offof Assets,327261000.0,426176000.0,-9119000.0,33887000.0,
Deferred Tax,55865000.0,120092000.0,70633000.0,19648000.0,
Depreciation And Amortization,8338000.0,16490000.0,2120000.0,2130000.0,
Amortization Cash Flow,236000.0,936000.0,,,
Depreciation,8102000.0,15554000.0,2120000.0,2130000.0,
Net Foreign Currency Exchange Gain Loss,-34369000.0,-63641000.0,-16625000.0,9926000.0,
Net Income From Continuing Operations,288363000.0,444835000.0,180878000.0,40900000.0,
