,2025-12-31,2024-12-31,2023-12-31,2022-12-31,2021-12-31
Free Cash Flow,1117912000.0,899571000.0,907173000.0,-52072000.0,
Repayment Of Debt,-1169268000.0,-692081000.0,-729674000.0,-812152000.0,
Issuance Of Debt,1816832000.0,1165399000.0,764124000.0,921325000.0,
Issuance Of Capital Stock,,,,1027000.0,1618000.0
Capital Expenditure,-320853000.0,-344577000.0,-153953000.0,-97439000.0,
End Cash Position,2221811000.0,2093398000.0,1536121000.0,1171473000.0,
Beginning Cash Position,2093398000.0,1536121000.0,1171473000.0,1322975000.0,
Effect Of Exchange Rate Changes,-21060000.0,25536000.0,-37190000.0,-19868000.0,
Changes In Cash,149473000.0,531741000.0,401838000.0,-131634000.0,
Financing Cash Flow,-968104000.0,-393085000.0,-425887000.0,-82963000.0,
Interest Paid Cff,-1592334000.0,-802019000.0,-439480000.0,-193163000.0,
Net Common Stock Issuance,8219000.0,-36862000.0,2690000.0,1027000.0,
Common Stock Issuance,,,,1027000.0,1618000.0
Net Issuance Payments Of Debt,647564000.0,473318000.0,34450000.0,109173000.0,
Net Long Term Debt Issuance,647564000.0,473318000.0,34450000.0,109173000.0,
Long Term Debt Payments,-1169268000.0,-692081000.0,-729674000.0,-812152000.0,
Long Term Debt Issuance,1816832000.0,1165399000.0,764124000.0,921325000.0,
Investing Cash Flow,-321188000.0,-319322000.0,-233401000.0,-94038000.0,
Dividends Received Cfi,18248000.0,22161000.0,9499000.0,2306000.0,
Net Investment Purchase And Sale,3695000.0,10188000.0,4885000.0,1095000.0,
Sale Of Investment,3695000.0,10188000.0,4885000.0,1095000.0,
Net Business Purchase And Sale,-22278000.0,-7094000.0,-93832000.0,0.0,
Sale Of Business,,0.0,0.0,0.0,
Purchase Of Business,-22278000.0,-7094000.0,-93832000.0,0.0,
Net Intangibles Purchase And Sale,-10411000.0,-14601000.0,-5485000.0,-7113000.0,
Purchase Of Intangibles,-10411000.0,-14601000.0,-5485000.0,-7113000.0,
Net PPE Purchase And Sale,-310442000.0,-329976000.0,-148468000.0,-90326000.0,
Purchase Of PPE,-310442000.0,-329976000.0,-148468000.0,-90326000.0,
Operating Cash Flow,1438765000.0,1244148000.0,1061126000.0,45367000.0,
Taxes Refund Paid,-80019000.0,-91821000.0,-10203000.0,-9273000.0,
Change In Working Capital,-451026000.0,-593326000.0,-286088000.0,-636358000.0,
Change In Other Current Assets,,,,5283000.0,-5142000.0
Change In Payable,-149076000.0,-123476000.0,182411000.0,499910000.0,
Change In Inventory,-24201000.0,-161538000.0,-396888000.0,-420305000.0,
Change In Receivables,-277749000.0,-308312000.0,-71611000.0,-715963000.0,
Other Non Cash Items,-29378000.0,272601000.0,141871000.0,73816000.0,
Provisionand Write Offof Assets,121238000.0,63526000.0,111737000.0,49235000.0,
Deferred Tax,331941000.0,248244000.0,-8067000.0,-63967000.0,
Depreciation And Amortization,156471000.0,167592000.0,146369000.0,119808000.0,
Amortization Cash Flow,,,6367000.0,4912000.0,
Depreciation,156471000.0,167592000.0,140002000.0,114896000.0,
Pension And Employee Benefit Expense,55601000.0,19929000.0,47096000.0,42470000.0,
Gain Loss On Investment Securities,6709000.0,12499000.0,3352000.0,3614000.0,
Net Income From Continuing Operations,1235508000.0,1222377000.0,810811000.0,436802000.0,
