,2026-06-30,2026-03-31,2025-12-31,2025-06-30,2025-03-31,2024-12-31
Free Cash Flow,-49809000.0,-47667000.0,562124000.0,135204000.0,67239000.0,
Repayment Of Debt,-306510000.0,-521095000.0,-277292000.0,-331682000.0,-145703000.0,
Issuance Of Debt,340875000.0,294824000.0,659788000.0,611969000.0,133010000.0,
Capital Expenditure,-400000.0,-610000.0,-284900000.0,-1094000.0,-7751000.0,
End Cash Position,1587320000.0,1828183000.0,2221811000.0,1953445000.0,1762813000.0,
Beginning Cash Position,1828183000.0,2221811000.0,1990624000.0,1762813000.0,2093398000.0,
Effect Of Exchange Rate Changes,1064000.0,-11697000.0,9048000.0,-5571000.0,-20417000.0,
Changes In Cash,-241927000.0,-381931000.0,222139000.0,196203000.0,-310168000.0,
Financing Cash Flow,-125730000.0,-280231000.0,-545879000.0,139430000.0,-322310000.0,
Interest Paid Cff,-151741000.0,-49164000.0,-920642000.0,-133329000.0,-307526000.0,
Net Common Stock Issuance,553000.0,4003000.0,745000.0,74000.0,5974000.0,
Net Issuance Payments Of Debt,34365000.0,-226271000.0,382496000.0,280287000.0,-12693000.0,
Net Long Term Debt Issuance,34365000.0,-226271000.0,382496000.0,280287000.0,-12693000.0,
Long Term Debt Payments,-306510000.0,-521095000.0,-277292000.0,-331682000.0,-145703000.0,
Long Term Debt Issuance,340875000.0,294824000.0,659788000.0,611969000.0,133010000.0,
Investing Cash Flow,-66788000.0,-54643000.0,-79006000.0,-79525000.0,-62848000.0,
Net Other Investing Changes,-68758000.0,-54371000.0,,-64502000.0,-59733000.0,
Dividends Received Cfi,,0.0,4262000.0,,5683000.0,16628000.0
Net Investment Purchase And Sale,0.0,0.0,25973000.0,-22278000.0,-3547000.0,
Net Intangibles Purchase And Sale,-400000.0,-610000.0,25542000.0,-1094000.0,-7751000.0,
Purchase Of Intangibles,-400000.0,-610000.0,25542000.0,-1094000.0,-7751000.0,
Net PPE Purchase And Sale,405000.0,338000.0,-312880000.0,46000.0,2500000.0,
Sale Of PPE,405000.0,338000.0,,46000.0,2500000.0,
Operating Cash Flow,-49409000.0,-47057000.0,847024000.0,136298000.0,74990000.0,
Taxes Refund Paid,-10111000.0,-26126000.0,-25139000.0,-19192000.0,-25046000.0,
Change In Working Capital,-451666000.0,-303238000.0,215501000.0,-278999000.0,-194836000.0,
Change In Payable,76409000.0,-100352000.0,-182227000.0,85353000.0,-172962000.0,
Change In Inventory,-18330000.0,-192878000.0,197329000.0,-35584000.0,-139043000.0,
Change In Receivables,-509745000.0,-10008000.0,200399000.0,-328768000.0,117169000.0,
Other Non Cash Items,24094000.0,-53532000.0,96974000.0,-47770000.0,-95364000.0,
Provisionand Write Offof Assets,25828000.0,24880000.0,25594000.0,36239000.0,21206000.0,
Deferred Tax,53737000.0,66709000.0,76632000.0,80862000.0,90006000.0,
Depreciation And Amortization,42750000.0,43033000.0,40462000.0,38983000.0,38245000.0,
Depreciation,42750000.0,43033000.0,40462000.0,38983000.0,38245000.0,
Pension And Employee Benefit Expense,6360000.0,11543000.0,25253000.0,8073000.0,10370000.0,
Gain Loss On Investment Securities,,,3021000.0,,,4018000.0
Gain Loss On Sale Of PPE,1172000.0,703000.0,,316000.0,2842000.0,
Net Income From Continuing Operations,271216000.0,264608000.0,341728000.0,321091000.0,243071000.0,
