,2026-06-30,2026-03-31,2025-12-31,2025-09-30,2025-06-30,2025-03-31,2024-12-31
Free Cash Flow,1217775000.0,-315763000.0,1042680000.0,-443213000.0,369296000.0,,
Repurchase Of Capital Stock,-78751000.0,-139174000.0,-88427000.0,-72550000.0,-27333000.0,,
Repayment Of Debt,-947791000.0,-209192000.0,-413455000.0,-405561000.0,-342895000.0,,
Issuance Of Capital Stock,736533000.0,755479000.0,459797000.0,433213000.0,663882000.0,,
Capital Expenditure,-212118000.0,-118254000.0,-145563000.0,-14122000.0,-130072000.0,,
End Cash Position,1821756000.0,1993244000.0,1897923000.0,1486324000.0,2063270000.0,,
Beginning Cash Position,1993244000.0,1897923000.0,1486324000.0,2063270000.0,2033491000.0,,
Changes In Cash,-171488000.0,95321000.0,411599000.0,-576946000.0,29779000.0,,
Financing Cash Flow,-1385292000.0,407113000.0,-581711000.0,-44898000.0,-356772000.0,,
Cash Dividends Paid,,,-539626000.0,0.0,,,-220692000.0
Common Stock Dividend Paid,,,-539626000.0,0.0,,,-220692000.0
Net Common Stock Issuance,657782000.0,616305000.0,371370000.0,360663000.0,636549000.0,,
Common Stock Payments,-78751000.0,-139174000.0,-88427000.0,-72550000.0,-27333000.0,,
Common Stock Issuance,736533000.0,755479000.0,459797000.0,433213000.0,663882000.0,,
Net Issuance Payments Of Debt,-947791000.0,-209192000.0,-413455000.0,-405561000.0,-342895000.0,,
Net Long Term Debt Issuance,-947791000.0,-209192000.0,-413455000.0,-405561000.0,-342895000.0,,
Long Term Debt Payments,-947791000.0,-209192000.0,-413455000.0,-405561000.0,-342895000.0,,
Investing Cash Flow,-216089000.0,-114283000.0,-194933000.0,-102957000.0,-112817000.0,,
Net Other Investing Changes,,,-49966000.0,,,,-64280000.0
Dividends Received Cfi,,0.0,,,,0.0,
Net Business Purchase And Sale,,0.0,,0.0,0.0,0.0,
Net Intangibles Purchase And Sale,-172632000.0,,,,,,
Purchase Of Intangibles,-172632000.0,-115940000.0,-145563000.0,-92350000.0,-95505000.0,,
Net PPE Purchase And Sale,-43457000.0,1657000.0,596000.0,76552000.0,-17312000.0,,
Sale Of PPE,,3971000.0,596000.0,-1676000.0,17255000.0,31982000.0,
Purchase Of PPE,-39486000.0,-2314000.0,,,-34567000.0,-43661000.0,
Operating Cash Flow,1429893000.0,-197509000.0,1188243000.0,-429091000.0,499368000.0,,
Taxes Refund Paid,-328792000.0,-246797000.0,-293974000.0,-457680000.0,-375067000.0,,
Interest Paid Cfo,-57438000.0,-51118000.0,-47899000.0,-46333000.0,-39134000.0,,
Change In Working Capital,369629000.0,-345178000.0,1227835000.0,-1129995000.0,-409658000.0,,
Change In Other Current Liabilities,2147350000.0,-552447000.0,3509826000.0,1113215000.0,240827000.0,,
Change In Other Current Assets,-1496083000.0,-408188000.0,-954693000.0,-2479981000.0,-1317744000.0,,
Change In Payable,-343166000.0,860761000.0,140873000.0,644994000.0,64895000.0,,
Change In Receivables,-268613000.0,-152643000.0,-591545000.0,-9992000.0,6094000.0,,
Provisionand Write Offof Assets,250445000.0,-440095000.0,-795979000.0,344042000.0,345751000.0,,
Deferred Tax,,-316520000.0,,,,-26629000.0,
Depreciation And Amortization,108778000.0,108463000.0,105494000.0,102492000.0,106610000.0,,
Amortization Cash Flow,82690000.0,82431000.0,,,81082000.0,83837000.0,
Depreciation,26088000.0,26032000.0,105494000.0,267411000.0,25528000.0,,
Gain Loss On Sale Of PPE,-401000.0,1044000.0,2321000.0,-1990000.0,-19444000.0,,
Net Income From Continuing Operations,886633000.0,1141626000.0,846272000.0,842650000.0,902892000.0,,
