,2025-12-31,2024-12-31,2023-12-31,2022-12-31
Tax Effect Of Unusual Items,-195811726.0,-244724214.0,-165402755.0,-42942125.0
Tax Rate For Calcs,0.262,0.318,0.347,0.125
Total Unusual Items,-747373000.0,-769573000.0,-476665000.0,-343537000.0
Total Unusual Items Excluding Goodwill,-747373000.0,-769573000.0,-476665000.0,-343537000.0
Net Income From Continuing Operation Net Minority Interest,3380884000.0,2644845000.0,2266149000.0,1139971000.0
Reconciled Depreciation,422720000.0,413065000.0,381457000.0,284251000.0
EBIT,4689594000.0,4032180000.0,3859969000.0,1656293000.0
Net Interest Income,-1582161000.0,-1299480000.0,-1564125000.0,-381605000.0
Interest Expense,50079000.0,87614000.0,316938000.0,333620000.0
Interest Income,188772000.0,216808000.0,284053000.0,268940000.0
Normalized Income,3932445274.0,3169693786.0,2577411245.0,1440565875.0
Net Income From Continuing And Discontinued Operation,3380884000.0,2644845000.0,2266149000.0,1139971000.0
Total Expenses,38108147000.0,32582164000.0,30235516000.0,23116161000.0
Diluted Average Shares,648695000.0,640468513.0,647050000.0,644166000.0
Basic Average Shares,648695000.0,640468513.0,647050000.0,644166000.0
Diluted EPS,5.2118,4.129547,3.502278,1.769685
Basic EPS,5.2118,4.129547,3.502278,1.769685
Diluted NI Availto Com Stockholders,3380884000.0,2644845000.0,2266149000.0,1139971000.0
Net Income Common Stockholders,3380884000.0,2644845000.0,2266149000.0,1139971000.0
Net Income,3380884000.0,2644845000.0,2266149000.0,1139971000.0
Minority Interests,-43194000.0,-45937000.0,-48708000.0,-17443000.0
Net Income Including Noncontrolling Interests,3424078000.0,2690782000.0,2314857000.0,1157414000.0
Net Income Continuous Operations,3424078000.0,2690782000.0,2314857000.0,1157414000.0
Tax Provision,1215437000.0,1253784000.0,1228174000.0,165259000.0
Pretax Income,4639515000.0,3944566000.0,3543031000.0,1322673000.0
Other Income Expense,4959092000.0,3853891000.0,3421181000.0,30593000.0
Special Income Charges,-747373000.0,-769573000.0,-476665000.0,-343537000.0
Other Special Charges,-3019000.0,-4033000.0,0.0,0.0
Restructuring And Mergern Acquisition,750392000.0,773606000.0,476665000.0,343537000.0
Net Non Operating Interest Income Expense,-1582161000.0,-1299480000.0,-1564125000.0,-381605000.0
Total Other Finance Cost,1532082000.0,1211866000.0,1247187000.0,47985000.0
Interest Expense Non Operating,50079000.0,87614000.0,316938000.0,333620000.0
Other Operating Expenses,3492820000.0,2805785000.0,2842120000.0,183247000.0
Depreciation And Amortization In Income Statement,62750000.0,40798000.0,40248000.0,12622000.0
Amortization,62750000.0,40798000.0,40248000.0,12622000.0
Selling General And Administration,2716722000.0,2282036000.0,2022435000.0,1645897000.0
Selling And Marketing Expense,151299000.0,151529000.0,141504000.0,133276000.0
General And Administrative Expense,2565423000.0,2130507000.0,1880931000.0,1512621000.0
Total Revenue,42747662000.0,36526730000.0,33835349000.0,24438834000.0
Operating Revenue,42747662000.0,36526730000.0,33835349000.0,24438834000.0
Net Policyholder Benefits And Claims,25548408000.0,21776171000.0,20162228000.0,17906431000.0
