,2025-12-31,2024-12-31,2023-12-31,2022-12-31,2021-12-31
Tax Effect Of Unusual Items,-21049060.0,-45771140.0,-39459132.7,-62393962.5,
Tax Rate For Calcs,0.34,0.34,0.3263,0.2985,
Normalized EBITDA,726141000.0,806683000.0,812750000.0,1035507000.0,
Total Unusual Items,-61909000.0,-134621000.0,-120929000.0,-209025000.0,
Total Unusual Items Excluding Goodwill,-61909000.0,-134621000.0,-120929000.0,-209025000.0,
Net Income From Continuing Operation Net Minority Interest,-2534000.0,10334000.0,-82435000.0,92818000.0,
Reconciled Depreciation,300325000.0,399522000.0,475317000.0,415419000.0,
Reconciled Cost Of Revenue,183595000.0,254239000.0,368963000.0,444216000.0,
EBITDA,664232000.0,672062000.0,691821000.0,826482000.0,
EBIT,363907000.0,272540000.0,216504000.0,411063000.0,
Net Interest Income,-273580000.0,-286413000.0,-222942000.0,-169641000.0,
Interest Expense,257261000.0,260509000.0,328131000.0,264331000.0,
Interest Income,28612000.0,24543000.0,138776000.0,127828000.0,
Normalized Income,38325940.0,99183860.0,-965132.7,239449037.5,
Net Income From Continuing And Discontinued Operation,10665000.0,6579000.0,-82435000.0,92818000.0,
Total Expenses,1096249000.0,1203775000.0,1517152000.0,1486206000.0,
Rent Expense Supplemental,286000.0,774000.0,4864000.0,9810000.0,
Total Operating Income As Reported,279975000.0,279975000.0,117493000.0,,
Diluted Average Shares,282414670.0,281323576.0,279596908.0,278606935.0,
Basic Average Shares,281323576.0,281323576.0,279248312.0,278454229.0,
Diluted EPS,0.03745,0.02324,-0.2952,0.33315,
Basic EPS,0.03767,0.02338,-0.2952,0.33333,
Diluted NI Availto Com Stockholders,10665000.0,6579000.0,-82435000.0,92818000.0,
Net Income Common Stockholders,10665000.0,6579000.0,-82435000.0,92818000.0,
Otherunder Preferred Stock Dividend,0.0,0.0,0.0,0.0,
Net Income,10665000.0,6579000.0,-82435000.0,92818000.0,
Minority Interests,-6384000.0,-8484000.0,-7060000.0,-8660000.0,
Net Income Including Noncontrolling Interests,17049000.0,15063000.0,-75375000.0,101478000.0,
Net Income Discontinuous Operations,13199000.0,-3755000.0,,,
Net Income Continuous Operations,3850000.0,18818000.0,-75375000.0,101478000.0,
Tax Provision,102796000.0,-6787000.0,-36252000.0,45254000.0,
Pretax Income,106646000.0,12031000.0,-111627000.0,146732000.0,
Other Non Operating Income Expenses,,,,4415000.0,18322000.0
Special Income Charges,-46131000.0,-132865000.0,-108593000.0,-98021000.0,
Other Special Charges,-68015000.0,99990000.0,127407000.0,-1366000.0,
Write Off,112146000.0,132865000.0,108593000.0,98021000.0,
Impairment Of Capital Assets,2000000.0,,,,
Net Non Operating Interest Income Expense,-273580000.0,-286413000.0,-222942000.0,-169641000.0,
Total Other Finance Cost,44931000.0,50447000.0,33587000.0,33138000.0,
Interest Expense Non Operating,257261000.0,260509000.0,328131000.0,264331000.0,
Interest Income Non Operating,28612000.0,24543000.0,138776000.0,127828000.0,
Operating Income,330596000.0,338149000.0,232754000.0,465202000.0,
Operating Expense,912654000.0,949536000.0,1148189000.0,1041990000.0,
Other Operating Expenses,256956000.0,159994000.0,209162000.0,118994000.0,
Depreciation And Amortization In Income Statement,300325000.0,399522000.0,475317000.0,415419000.0,
Depreciation Income Statement,300325000.0,399522000.0,475317000.0,415419000.0,
Selling General And Administration,180506000.0,220824000.0,251251000.0,269201000.0,
Selling And Marketing Expense,78859000.0,122364000.0,157343000.0,178473000.0,
General And Administrative Expense,101647000.0,98460000.0,93908000.0,90728000.0,
Gross Profit,1243250000.0,1287685000.0,1380943000.0,1507192000.0,
Cost Of Revenue,183595000.0,254239000.0,368963000.0,444216000.0,
Total Revenue,1426845000.0,1541924000.0,1749906000.0,1951408000.0,
Operating Revenue,1426845000.0,1541924000.0,1749906000.0,1951408000.0,
