,2025-12-31,2024-12-31,2023-12-31,2022-12-31,2021-12-31
Tax Effect Of Unusual Items,9454357.9,-2842034.782388,14873151.0,-3869011.8,
Tax Rate For Calcs,0.1021,0.146316,0.1065,0.1494,
Normalized EBITDA,3470388000.0,3163109000.0,2582405000.0,2478495000.0,
Total Unusual Items,92599000.0,-19424000.0,169765000.0,-25897000.0,
Total Unusual Items Excluding Goodwill,92599000.0,-19424000.0,139654000.0,-25897000.0,
Net Income From Continuing Operation Net Minority Interest,1296861000.0,1199864000.0,1054973000.0,996112000.0,
Reconciled Depreciation,1048929000.0,911965000.0,797690000.0,700166000.0,
Reconciled Cost Of Revenue,31285561000.0,27314741000.0,23766426000.0,20257912000.0,
EBITDA,3562987000.0,3143685000.0,2752170000.0,2452598000.0,
EBIT,2514058000.0,2231720000.0,1954480000.0,1752432000.0,
Net Interest Income,-1314911000.0,-969155000.0,-916576000.0,-673914000.0,
Interest Expense,1066003000.0,812726000.0,737787000.0,559223000.0,
Interest Income,0.0,24000.0,43000.0,487000.0,
Normalized Income,1213716357.9,1216445965.217612,960303151.0,1018139988.2,
Net Income From Continuing And Discontinued Operation,1296861000.0,1199864000.0,1054973000.0,996112000.0,
Total Expenses,41601474000.0,36501061000.0,32020446000.0,27201338000.0,
Total Operating Income As Reported,,,2080489000.0,1839324000.0,
Diluted Average Shares,1658501000.0,1688087760.0,1662594115.0,1686747480.0,
Basic Average Shares,1647000000.0,1682211540.0,1662594115.0,1680606060.0,
Diluted EPS,0.78195,0.710784,0.634532,0.590549,
Basic EPS,0.78741,0.713265,0.634532,0.592706,
Diluted NI Availto Com Stockholders,1296861000.0,1199864000.0,1054973000.0,996112000.0,
Net Income Common Stockholders,1296861000.0,1199864000.0,1054973000.0,996112000.0,
Otherunder Preferred Stock Dividend,0.0,0.0,0.0,0.0,
Net Income,1296861000.0,1199864000.0,1054973000.0,996112000.0,
Minority Interests,-3382000.0,-11509000.0,-32170000.0,-18856000.0,
Net Income Including Noncontrolling Interests,1300243000.0,1211373000.0,1087143000.0,1014968000.0,
Net Income Continuous Operations,1300243000.0,1211373000.0,1087143000.0,1014968000.0,
Tax Provision,147812000.0,207621000.0,129550000.0,178241000.0,
Pretax Income,1448055000.0,1418994000.0,1216693000.0,1193209000.0,
Special Income Charges,92599000.0,-19424000.0,139654000.0,-25897000.0,
Other Special Charges,-145127000.0,-15827000.0,-168904000.0,-2448000.0,
Impairment Of Capital Assets,29510000.0,9717000.0,-861000.0,28345000.0,
Restructuring And Mergern Acquisition,23018000.0,25534000.0,0.0,,0.0
Net Non Operating Interest Income Expense,-1314911000.0,-969155000.0,-916576000.0,-673914000.0,
Total Other Finance Cost,248908000.0,156453000.0,178832000.0,115178000.0,
Interest Expense Non Operating,1066003000.0,812726000.0,737787000.0,559223000.0,
Interest Income Non Operating,0.0,24000.0,43000.0,487000.0,
Operating Income,2648975000.0,2370461000.0,1953344000.0,1866042000.0,
Operating Expense,10315913000.0,9186320000.0,8254020000.0,6943426000.0,
Other Operating Expenses,28114000.0,-12127000.0,61450000.0,-103303000.0,
Selling General And Administration,10289765000.0,9198447000.0,8192801000.0,7055839000.0,
Selling And Marketing Expense,8719372000.0,7627819000.0,6689275000.0,5805992000.0,
General And Administrative Expense,1570393000.0,1570628000.0,1503526000.0,1249847000.0,
Gross Profit,12964888000.0,11556781000.0,10207364000.0,8809468000.0,
Cost Of Revenue,31285561000.0,27314741000.0,23766426000.0,20257912000.0,
Total Revenue,44250449000.0,38871522000.0,33973790000.0,29067380000.0,
Operating Revenue,44250449000.0,38871522000.0,33973790000.0,29067380000.0,
