,2025-12-31,2024-12-31,2023-12-31,2022-12-31,2021-12-31
Tax Effect Of Unusual Items,-85489600.0,-5099831.549103,-2720960.0,30737986.633732,
Tax Rate For Calcs,0.34,0.028517,0.04,0.238833,
Normalized EBITDA,15590494000.0,13502812000.0,11686659000.0,7408603000.0,
Total Unusual Items,-251440000.0,-178835000.0,-68024000.0,128701000.0,
Total Unusual Items Excluding Goodwill,-251440000.0,-178835000.0,-68024000.0,128701000.0,
Net Income From Continuing Operation Net Minority Interest,1875473000.0,1813627000.0,1805566000.0,1844306000.0,
Reconciled Depreciation,5941749000.0,6109548000.0,4624294000.0,2063553000.0,
Reconciled Cost Of Revenue,30651613000.0,28518696000.0,20630206000.0,11135459000.0,
EBITDA,15339054000.0,13323977000.0,11618635000.0,7537304000.0,
EBIT,9397305000.0,7214429000.0,6994341000.0,5473751000.0,
Net Interest Income,-4516945000.0,-3900671000.0,-4001220000.0,-2199182000.0,
Interest Expense,6199437000.0,5347891000.0,5120140000.0,3054826000.0,
Interest Income,1682492000.0,1447220000.0,1118920000.0,855644000.0,
Normalized Income,2041423400.0,1987362168.450897,1870869040.0,1746342986.633732,
Net Income From Continuing And Discontinued Operation,1875473000.0,1813627000.0,1805566000.0,1844306000.0,
Total Expenses,33709188000.0,31267965000.0,22908200000.0,13293030000.0,
Rent Expense Supplemental,247906000.0,257960000.0,208241000.0,141128000.0,
Diluted Average Shares,1066955590.0,1070709771.0,1027719791.0,872745091.0,
Basic Average Shares,1054466547.0,1058359828.0,1021402552.0,866530524.0,
Diluted EPS,1.75778,1.69385,1.756865,2.113224,
Basic EPS,1.7786,1.71362,1.767732,2.128382,
Diluted NI Availto Com Stockholders,1875473000.0,1813627000.0,1805566000.0,1844306000.0,
Net Income Common Stockholders,1875473000.0,1813627000.0,1805566000.0,1844306000.0,
Otherunder Preferred Stock Dividend,0.0,0.0,0.0,0.0,
Net Income,1875473000.0,1813627000.0,1805566000.0,1844306000.0,
Minority Interests,5003000.0,317000.0,2476000.0,3099000.0,
Net Income Including Noncontrolling Interests,1870470000.0,1813310000.0,1803090000.0,1841207000.0,
Net Income Continuous Operations,1870470000.0,1813310000.0,1803090000.0,1841207000.0,
Tax Provision,1327398000.0,53228000.0,71111000.0,577718000.0,
Pretax Income,3197868000.0,1866538000.0,1874201000.0,2418925000.0,
Special Income Charges,-343566000.0,-271276000.0,-156744000.0,,
Write Off,343566000.0,271276000.0,156744000.0,,
Net Non Operating Interest Income Expense,-4516945000.0,-3900671000.0,-4001220000.0,-2199182000.0,
Total Other Finance Cost,,,61632000.0,7195000.0,9684000.0
Interest Expense Non Operating,6199437000.0,5347891000.0,5120140000.0,3054826000.0,
Interest Income Non Operating,1682492000.0,1447220000.0,1118920000.0,855644000.0,
Operating Income,8072400000.0,6003593000.0,5994084000.0,4490538000.0,
Operating Expense,3057575000.0,2749269000.0,2277994000.0,2157571000.0,
Other Operating Expenses,82822000.0,72852000.0,61632000.0,38801000.0,
Depreciation And Amortization In Income Statement,152850000.0,142564000.0,156697000.0,,
Depreciation Income Statement,152850000.0,142564000.0,156697000.0,,
Selling General And Administration,1436509000.0,1297780000.0,1029846000.0,2118770000.0,
Selling And Marketing Expense,306159000.0,238701000.0,192558000.0,1292483000.0,
General And Administrative Expense,1130350000.0,1059079000.0,837288000.0,826287000.0,
Rent And Landing Fees,57114000.0,35445000.0,26375000.0,,
Gross Profit,11129975000.0,8752862000.0,8272078000.0,6648109000.0,
Cost Of Revenue,30651613000.0,28518696000.0,20630206000.0,11135459000.0,
Total Revenue,41781588000.0,37271558000.0,28902284000.0,17783568000.0,
Operating Revenue,41781588000.0,37271558000.0,28902284000.0,17783568000.0,
