,2025-12-31,2024-12-31,2023-12-31,2022-12-31,2021-12-31
Ordinary Shares Number,1511205519.0,1511205519.0,1511205519.0,1511205519.0,
Share Issued,1511205519.0,1511205519.0,1511205519.0,1511205519.0,
Net Debt,1228870000.0,4343500000.0,4017312000.0,3408420000.0,
Total Debt,7392664000.0,6631335000.0,5777660000.0,5083244000.0,
Tangible Book Value,-254546000.0,-760802000.0,-599467000.0,-167770000.0,
Invested Capital,19178131000.0,16972641000.0,15013684000.0,13370280000.0,
Working Capital,1197816000.0,1445759000.0,806639000.0,840171000.0,
Net Tangible Assets,-254546000.0,-760802000.0,-599467000.0,-167770000.0,
Capital Lease Obligations,562314000.0,487401000.0,508176000.0,499851000.0,
Common Stock Equity,12347781000.0,10828707000.0,9744200000.0,8786887000.0,
Total Capitalization,18318980000.0,16506348000.0,14447472000.0,12890195000.0,
Total Equity Gross Minority Interest,12347781000.0,10828707000.0,9744200000.0,8786887000.0,
Stockholders Equity,12347781000.0,10828707000.0,9744200000.0,8786887000.0,
Other Equity Interest,3810000.0,4001000.0,4205000.0,4322000.0,
Fixed Assets Revaluation Reserve,42265000.0,46067000.0,50164000.0,54426000.0,
Capital Stock,5996137000.0,5996137000.0,5996137000.0,3996137000.0,
Common Stock,5996137000.0,5996137000.0,5996137000.0,3996137000.0,
Total Liabilities Net Minority Interest,14118143000.0,9679293000.0,9059705000.0,7870309000.0,
Total Non Current Liabilities Net Minority Interest,8093395000.0,7828865000.0,7089612000.0,6240651000.0,
Non Current Pension And Other Postretirement Benefit Plans,1362583000.0,1517272000.0,1576500000.0,1343321000.0,
Tradeand Other Payables Non Current,76781000.0,93026000.0,85851000.0,89133000.0,
Non Current Deferred Revenue,593000.0,4153000.0,7713000.0,11273000.0,
Non Current Deferred Taxes Liabilities,2402000.0,4236000.0,10656000.0,10574000.0,
Long Term Debt And Capital Lease Obligation,6395335000.0,6046697000.0,5106543000.0,4507593000.0,
Long Term Capital Lease Obligation,424136000.0,369056000.0,403271000.0,404285000.0,
Long Term Debt,5971199000.0,5677641000.0,4703272000.0,4103308000.0,
Long Term Provisions,255701000.0,163481000.0,302349000.0,278757000.0,
Current Liabilities,6024748000.0,1850428000.0,1970093000.0,1629658000.0,
Other Current Liabilities,3308262000.0,2440000.0,2382000.0,2217000.0,
Current Debt And Capital Lease Obligation,997329000.0,584638000.0,671117000.0,575651000.0,
Current Capital Lease Obligation,138178000.0,118345000.0,104905000.0,95566000.0,
Current Debt,859151000.0,466293000.0,566212000.0,480085000.0,
Pensionand Other Post Retirement Benefit Plans Current,76366000.0,76091000.0,73635000.0,67404000.0,
Payables,1240475000.0,894955000.0,871322000.0,719115000.0,
Other Payable,200245000.0,133511000.0,108649000.0,91968000.0,
Dividends Payable,434512000.0,318066000.0,308821000.0,227335000.0,
Total Tax Payable,100732000.0,111687000.0,98955000.0,102767000.0,
Accounts Payable,504986000.0,331691000.0,354897000.0,297045000.0,
Total Assets,26465924000.0,20508000000.0,18803905000.0,16657196000.0,
Total Non Current Assets,19243360000.0,17211813000.0,16027173000.0,14187367000.0,
Non Current Deferred Taxes Assets,940662000.0,787118000.0,828516000.0,686874000.0,
Investmentin Financial Assets,797305000.0,850582000.0,708227000.0,676465000.0,
Available For Sale Securities,797305000.0,850582000.0,708227000.0,676465000.0,
Long Term Equity Investment,2049000.0,2184000.0,2282000.0,1988000.0,
Goodwill And Other Intangible Assets,12602327000.0,11589509000.0,10343667000.0,8954657000.0,
Other Intangible Assets,12602327000.0,11589509000.0,10343667000.0,8954657000.0,
Net PPE,453245000.0,348623000.0,378052000.0,370524000.0,
Accumulated Depreciation,-346923000.0,-331922000.0,-250925000.0,-255092000.0,
Gross PPE,800168000.0,680545000.0,628977000.0,625616000.0,
Construction In Progress,134193000.0,125484000.0,121632000.0,118359000.0,
Other Properties,482896000.0,387018000.0,346544000.0,349094000.0,
Machinery Furniture Equipment,180158000.0,165122000.0,157856000.0,155241000.0,
Buildings And Improvements,,,,,2616000.0
Land And Improvements,2921000.0,2921000.0,2945000.0,2922000.0,
Properties,0.0,0.0,0.0,0.0,
Current Assets,7222564000.0,3296187000.0,2776732000.0,2469829000.0,
Hedging Assets Current,14029000.0,22451000.0,62838000.0,16053000.0,
Restricted Cash,114909000.0,96892000.0,94640000.0,56664000.0,
Prepaid Assets,,,61654000.0,23705000.0,14375000.0
Inventory,97003000.0,73183000.0,69305000.0,76943000.0,
Other Receivables,28479000.0,26118000.0,22931000.0,20699000.0,
Taxes Receivable,191378000.0,26298000.0,14644000.0,38334000.0,
Accounts Receivable,1175286000.0,1250811000.0,1260202000.0,1086163000.0,
Cash Cash Equivalents And Short Term Investments,5601480000.0,1800434000.0,1252172000.0,1174973000.0,
Cash And Cash Equivalents,5601480000.0,1800434000.0,1252172000.0,1174973000.0,
Cash Equivalents,5601480000.0,1800434000.0,1252172000.0,1174973000.0,
Cash Financial,,,3780000.0,5803000.0,3842000.0
