,2025-12-31,2024-12-31,2023-12-31,2022-12-31,2021-12-31
Free Cash Flow,4444966000.0,866113000.0,456161000.0,247112000.0,
Repurchase Of Capital Stock,-40179000.0,0.0,,,
Repayment Of Debt,-385468000.0,-520359000.0,-452427000.0,-328486000.0,
Issuance Of Debt,904082000.0,1233592000.0,1025541000.0,1073339000.0,
Capital Expenditure,-2615418000.0,-1908908000.0,-1926103000.0,-1744142000.0,
End Cash Position,5608131000.0,1800757000.0,1285158000.0,1207932000.0,
Beginning Cash Position,1800757000.0,1285158000.0,1207932000.0,983127000.0,
Changes In Cash,3807374000.0,515599000.0,77226000.0,224805000.0,
Financing Cash Flow,-637592000.0,-350514000.0,-390324000.0,-17127000.0,
Net Other Financing Charges,-33171000.0,-84749000.0,-55256000.0,-38410000.0,
Interest Paid Cff,-524692000.0,-451291000.0,-412885000.0,-326645000.0,
Cash Dividends Paid,-412743000.0,-403072000.0,-385542000.0,-309347000.0,
Net Common Stock Issuance,-40179000.0,0.0,,,
Common Stock Payments,-40179000.0,0.0,,,
Net Issuance Payments Of Debt,518614000.0,713233000.0,573114000.0,744853000.0,
Net Long Term Debt Issuance,518614000.0,713233000.0,573114000.0,744853000.0,
Long Term Debt Payments,-385468000.0,-520359000.0,-452427000.0,-328486000.0,
Long Term Debt Issuance,904082000.0,1233592000.0,1025541000.0,1073339000.0,
Investing Cash Flow,-2615418000.0,-1908908000.0,-1914714000.0,-1749322000.0,
Net Investment Purchase And Sale,,0.0,11389000.0,-5180000.0,-950000.0
Purchase Of Investment,,,,-5180000.0,-950000.0
Net PPE Purchase And Sale,-2615418000.0,-1908908000.0,-1926103000.0,-1744142000.0,
Purchase Of PPE,-2615418000.0,-1908908000.0,-1926103000.0,-1744142000.0,
Operating Cash Flow,7060384000.0,2775021000.0,2382264000.0,1991254000.0,
Taxes Refund Paid,-324980000.0,-455495000.0,-603487000.0,-469301000.0,
Change In Working Capital,3633663000.0,483353000.0,340158000.0,79644000.0,
Change In Other Current Liabilities,3305438000.0,0.0,,,
Change In Other Current Assets,48523000.0,147311000.0,-82970000.0,-84561000.0,
Change In Accrued Expense,110012000.0,2954000.0,39825000.0,31525000.0,
Change In Payable,454919000.0,417643000.0,619232000.0,557537000.0,
Change In Inventory,-23820000.0,-3878000.0,7638000.0,-19263000.0,
Change In Receivables,-261409000.0,-80677000.0,-243567000.0,-405594000.0,
Other Non Cash Items,637851000.0,546329000.0,473510000.0,430504000.0,
Provisionand Write Offof Assets,168454000.0,-114236000.0,99687000.0,265632000.0,
Deferred Tax,-168596000.0,40635000.0,-126261000.0,-82812000.0,
Depreciation And Amortization,626251000.0,559949000.0,480108000.0,433420000.0,
Amortization Cash Flow,529969000.0,,398680000.0,,
Depreciation,96282000.0,559949000.0,480108000.0,433420000.0,
Pension And Employee Benefit Expense,48391000.0,39090000.0,48233000.0,72703000.0,
Gain Loss On Investment Securities,210222000.0,-15664000.0,58176000.0,-11028000.0,
Net Foreign Currency Exchange Gain Loss,128165000.0,126610000.0,100796000.0,98812000.0,
Net Income From Continuing Operations,2079568000.0,1545347000.0,1503363000.0,1151538000.0,
