,2026-03-31,2025-12-31,2025-06-30,2025-03-31,2024-12-31
Free Cash Flow,-13577000.0,371658000.0,133275000.0,19353000.0,324888000.0
Repurchase Of Capital Stock,0.0,-2419000.0,-5024000.0,-7864000.0,-9484000.0
Capital Expenditure,-12583000.0,-29656000.0,-16870000.0,-14622000.0,-29183000.0
End Cash Position,17540000.0,19948000.0,31530000.0,21617000.0,16531000.0
Beginning Cash Position,19948000.0,16683000.0,21617000.0,16531000.0,10039000.0
Changes In Cash,-2408000.0,3265000.0,9913000.0,5086000.0,6492000.0
Financing Cash Flow,-2248000.0,-417605000.0,-234436000.0,-31643000.0,-309737000.0
Cash Dividends Paid,,-413193000.0,-227297000.0,-21642000.0,-300253000.0
Common Stock Dividend Paid,0.0,-413193000.0,-227297000.0,-21642000.0,-300253000.0
Net Common Stock Issuance,0.0,-2419000.0,-5024000.0,-7864000.0,-9484000.0
Common Stock Payments,0.0,-2419000.0,-5024000.0,-7864000.0,-9484000.0
Investing Cash Flow,834000.0,19556000.0,94204000.0,2754000.0,-37842000.0
Dividends Received Cfi,1324000.0,1275000.0,1900000.0,1575000.0,2200000.0
Net Investment Purchase And Sale,12093000.0,46620000.0,109174000.0,15801000.0,-10859000.0
Sale Of Investment,16186000.0,46620000.0,109174000.0,15801000.0,-10859000.0
Purchase Of Investment,-4093000.0,,,0.0,0.0
Net Intangibles Purchase And Sale,-11509000.0,-27585000.0,-15909000.0,-14178000.0,-27185000.0
Purchase Of Intangibles,-11509000.0,-27585000.0,-15909000.0,-14178000.0,-27185000.0
Net PPE Purchase And Sale,-1074000.0,-1985000.0,-961000.0,-444000.0,-1998000.0
Sale Of PPE,,86000.0,,,0.0
Purchase Of PPE,-1074000.0,-2071000.0,-961000.0,-444000.0,-1998000.0
Operating Cash Flow,-994000.0,401314000.0,150145000.0,33975000.0,354071000.0
Taxes Refund Paid,-51023000.0,-43962000.0,-40437000.0,-70925000.0,-62471000.0
Interest Paid Cfo,-188000.0,-88000.0,-52000.0,-555000.0,
Change In Working Capital,-164241000.0,372162000.0,-65701000.0,-125993000.0,231400000.0
Change In Other Current Liabilities,4082000.0,-21025000.0,-16400000.0,6628000.0,9346000.0
Change In Other Current Assets,-181648000.0,362964000.0,-23573000.0,-117575000.0,234735000.0
Change In Payable,7992000.0,28152000.0,4798000.0,-6290000.0,4234000.0
Change In Inventory,0.0,-6000.0,0.0,50000.0,-52000.0
Change In Receivables,5333000.0,-16770000.0,-4410000.0,-8806000.0,-14741000.0
Other Non Cash Items,-2050000.0,-10424000.0,1575000.0,1536000.0,10820000.0
Provisionand Write Offof Assets,165000.0,694000.0,833000.0,-2750000.0,82000.0
Deferred Tax,68899000.0,40916000.0,62307000.0,77244000.0,-172271000.0
Depreciation And Amortization,17228000.0,263347000.0,15883000.0,14932000.0,233343000.0
Depreciation,17228000.0,263347000.0,15883000.0,14932000.0,233343000.0
Gain Loss On Investment Securities,-20165000.0,-101552000.0,29583000.0,-27305000.0,301000.0
Net Income From Continuing Operations,152140000.0,122795000.0,147797000.0,169569000.0,114607000.0
