,2025-12-31,2024-12-31,2023-12-31,2022-12-31,2021-12-31
Tax Effect Of Unusual Items,29280815.0,33266016.371989,26029461.965345,20602060.0,
Tax Rate For Calcs,0.295,0.293753,0.293766,0.292,
Normalized EBITDA,1083269000.0,966982000.0,931367000.0,518755000.0,
Total Unusual Items,99257000.0,113245000.0,88606000.0,70555000.0,
Total Unusual Items Excluding Goodwill,99257000.0,113245000.0,88606000.0,70555000.0,
Net Income From Continuing Operation Net Minority Interest,582570000.0,539244000.0,511394000.0,365860000.0,
Reconciled Depreciation,310277000.0,280395000.0,262028000.0,37023000.0,
Reconciled Cost Of Revenue,1549869000.0,1490332000.0,1422652000.0,1353346000.0,
EBITDA,1182526000.0,1080227000.0,1019973000.0,589310000.0,
EBIT,872249000.0,799832000.0,757945000.0,552287000.0,
Net Interest Income,-45385000.0,-37984000.0,-12246000.0,-39523000.0,
Interest Expense,42599000.0,36455000.0,33553000.0,34993000.0,
Interest Income,3788000.0,3411000.0,3441000.0,2929000.0,
Normalized Income,512593815.0,459265016.371989,448817461.965345,315907060.0,
Net Income From Continuing And Discontinued Operation,582570000.0,539244000.0,511394000.0,365860000.0,
Total Expenses,1650302000.0,1599413000.0,1476971000.0,1376900000.0,
Rent Expense Supplemental,,2834000.0,2140000.0,3129000.0,7213000.0
Diluted Average Shares,545370000.0,546756000.0,552496000.0,552921000.0,
Basic Average Shares,545370000.0,546756000.0,552496000.0,552921000.0,
Diluted EPS,1.06821,0.98626,0.92561,0.66169,
Basic EPS,1.06821,0.98626,0.92561,0.66169,
Diluted NI Availto Com Stockholders,582570000.0,539244000.0,511394000.0,365860000.0,
Net Income Common Stockholders,582570000.0,539244000.0,511394000.0,365860000.0,
Otherunder Preferred Stock Dividend,0.0,0.0,0.0,0.0,
Net Income,582570000.0,539244000.0,511394000.0,365860000.0,
Minority Interests,33000.0,111000.0,-196000.0,-389000.0,
Net Income Including Noncontrolling Interests,582537000.0,539133000.0,511590000.0,366249000.0,
Net Income Continuous Operations,582537000.0,539133000.0,511590000.0,366249000.0,
Tax Provision,247113000.0,224244000.0,212802000.0,151045000.0,
Pretax Income,829650000.0,763377000.0,724392000.0,517294000.0,
Other Non Operating Income Expenses,,2381000.0,2186000.0,2641000.0,7234000.0
Special Income Charges,-2743000.0,-883000.0,-1981000.0,-6642000.0,
Other Special Charges,2743000.0,883000.0,1981000.0,6642000.0,
Net Non Operating Interest Income Expense,-45385000.0,-37984000.0,-12246000.0,-39523000.0,
Total Other Finance Cost,6574000.0,4940000.0,-17866000.0,7459000.0,
Interest Expense Non Operating,42599000.0,36455000.0,33553000.0,34993000.0,
Interest Income Non Operating,3788000.0,3411000.0,3441000.0,2929000.0,
Operating Income,769857000.0,681779000.0,641696000.0,477492000.0,
Operating Expense,100433000.0,109081000.0,54319000.0,23554000.0,
Other Operating Expenses,29392000.0,42327000.0,36399000.0,27980000.0,
Depreciation And Amortization In Income Statement,,3959000.0,4317000.0,2071000.0,63582000.0
Depreciation Income Statement,,3959000.0,4317000.0,2071000.0,63582000.0
Selling General And Administration,119629000.0,111559000.0,97135000.0,27580000.0,
Selling And Marketing Expense,1351000.0,1431000.0,1505000.0,228086000.0,
General And Administrative Expense,118278000.0,110128000.0,95630000.0,27580000.0,
Rent And Landing Fees,,2834000.0,2140000.0,3129000.0,7213000.0
Gross Profit,870290000.0,790860000.0,696015000.0,501046000.0,
Cost Of Revenue,1549869000.0,1490332000.0,1422652000.0,1353346000.0,
Total Revenue,2420159000.0,2281192000.0,2118667000.0,1854392000.0,
Operating Revenue,2420159000.0,2281192000.0,2118667000.0,1854392000.0,
