,2026-03-31,2025-12-31,2025-09-30,2025-06-30,2025-03-31,2024-12-31
Free Cash Flow,-4295056000.0,-3171633000.0,-610098000.0,-1148144000.0,-449402000.0,
Repayment Of Debt,,-2128504000.0,,,,-383574000.0
Issuance Of Debt,13873101000.0,6436589000.0,4711941000.0,3550714000.0,3636828000.0,
Capital Expenditure,-5056694000.0,-4078384000.0,-3783368000.0,-4328718000.0,-1549922000.0,
End Cash Position,3540240000.0,4663226000.0,4969019000.0,4561016000.0,3640153000.0,
Beginning Cash Position,4663226000.0,4969019000.0,4561016000.0,3640153000.0,1682606000.0,
Changes In Cash,-1122986000.0,-305793000.0,408003000.0,920863000.0,1957547000.0,
Financing Cash Flow,10888841000.0,3511918000.0,3706736000.0,773307000.0,2331166000.0,
Cash Flow From Continuing Financing Activities,10888841000.0,3511918000.0,3706736000.0,773307000.0,2331166000.0,
Net Other Financing Charges,-2984260000.0,-320783000.0,1162140000.0,-413630000.0,-1305662000.0,
Interest Paid Cff,,1000.0,0.0,,,0.0
Cash Dividends Paid,,0.0,0.0,,,0.0
Net Issuance Payments Of Debt,13873101000.0,4308085000.0,2544596000.0,3550714000.0,3636828000.0,
Net Long Term Debt Issuance,13873101000.0,4308085000.0,2544596000.0,3550714000.0,3636828000.0,
Long Term Debt Payments,,-2128504000.0,,,,-383574000.0
Long Term Debt Issuance,13873101000.0,6436589000.0,4711941000.0,3550714000.0,3636828000.0,
Investing Cash Flow,-12773465000.0,-4724462000.0,-6472003000.0,-3033018000.0,-1474139000.0,
Cash Flow From Continuing Investing Activities,-12773465000.0,-4724462000.0,-6472003000.0,-3033018000.0,-1474139000.0,
Net Other Investing Changes,-7996000.0,-2963000.0,-3664000.0,-19487000.0,-1395000.0,
Dividends Received Cfi,8156000.0,,,,0.0,
Net Investment Purchase And Sale,-7414638000.0,-660060000.0,-2684971000.0,1315187000.0,77178000.0,
Sale Of Investment,11567987000.0,10735044000.0,7356819000.0,8297110000.0,4437855000.0,
Purchase Of Investment,-18982625000.0,-11395104000.0,-10041790000.0,-6981923000.0,-4360677000.0,
Net Business Purchase And Sale,-302293000.0,,,,0.0,
Purchase Of Business,-302293000.0,,,,0.0,
Net PPE Purchase And Sale,-5056694000.0,-4078384000.0,,,-1549922000.0,-37991000.0
Purchase Of PPE,-5056694000.0,-4078384000.0,,,-1549922000.0,-37991000.0
Operating Cash Flow,761638000.0,906751000.0,3173270000.0,3180574000.0,1100520000.0,
Cash Flow From Continuing Operating Activities,761638000.0,906751000.0,3173270000.0,3180574000.0,1100520000.0,
Taxes Refund Paid,-616987000.0,-767802000.0,-399867000.0,-981915000.0,-368799000.0,
Interest Paid Cfo,-1210954000.0,-533817000.0,-963207000.0,-438411000.0,-760885000.0,
Change In Working Capital,-1546458000.0,2887413000.0,-2502164000.0,432038000.0,-919275000.0,
Change In Other Working Capital,-36233000.0,3838822000.0,-4216027000.0,-146035000.0,-37806000.0,
Change In Other Current Liabilities,-73955000.0,179244000.0,12698000.0,-70302000.0,-119731000.0,
Change In Other Current Assets,118987000.0,38246000.0,27431000.0,-46467000.0,103434000.0,
Change In Payables And Accrued Expense,-1142828000.0,-1104024000.0,-277191000.0,454133000.0,-640701000.0,
Change In Accrued Expense,-370777000.0,-73277000.0,-38407000.0,-577121000.0,-12261000.0,
Change In Payable,-772051000.0,-1030747000.0,-238784000.0,1031254000.0,-628440000.0,
Change In Account Payable,-58955000.0,-1842188000.0,306551000.0,1199579000.0,-746743000.0,
Change In Tax Payable,-366970000.0,449787000.0,-722515000.0,54100000.0,-304152000.0,
Change In Income Tax Payable,-366970000.0,449787000.0,-722515000.0,54100000.0,-304152000.0,
Change In Inventory,-99022000.0,9188000.0,-28562000.0,94268000.0,-50672000.0,
Change In Receivables,-313407000.0,-74063000.0,1979487000.0,146441000.0,-173799000.0,
Changes In Account Receivables,-184664000.0,237272000.0,1560978000.0,78909000.0,-152222000.0,
Other Non Cash Items,1070115000.0,-3914978000.0,3180356000.0,-571489000.0,733558000.0,
Provisionand Write Offof Assets,153328000.0,-657955000.0,238295000.0,284469000.0,-756000.0,
Asset Impairment Charge,1587000.0,158353000.0,62964000.0,1937000.0,934000.0,
Depreciation Amortization Depletion,697472000.0,546755000.0,535081000.0,543366000.0,583560000.0,
Depreciation And Amortization,697472000.0,546755000.0,535081000.0,543366000.0,583560000.0,
Operating Gains Losses,-144030000.0,206558000.0,-219048000.0,682738000.0,-418743000.0,
Pension And Employee Benefit Expense,-21299000.0,-28781000.0,68084000.0,128211000.0,8264000.0,
Earnings Losses From Equity Investments,-8311000.0,-16173000.0,-7451000.0,-13181000.0,-11348000.0,
Gain Loss On Investment Securities,-114420000.0,-105522000.0,77353000.0,567708000.0,-415659000.0,
Net Income From Continuing Operations,2357565000.0,2982224000.0,3240860000.0,3227841000.0,2250926000.0,
