,2025-12-31,2024-12-31,2023-12-31,2022-12-31
Tax Effect Of Unusual Items,839439440.0,185708962.850976,155800840.0,342090000.0
Tax Rate For Calcs,0.28,0.297831,0.26,0.27
Normalized EBITDA,14369606000.0,17489208000.0,8356504000.0,6674580000.0
Total Unusual Items,2997998000.0,623539000.0,599234000.0,1267000000.0
Total Unusual Items Excluding Goodwill,2997998000.0,623539000.0,599234000.0,1267000000.0
Net Income From Continuing Operation Net Minority Interest,8462059000.0,9579563000.0,3523531000.0,3121267000.0
Reconciled Depreciation,2208762000.0,2676642000.0,2790856000.0,2450849000.0
Reconciled Cost Of Revenue,21927634000.0,14125927000.0,13468403000.0,12091812000.0
EBITDA,17367604000.0,18112747000.0,8955738000.0,7941580000.0
EBIT,15158842000.0,15436105000.0,6164882000.0,5490731000.0
Net Interest Income,-3727689000.0,-2421273000.0,-2150829000.0,-1577009000.0
Interest Expense,3456991000.0,1793297000.0,1410898000.0,1217981000.0
Interest Income,571623000.0,264892000.0,256116000.0,195274000.0
Normalized Income,6303500440.0,9141732962.850977,3080097840.0,2196357000.0
Net Income From Continuing And Discontinued Operation,8462059000.0,9579563000.0,3523531000.0,3121267000.0
Total Expenses,25708661000.0,20740257000.0,19298870000.0,17497512000.0
Total Operating Income As Reported,12599621000.0,15510460000.0,6345980000.0,4645164000.0
Diluted Average Shares,3426665391.0,3423050926.0,3423050926.0,3524534032.0
Basic Average Shares,3425088096.0,3423050926.0,3423050926.0,3524534032.0
Diluted EPS,2.470024,2.7955,1.028345,0.886256
Basic EPS,2.470024,2.7955,1.028345,0.886256
Diluted NI Availto Com Stockholders,8462059000.0,9579563000.0,3523531000.0,3121267000.0
Net Income Common Stockholders,8462059000.0,9579563000.0,3523531000.0,3121267000.0
Net Income,8462059000.0,9579563000.0,3523531000.0,3121267000.0
Net Income Including Noncontrolling Interests,8462059000.0,9579563000.0,3523531000.0,3121267000.0
Net Income Continuous Operations,8462059000.0,9579563000.0,3523531000.0,3121267000.0
Tax Provision,3239792000.0,4063245000.0,1230453000.0,1151483000.0
Pretax Income,11701851000.0,13642808000.0,4753984000.0,4272750000.0
Other Income Expense,3046151000.0,658861000.0,631627000.0,1291551000.0
Special Income Charges,1774887000.0,281870000.0,-82120000.0,357550000.0
Other Special Charges,-1774887000.0,-281870000.0,82120000.0,-357550000.0
Earnings From Equity Interest,48153000.0,35322000.0,32393000.0,24551000.0
Gain On Sale Of Security,1223111000.0,341669000.0,681354000.0,909450000.0
Net Non Operating Interest Income Expense,-3727689000.0,-2421273000.0,-2150829000.0,-1577009000.0
Total Other Finance Cost,842321000.0,892868000.0,996047000.0,554302000.0
Interest Expense Non Operating,3456991000.0,1793297000.0,1410898000.0,1217981000.0
Interest Income Non Operating,571623000.0,264892000.0,256116000.0,195274000.0
Operating Income,12383389000.0,15405220000.0,6273186000.0,4558208000.0
Operating Expense,1716973000.0,4137184000.0,3247004000.0,3146609000.0
Other Operating Expenses,-274731000.0,280450000.0,-27925000.0,-8327000.0
Other Taxes,260520000.0,151074000.0,130422000.0,142458000.0
Provision For Doubtful Accounts,62067000.0,557789000.0,652920000.0,782057000.0
Depreciation Amortization Depletion Income Statement,144708000.0,199496000.0,207393000.0,191758000.0
Depreciation And Amortization In Income Statement,144708000.0,199496000.0,207393000.0,191758000.0
Selling General And Administration,1524409000.0,2948375000.0,2284194000.0,2038663000.0
Selling And Marketing Expense,398712000.0,424622000.0,440668000.0,419633000.0
General And Administrative Expense,1125697000.0,2523753000.0,1843526000.0,1619030000.0
Other Gand A,389885000.0,1503901000.0,946435000.0,938913000.0
Salaries And Wages,735812000.0,1019852000.0,897091000.0,680117000.0
Gross Profit,14100362000.0,19542404000.0,9520190000.0,7704817000.0
Cost Of Revenue,23991688000.0,16603073000.0,16051866000.0,14350903000.0
Total Revenue,38092050000.0,36145477000.0,25572056000.0,22055720000.0
Excise Taxes,1816634000.0,2731380000.0,1541718000.0,1437991000.0
Operating Revenue,40874853000.0,39272036000.0,27113774000.0,23493711000.0
