,2026-03-31,2025-12-31,2025-09-30,2025-06-30,2025-03-31,2024-12-31
Free Cash Flow,196451000.0,-2748949000.0,1788591000.0,575389000.0,-1559224000.0,
Repurchase Of Capital Stock,-12995000.0,-9100000.0,-21291000.0,-64266000.0,-108537000.0,
Repayment Of Debt,-3113207000.0,-1420742000.0,-3910927000.0,-4130180000.0,-2198391000.0,
Issuance Of Debt,4373411000.0,3631390000.0,2960700000.0,3551071000.0,4051520000.0,
Capital Expenditure,-290698000.0,-147924000.0,-357474000.0,-432359000.0,-224888000.0,
End Cash Position,3526862000.0,3029953000.0,3215230000.0,2278565000.0,1862851000.0,
Beginning Cash Position,3029953000.0,3215230000.0,2278565000.0,1862851000.0,1903850000.0,
Changes In Cash,496909000.0,-185277000.0,936665000.0,415714000.0,-40999000.0,
Financing Cash Flow,206868000.0,1794288000.0,-851926000.0,-159675000.0,1518225000.0,
Net Other Financing Charges,-1040341000.0,-419580000.0,125394000.0,673451000.0,-185483000.0,
Cash Dividends Paid,,7386000.0,-5802000.0,-189751000.0,-40884000.0,-45091000.0
Net Common Stock Issuance,-12995000.0,-4166000.0,-21291000.0,-64266000.0,-108537000.0,
Common Stock Payments,-12995000.0,-9100000.0,-21291000.0,-64266000.0,-108537000.0,
Net Issuance Payments Of Debt,1260204000.0,2210648000.0,-950227000.0,-579109000.0,1853129000.0,
Net Long Term Debt Issuance,1260204000.0,2210648000.0,-950227000.0,-579109000.0,1853129000.0,
Long Term Debt Payments,-3113207000.0,-1420742000.0,-3910927000.0,-4130180000.0,-2198391000.0,
Long Term Debt Issuance,4373411000.0,3631390000.0,2960700000.0,3551071000.0,4051520000.0,
Investing Cash Flow,-197108000.0,621460000.0,-357474000.0,-432359000.0,-224888000.0,
Dividends Received Cfi,0.0,,,,0.0,2000000.0
Net Investment Purchase And Sale,,,,,,0.0
Purchase Of Investment,,,,,,0.0
Net Business Purchase And Sale,0.0,769384000.0,,,0.0,23206000.0
Purchase Of Business,0.0,0.0,,,0.0,23206000.0
Net PPE Purchase And Sale,-197108000.0,-147924000.0,-357474000.0,-432359000.0,-224888000.0,
Sale Of PPE,93590000.0,,,,0.0,
Purchase Of PPE,-290698000.0,-147924000.0,-357474000.0,-432359000.0,-224888000.0,
Operating Cash Flow,487149000.0,-2601025000.0,2146065000.0,1007748000.0,-1334336000.0,
Taxes Refund Paid,-14570000.0,-121965000.0,-17810000.0,-176816000.0,-94556000.0,
Interest Paid Cfo,-1593098000.0,-1589575000.0,-1602843000.0,-1818507000.0,-1410264000.0,
Change In Working Capital,-1397930000.0,1740825000.0,648838000.0,-328961000.0,-2566772000.0,
Change In Other Current Assets,-587287000.0,104742000.0,481444000.0,-361950000.0,-56886000.0,
Change In Payable,-703113000.0,1462480000.0,-109684000.0,685836000.0,-1571582000.0,
Change In Inventory,363231000.0,36642000.0,648447000.0,17615000.0,151986000.0,
Change In Receivables,-470761000.0,136961000.0,-371369000.0,-670462000.0,-1090290000.0,
Other Non Cash Items,3454684000.0,4547875000.0,3020006000.0,4883117000.0,3013990000.0,
Provisionand Write Offof Assets,288153000.0,731902000.0,21855000.0,-41707000.0,422684000.0,
Depreciation And Amortization,1340958000.0,1235703000.0,1323861000.0,1252142000.0,1070425000.0,
Depreciation,1340958000.0,1235703000.0,1323861000.0,1252142000.0,1070425000.0,
Gain Loss On Investment Securities,934833000.0,-830816000.0,714121000.0,986298000.0,992084000.0,
Net Foreign Currency Exchange Gain Loss,,-335834000.0,438260000.0,,,450958000.0
Gain Loss On Sale Of PPE,-7706000.0,,,,0.0,
Net Income From Continuing Operations,-243960000.0,703554000.0,-315251000.0,-116145000.0,-18044000.0,
