,2025-12-31,2024-12-31,2023-12-31,2022-12-31,2021-12-31
Tax Effect Of Unusual Items,-426468221.3,401844640.0,-715158217.524816,-73174809.471483,
Tax Rate For Calcs,0.1529,0.34,0.366555,0.047274,
Normalized EBITDA,15469507000.0,9440572000.0,9448722000.0,8335278000.0,
Total Unusual Items,-2789197000.0,1181896000.0,-1951027000.0,-1547875000.0,
Total Unusual Items Excluding Goodwill,-2789197000.0,1181896000.0,-1951027000.0,-1547875000.0,
Net Income From Continuing Operation Net Minority Interest,42080000.0,-202918000.0,-495221000.0,482083000.0,
Reconciled Depreciation,4882131000.0,4010493000.0,3481049000.0,1895775000.0,
Reconciled Cost Of Revenue,32136038000.0,30310641000.0,23699760000.0,16490710000.0,
EBITDA,12680310000.0,10622468000.0,7497695000.0,6787403000.0,
EBIT,7798179000.0,6611975000.0,4016646000.0,4891628000.0,
Net Interest Income,-7904092000.0,-6604251000.0,-5309806000.0,-4170814000.0,
Interest Expense,7544065000.0,6207283000.0,5045701000.0,3904243000.0,
Interest Income,47834000.0,52301000.0,55839000.0,33971000.0,
Normalized Income,2404808778.7,-982969360.0,740647782.475184,1956783190.528517,
Net Income From Continuing And Discontinued Operation,39471000.0,-198156000.0,-495221000.0,482083000.0,
Total Expenses,35256025000.0,34070422000.0,26914955000.0,18963063000.0,
Diluted Average Shares,426825115.0,430007737.0,421570096.0,426929108.0,
Basic Average Shares,426825115.0,430007737.0,421570096.0,421136143.0,
Diluted EPS,0.091893,-0.46082,-1.174733,1.129219,
Basic EPS,0.093094,-0.460771,-1.174733,1.144718,
Diluted NI Availto Com Stockholders,39471000.0,-198156000.0,-495221000.0,482083000.0,
Net Income Common Stockholders,39471000.0,-198156000.0,-495221000.0,482083000.0,
Otherunder Preferred Stock Dividend,0.0,0.0,0.0,0.0,
Net Income,39471000.0,-198156000.0,-495221000.0,482083000.0,
Minority Interests,-173170000.0,-291989000.0,156629000.0,-458624000.0,
Net Income Including Noncontrolling Interests,212641000.0,93833000.0,-651850000.0,940707000.0,
Net Income Discontinuous Operations,-2609000.0,4762000.0,,,0.0
Net Income Continuous Operations,215250000.0,89071000.0,-651850000.0,940707000.0,
Tax Provision,38864000.0,315621000.0,-377205000.0,46678000.0,
Pretax Income,254114000.0,404692000.0,-1029055000.0,987385000.0,
Net Non Operating Interest Income Expense,-7904092000.0,-6604251000.0,-5309806000.0,-4170814000.0,
Total Other Finance Cost,407861000.0,449269000.0,319944000.0,300542000.0,
Interest Expense Non Operating,7544065000.0,6207283000.0,5045701000.0,3904243000.0,
Interest Income Non Operating,47834000.0,52301000.0,55839000.0,33971000.0,
Operating Income,8272350000.0,6667664000.0,4928658000.0,5118818000.0,
Operating Expense,3119987000.0,3759781000.0,3215195000.0,2472353000.0,
Other Operating Expenses,197144000.0,266419000.0,115079000.0,190444000.0,
Selling General And Administration,3925451000.0,3531983000.0,3282127000.0,2281909000.0,
Selling And Marketing Expense,1601347000.0,1479057000.0,1217597000.0,884377000.0,
General And Administrative Expense,2324104000.0,2052926000.0,2064530000.0,1397532000.0,
Gross Profit,11392337000.0,10427445000.0,8143853000.0,7591171000.0,
Cost Of Revenue,32136038000.0,30310641000.0,23699760000.0,16490710000.0,
Total Revenue,43528375000.0,40738086000.0,31843613000.0,24081881000.0,
Operating Revenue,43528375000.0,40738086000.0,31843613000.0,24081881000.0,
