,2025-12-31,2024-12-31,2023-12-31,2022-12-31,2021-12-31
Free Cash Flow,285145000.0,662069000.0,979717000.0,1527024000.0,
Repurchase Of Capital Stock,,-2937000.0,-193762000.0,,-71233000.0
Repayment Of Debt,-3387778000.0,-1965981000.0,-2358100000.0,-1676238000.0,
Issuance Of Debt,4827012000.0,2741276000.0,3325696000.0,2602726000.0,
Issuance Of Capital Stock,921695000.0,900000.0,0.0,,
Capital Expenditure,-1523136000.0,-818062000.0,-822184000.0,-464753000.0,
End Cash Position,2647586000.0,1979575000.0,1613703000.0,1235775000.0,
Beginning Cash Position,1979575000.0,1613703000.0,1235775000.0,139780000.0,
Changes In Cash,668011000.0,365872000.0,377928000.0,1095995000.0,
Financing Cash Flow,669926000.0,-271146000.0,-567559000.0,-409969000.0,
Net Other Financing Charges,-557320000.0,-187016000.0,-195367000.0,-91203000.0,
Cash Dividends Paid,-638311000.0,-423837000.0,-628934000.0,-558383000.0,
Common Stock Dividend Paid,-638311000.0,-423837000.0,-628934000.0,-558383000.0,
Net Common Stock Issuance,921695000.0,-2037000.0,-193762000.0,-175533000.0,
Common Stock Payments,,-2937000.0,-193762000.0,,-71233000.0
Common Stock Issuance,921695000.0,900000.0,0.0,,
Net Issuance Payments Of Debt,1439234000.0,775295000.0,967596000.0,926488000.0,
Net Long Term Debt Issuance,1439234000.0,775295000.0,967596000.0,926488000.0,
Long Term Debt Payments,-3387778000.0,-1965981000.0,-2358100000.0,-1676238000.0,
Long Term Debt Issuance,4827012000.0,2741276000.0,3325696000.0,2602726000.0,
Investing Cash Flow,-1810196000.0,-843113000.0,-856414000.0,-485813000.0,
Net Investment Purchase And Sale,97767000.0,-21051000.0,-37582000.0,-22703000.0,
Sale Of Investment,115217000.0,0.0,,,
Purchase Of Investment,-17450000.0,-21051000.0,-37582000.0,-22703000.0,
Net Business Purchase And Sale,-384827000.0,-4000000.0,0.0,0.0,
Purchase Of Business,-384827000.0,-4000000.0,0.0,0.0,
Net Intangibles Purchase And Sale,-10174000.0,-8297000.0,-17069000.0,-36433000.0,
Purchase Of Intangibles,-10174000.0,-8297000.0,-17069000.0,-36433000.0,
Net PPE Purchase And Sale,-1512962000.0,-809765000.0,-801763000.0,-426677000.0,
Sale Of PPE,,0.0,3352000.0,1643000.0,17852000.0
Purchase Of PPE,-1512962000.0,-809765000.0,-805115000.0,-428320000.0,
Operating Cash Flow,1808281000.0,1480131000.0,1801901000.0,1991777000.0,
Taxes Refund Paid,-55119000.0,-132131000.0,-274365000.0,-376330000.0,
Interest Paid Cfo,-768215000.0,-419872000.0,-477531000.0,-328655000.0,
Dividend Received Cfo,,,0.0,0.0,0.0
Dividend Paid Cfo,0.0,0.0,0.0,,
Change In Working Capital,-140027000.0,-274420000.0,-260016000.0,-376304000.0,
Change In Other Current Liabilities,35000.0,-2435000.0,58000.0,2422000.0,
Change In Other Current Assets,213594000.0,-182354000.0,495752000.0,82666000.0,
Change In Payable,-124644000.0,324010000.0,-604570000.0,338480000.0,
Change In Prepaid Assets,1482000.0,-21453000.0,339000.0,10102000.0,
Change In Inventory,-219177000.0,-183201000.0,-119647000.0,-685879000.0,
Change In Receivables,-11317000.0,-208987000.0,-31948000.0,-124095000.0,
Other Non Cash Items,1247028000.0,1417985000.0,978101000.0,636575000.0,
Stock Based Compensation,14707000.0,12064000.0,18432000.0,15800000.0,
Provisionand Write Offof Assets,25487000.0,9517000.0,15199000.0,71366000.0,
Deferred Tax,,,810000.0,13278000.0,-3780000.0
Depreciation And Amortization,716854000.0,575304000.0,519230000.0,488557000.0,
Depreciation,716854000.0,575304000.0,519230000.0,488557000.0,
Pension And Employee Benefit Expense,66339000.0,60973000.0,89157000.0,85356000.0,
Gain Loss On Investment Securities,-12473000.0,-283508000.0,-30211000.0,-52549000.0,
Net Income From Continuing Operations,713681000.0,514216000.0,1223905000.0,1805825000.0,
