,2026-03-31,2025-12-31,2025-09-30,2025-06-30,2025-03-31,2024-12-31
Ordinary Shares Number,152644445.0,152644445.0,152644445.0,152644445.0,152644445.0,
Share Issued,152644445.0,152644445.0,152644445.0,152644445.0,152644445.0,
Net Debt,313994000.0,295769000.0,231081000.0,,543603000.0,550730000.0
Total Debt,471845000.0,468340000.0,468143000.0,470556000.0,843730000.0,
Tangible Book Value,686301000.0,667119000.0,724639000.0,1032759000.0,1086579000.0,
Invested Capital,1160201000.0,1137267000.0,1194284000.0,1503572000.0,1930120000.0,
Working Capital,55572000.0,63963000.0,121484000.0,548867000.0,974031000.0,
Net Tangible Assets,686301000.0,667119000.0,724639000.0,1032759000.0,1086579000.0,
Capital Lease Obligations,4461000.0,4690000.0,4970000.0,5157000.0,5555000.0,
Common Stock Equity,692817000.0,673617000.0,731111000.0,1038173000.0,1091945000.0,
Total Capitalization,1145123000.0,1122192000.0,1179205000.0,1488738000.0,1781607000.0,
Total Equity Gross Minority Interest,1456054000.0,1345081000.0,1407336000.0,1802131000.0,1855187000.0,
Minority Interest,763237000.0,671464000.0,676225000.0,763958000.0,763242000.0,
Stockholders Equity,692817000.0,673617000.0,731111000.0,1038173000.0,1091945000.0,
Retained Earnings,26012000.0,6344000.0,67321000.0,44216000.0,97643000.0,
Capital Stock,542056000.0,542056000.0,542056000.0,872056000.0,872056000.0,
Common Stock,542056000.0,542056000.0,542056000.0,872056000.0,872056000.0,
Total Liabilities Net Minority Interest,791334000.0,933485000.0,954804000.0,951202000.0,1313251000.0,
Total Non Current Liabilities Net Minority Interest,588855000.0,716818000.0,716478000.0,721737000.0,1093213000.0,
Tradeand Other Payables Non Current,131926000.0,263851000.0,263850000.0,263850000.0,395776000.0,
Non Current Deferred Taxes Liabilities,542000.0,545000.0,558000.0,551000.0,588000.0,
Long Term Debt And Capital Lease Obligation,455256000.0,451355000.0,451094000.0,453564000.0,693148000.0,
Long Term Capital Lease Obligation,2950000.0,2780000.0,3000000.0,2999000.0,3486000.0,
Long Term Debt,452306000.0,448575000.0,448094000.0,450565000.0,689662000.0,
Long Term Provisions,1131000.0,1067000.0,976000.0,3772000.0,3701000.0,
Current Liabilities,202479000.0,216667000.0,238326000.0,229465000.0,220038000.0,
Current Deferred Taxes Liabilities,99000.0,94000.0,91000.0,93000.0,81000.0,
Current Debt And Capital Lease Obligation,16589000.0,16985000.0,17049000.0,16992000.0,150582000.0,
Current Capital Lease Obligation,1511000.0,1910000.0,1970000.0,2158000.0,2069000.0,
Current Debt,15078000.0,15075000.0,15079000.0,14834000.0,148513000.0,
Payables,185043000.0,198791000.0,220564000.0,211744000.0,68757000.0,
Other Payable,31042000.0,27984000.0,51032000.0,42734000.0,39937000.0,
Dividends Payable,259000.0,234000.0,7713000.0,7713000.0,295000.0,
Total Tax Payable,8167000.0,21241000.0,18590000.0,14074000.0,18468000.0,
Accounts Payable,145575000.0,149332000.0,143229000.0,147223000.0,10057000.0,
Total Assets,2247388000.0,2278566000.0,2362140000.0,2753333000.0,3168438000.0,
Total Non Current Assets,1989337000.0,1997936000.0,2002330000.0,1975001000.0,1974369000.0,
Other Non Current Assets,54331000.0,54227000.0,54036000.0,53847000.0,53638000.0,
Non Current Prepaid Assets,385000.0,304000.0,68000.0,269000.0,287000.0,
Investmentin Financial Assets,119101000.0,,104248000.0,82419000.0,82400000.0,
Available For Sale Securities,119101000.0,,,,,
Financial Assets Designatedas Fair Value Through Profitor Loss Total,,,104248000.0,82419000.0,82400000.0,
Long Term Equity Investment,169943000.0,278866000.0,165120000.0,162521000.0,157250000.0,
Investments In Other Ventures Under Equity Method,169943000.0,170193000.0,165120000.0,162521000.0,157250000.0,
Investmentsin Associatesat Cost,,108673000.0,,,,72423000.0
Investment Properties,1597671000.0,1606033000.0,1624629000.0,1630290000.0,1647872000.0,
Goodwill And Other Intangible Assets,6516000.0,6498000.0,6472000.0,5414000.0,5366000.0,
Other Intangible Assets,6516000.0,6498000.0,6472000.0,5414000.0,5366000.0,
Net PPE,2106000.0,2394000.0,2688000.0,2975000.0,3007000.0,
Accumulated Depreciation,-2045000.0,-1990000.0,-1930000.0,-1874000.0,-1702000.0,
Gross PPE,4151000.0,4384000.0,4618000.0,4849000.0,4709000.0,
Other Properties,3150000.0,3382000.0,3617000.0,3850000.0,3718000.0,
Machinery Furniture Equipment,241000.0,242000.0,241000.0,239000.0,232000.0,
Buildings And Improvements,760000.0,760000.0,760000.0,760000.0,759000.0,
Properties,0.0,0.0,0.0,0.0,0.0,
Current Assets,258051000.0,280630000.0,359810000.0,778332000.0,1194069000.0,
Assets Held For Sale Current,,,647000.0,1768000.0,2079000.0,3667000.0
Prepaid Assets,137000.0,34000.0,0.0,4000.0,4000.0,
Inventory,696000.0,696000.0,463000.0,463000.0,463000.0,
Finished Goods,696000.0,696000.0,463000.0,463000.0,463000.0,
Other Receivables,5561000.0,5962000.0,9891000.0,24709000.0,119678000.0,
Taxes Receivable,7575000.0,10928000.0,9082000.0,11007000.0,16570000.0,
Accounts Receivable,28568000.0,33283000.0,33206000.0,32757000.0,616809000.0,
Cash Cash Equivalents And Short Term Investments,215514000.0,229727000.0,306521000.0,707624000.0,438466000.0,
Other Short Term Investments,62124000.0,61846000.0,74429000.0,195640000.0,143894000.0,
Cash And Cash Equivalents,153390000.0,167881000.0,232092000.0,511984000.0,294572000.0,
Cash Equivalents,134565000.0,153806000.0,217859000.0,500144000.0,286081000.0,
Cash Financial,18825000.0,14075000.0,14234000.0,11840000.0,8491000.0,
