,2026-03-31,2025-12-31,2025-09-30,2025-06-30,2025-03-31
Tax Effect Of Unusual Items,0.0,-1713.183789,4080.0,1687000.0,0.0
Tax Rate For Calcs,0.13,0.142765,0.34,0.07,0.14
Normalized EBITDA,666697000.0,685509000.0,577592000.0,750632000.0,650876000.0
Total Unusual Items,0.0,-12000.0,12000.0,24100000.0,0.0
Total Unusual Items Excluding Goodwill,0.0,-12000.0,12000.0,24100000.0,0.0
Net Income From Continuing Operation Net Minority Interest,353646000.0,364077000.0,340606000.0,510019000.0,365161000.0
Reconciled Depreciation,23003000.0,34308000.0,11521000.0,9541000.0,7888000.0
Reconciled Cost Of Revenue,362655000.0,566922000.0,641375000.0,545296000.0,324230000.0
EBITDA,666697000.0,685497000.0,577604000.0,774732000.0,650876000.0
EBIT,643694000.0,651189000.0,566083000.0,765191000.0,642988000.0
Net Interest Income,-198294000.0,-219783000.0,-249847000.0,-201961000.0,-202437000.0
Interest Expense,235544000.0,226478000.0,260535000.0,219662000.0,219902000.0
Interest Income,35430000.0,6842000.0,2786000.0,17390000.0,20790000.0
Normalized Income,353646000.0,364087286.816211,340598080.0,487606000.0,365161000.0
Net Income From Continuing And Discontinued Operation,353646000.0,364077000.0,340606000.0,510019000.0,365161000.0
Total Expenses,431106000.0,644133000.0,707243000.0,608011000.0,385633000.0
Diluted NI Availto Com Stockholders,353646000.0,364077000.0,340606000.0,510019000.0,365161000.0
Net Income Common Stockholders,353646000.0,364077000.0,340606000.0,510019000.0,365161000.0
Otherunder Preferred Stock Dividend,0.0,0.0,0.0,0.0,0.0
Net Income,353646000.0,364077000.0,340606000.0,510019000.0,365161000.0
Net Income Including Noncontrolling Interests,353646000.0,364077000.0,340606000.0,510019000.0,365161000.0
Net Income Continuous Operations,353646000.0,364077000.0,340606000.0,510019000.0,365161000.0
Tax Provision,54504000.0,60634000.0,-35058000.0,35510000.0,57925000.0
Pretax Income,408150000.0,424711000.0,305548000.0,545529000.0,423086000.0
Net Non Operating Interest Income Expense,-198294000.0,-219783000.0,-249847000.0,-201961000.0,-202437000.0
Total Other Finance Cost,-1820000.0,147000.0,-7902000.0,-311000.0,3325000.0
Interest Expense Non Operating,235544000.0,226478000.0,260535000.0,219662000.0,219902000.0
Interest Income Non Operating,35430000.0,6842000.0,2786000.0,17390000.0,20790000.0
Operating Income,606248000.0,554702000.0,473314000.0,653817000.0,597260000.0
Operating Expense,68451000.0,77211000.0,65868000.0,62715000.0,61403000.0
Other Operating Expenses,4200000.0,,1170000.0,4732000.0,3989000.0
Depreciation And Amortization In Income Statement,12336000.0,31249000.0,9925000.0,8634000.0,7131000.0
Depreciation Income Statement,12336000.0,31249000.0,9925000.0,8634000.0,7131000.0
Selling General And Administration,11157000.0,23660000.0,13887000.0,9527000.0,11078000.0
General And Administrative Expense,11157000.0,23660000.0,13887000.0,9527000.0,11078000.0
Gross Profit,674699000.0,631913000.0,539182000.0,716532000.0,658663000.0
Cost Of Revenue,362655000.0,566922000.0,641375000.0,545296000.0,324230000.0
Total Revenue,1037354000.0,1198835000.0,1180557000.0,1261828000.0,982893000.0
Operating Revenue,1037354000.0,1198835000.0,1180557000.0,1261828000.0,982893000.0
