,2026-03-31,2025-12-31,2025-09-30,2025-06-30,2025-03-31,2024-12-31
Tax Effect Of Unusual Items,-40110.0,,0.0,0.0,-14220.0,-967948.785341
Tax Rate For Calcs,0.21,,0.231667,0.193656,0.18,0.237825
Normalized EBITDA,59644000.0,,58346000.0,59923000.0,55875000.0,70123000.0
Total Unusual Items,-191000.0,,,,-79000.0,-4070000.0
Total Unusual Items Excluding Goodwill,-191000.0,,,,-79000.0,-4070000.0
Net Income From Continuing Operation Net Minority Interest,34401000.0,,30139000.0,33984000.0,34791000.0,40598000.0
Reconciled Depreciation,10525000.0,10806000.0,10146000.0,9884000.0,8771000.0,
Reconciled Cost Of Revenue,100975000.0,,126843000.0,103434000.0,82968000.0,118701000.0
EBITDA,59453000.0,,58346000.0,59923000.0,55796000.0,66053000.0
EBIT,48928000.0,,48200000.0,50039000.0,47025000.0,56747000.0
Net Interest Income,-10736000.0,,-8534000.0,-6945000.0,-8637000.0,-4461000.0
Interest Expense,5526000.0,,9282000.0,7887000.0,4389000.0,3481000.0
Interest Income,37000.0,,748000.0,942000.0,42000.0,26000.0
Normalized Income,34551890.0,,30139000.0,33984000.0,34855780.0,43700051.214659
Net Income From Continuing And Discontinued Operation,34401000.0,,30139000.0,33984000.0,34791000.0,40598000.0
Total Expenses,197127000.0,,221077000.0,192994000.0,162386000.0,216076000.0
Diluted Average Shares,152515100.0,151487884.0,151487884.0,151487884.0,152097100.0,
Basic Average Shares,152515100.0,151487884.0,151487884.0,151487884.0,152097100.0,
Diluted EPS,0.225558,,0.198953,0.224335,0.228742,
Basic EPS,0.225558,,0.198953,0.224335,0.228742,
Diluted NI Availto Com Stockholders,34401000.0,,30139000.0,33984000.0,34791000.0,40598000.0
Net Income Common Stockholders,34401000.0,,30139000.0,33984000.0,34791000.0,40598000.0
Otherunder Preferred Stock Dividend,0.0,,0.0,0.0,0.0,0.0
Net Income,34401000.0,,30139000.0,33984000.0,34791000.0,40598000.0
Minority Interests,,,237000.0,-5000.0,,
Net Income Including Noncontrolling Interests,34401000.0,,29902000.0,33989000.0,34791000.0,40598000.0
Net Income Continuous Operations,34401000.0,,29902000.0,33989000.0,34791000.0,40598000.0
Tax Provision,9001000.0,,9016000.0,8163000.0,7845000.0,12668000.0
Pretax Income,43402000.0,,38918000.0,42152000.0,42636000.0,53266000.0
Special Income Charges,-191000.0,,,,-79000.0,17000.0
Other Special Charges,,,,,,67000.0
Write Off,191000.0,,,,79000.0,-84000.0
Net Non Operating Interest Income Expense,-10736000.0,,-8534000.0,-6945000.0,-8637000.0,-4461000.0
Total Other Finance Cost,5247000.0,,,,4290000.0,1006000.0
Interest Expense Non Operating,5526000.0,,9282000.0,7887000.0,4389000.0,3481000.0
Interest Income Non Operating,37000.0,,748000.0,942000.0,42000.0,26000.0
Operating Income,54031000.0,,47452000.0,49097000.0,50400000.0,57215000.0
Operating Expense,96152000.0,,94234000.0,89560000.0,79418000.0,97375000.0
Other Operating Expenses,805000.0,,-1721000.0,380000.0,324000.0,296000.0
Selling General And Administration,95819000.0,,95955000.0,89180000.0,79987000.0,100354000.0
Selling And Marketing Expense,51307000.0,,49831000.0,44780000.0,41648000.0,53393000.0
General And Administrative Expense,44512000.0,,46124000.0,44400000.0,38339000.0,46961000.0
Gross Profit,150183000.0,,141686000.0,138657000.0,129818000.0,154590000.0
Cost Of Revenue,100975000.0,,126843000.0,103434000.0,82968000.0,118701000.0
Total Revenue,251158000.0,,268529000.0,242091000.0,212786000.0,273291000.0
Operating Revenue,251158000.0,,268529000.0,242091000.0,212786000.0,273291000.0
