,2026-03-31,2025-12-31,2025-09-30,2025-06-30,2025-03-31,2024-12-31
Tax Effect Of Unusual Items,2189495.0,2933760.053266,192764.0,174461.267107,2213400.0,
Tax Rate For Calcs,0.329,0.275652,0.286,0.26923,0.3,
Normalized EBITDA,75010000.0,83767000.0,136514000.0,115114000.0,76948000.0,
Total Unusual Items,6655000.0,10643000.0,674000.0,648000.0,7378000.0,
Total Unusual Items Excluding Goodwill,6655000.0,10643000.0,674000.0,648000.0,7378000.0,
Net Income From Continuing Operation Net Minority Interest,38785000.0,52219000.0,79891000.0,67119000.0,43734000.0,
Reconciled Depreciation,16713000.0,16020000.0,15585000.0,15067000.0,15048000.0,
Reconciled Cost Of Revenue,437356000.0,508637000.0,502429000.0,429189000.0,356019000.0,
EBITDA,81665000.0,94410000.0,137188000.0,115762000.0,84326000.0,
EBIT,64952000.0,78390000.0,121603000.0,100695000.0,69278000.0,
Net Interest Income,-7270000.0,-8938000.0,3307000.0,3261000.0,-6637000.0,
Interest Expense,7130000.0,6299000.0,9680000.0,8848000.0,6766000.0,
Interest Income,1110000.0,787000.0,12987000.0,12109000.0,600000.0,
Normalized Income,34319495.0,44509760.053266,79409764.0,66645461.267107,38569400.0,
Net Income From Continuing And Discontinued Operation,38785000.0,52219000.0,79891000.0,67119000.0,43734000.0,
Total Expenses,463694000.0,544295000.0,533656000.0,461544000.0,384682000.0,
Total Operating Income As Reported,,65334000.0,101241000.0,79644000.0,,
Diluted Average Shares,65937772.0,,66025620.0,65802941.0,65937772.0,
Basic Average Shares,65937772.0,,66025620.0,65802941.0,65937772.0,
Diluted EPS,0.59,,1.21,1.02,0.66,
Basic EPS,0.59,,1.21,1.02,0.66,
Diluted NI Availto Com Stockholders,38785000.0,52219000.0,79891000.0,67119000.0,43734000.0,
Net Income Common Stockholders,38785000.0,52219000.0,79891000.0,67119000.0,43734000.0,
Otherunder Preferred Stock Dividend,0.0,0.0,0.0,0.0,0.0,
Net Income,38785000.0,52219000.0,79891000.0,67119000.0,43734000.0,
Minority Interests,,0.0,0.0,0.0,0.0,-76000.0
Net Income Including Noncontrolling Interests,38785000.0,52219000.0,79891000.0,67119000.0,43734000.0,
Net Income Continuous Operations,38785000.0,52219000.0,79891000.0,67119000.0,43734000.0,
Tax Provision,19037000.0,19872000.0,32032000.0,24728000.0,18778000.0,
Pretax Income,57822000.0,72091000.0,111923000.0,91847000.0,62512000.0,
Special Income Charges,-72000.0,1501000.0,674000.0,648000.0,-1821000.0,
Other Special Charges,-890000.0,-1234000.0,,,1096000.0,-835000.0
Write Off,962000.0,-267000.0,-674000.0,-648000.0,725000.0,
Net Non Operating Interest Income Expense,-7270000.0,-8938000.0,3307000.0,3261000.0,-6637000.0,
Total Other Finance Cost,1250000.0,3426000.0,,,471000.0,2077000.0
Interest Expense Non Operating,7130000.0,6299000.0,9680000.0,8848000.0,6766000.0,
Interest Income Non Operating,1110000.0,787000.0,12987000.0,12109000.0,600000.0,
Operating Income,57585000.0,66013000.0,100567000.0,78996000.0,55675000.0,
Operating Expense,26338000.0,35658000.0,31227000.0,32355000.0,28663000.0,
Other Operating Expenses,,-2605000.0,861000.0,1030000.0,,-1923000.0
Selling General And Administration,29785000.0,38494000.0,30813000.0,31325000.0,30285000.0,
Selling And Marketing Expense,2161000.0,,,,1095000.0,
General And Administrative Expense,27624000.0,34581000.0,30813000.0,31325000.0,29190000.0,
Gross Profit,83923000.0,101671000.0,131794000.0,111351000.0,84338000.0,
Cost Of Revenue,437356000.0,508637000.0,502429000.0,429189000.0,356019000.0,
Total Revenue,521279000.0,610308000.0,634223000.0,540540000.0,440357000.0,
Operating Revenue,521279000.0,610308000.0,634223000.0,540540000.0,440357000.0,
