,2026-06-30,2026-03-31,2025-12-31,2025-09-30,2025-06-30,2025-03-31,2024-12-31
Tax Effect Of Unusual Items,-910463.438356,-15845569.540755,-5633324.319734,192998.89325,-8790285.241583,,
Tax Rate For Calcs,0.143493,0.170178,0.095512,0.010638,0.169034,,
Normalized EBITDA,4447637000.0,3456199000.0,3897305000.0,3805586000.0,3790923000.0,,
Total Unusual Items,-6345000.0,-93112000.0,-58980000.0,18142000.0,-52003000.0,,
Total Unusual Items Excluding Goodwill,-6345000.0,-93112000.0,-58980000.0,18142000.0,-52003000.0,,
Net Income From Continuing Operation Net Minority Interest,969571000.0,817093000.0,1331270000.0,1207705000.0,975386000.0,,
Reconciled Depreciation,1796364000.0,1738642000.0,1777141000.0,1778644000.0,1775986000.0,,
Reconciled Cost Of Revenue,3110300000.0,1737513000.0,1514552000.0,3025654000.0,3087121000.0,,
EBITDA,4441292000.0,3363087000.0,3838325000.0,3823728000.0,3738920000.0,,
EBIT,2644928000.0,1624445000.0,2061184000.0,2045084000.0,1962934000.0,,
Net Interest Income,-562437000.0,-548536000.0,-365648000.0,-462660000.0,-322714000.0,,
Interest Expense,1512922000.0,639785000.0,589334000.0,824393000.0,789136000.0,,
Interest Income,950485000.0,220598000.0,265250000.0,361733000.0,466422000.0,,
Normalized Income,975005536.561644,894359430.459245,1384616675.680266,1189755998.89325,1018598714.758417,,
Net Income From Continuing And Discontinued Operation,969571000.0,817093000.0,1331270000.0,1207705000.0,975386000.0,,
Total Expenses,5248018000.0,5232156000.0,4994467000.0,4954760000.0,5025695000.0,,
Rent Expense Supplemental,,177433000.0,198137000.0,,,179469000.0,136156000.0
Total Operating Income As Reported,,-2049614000.0,,1665209000.0,1548515000.0,1292138000.0,
Diluted Average Shares,2388668000.0,2389282000.0,,,2438465000.0,2420843000.0,
Basic Average Shares,2388668000.0,2388668000.0,,,2438465000.0,2420740000.0,
Diluted EPS,0.41,0.34,,,,0.33,
Basic EPS,0.41,0.34,,,0.4,0.33,
Diluted NI Availto Com Stockholders,969571000.0,817093000.0,1331270000.0,1207705000.0,975386000.0,,
Net Income Common Stockholders,969571000.0,817093000.0,1331270000.0,1207705000.0,975386000.0,,
Net Income,969571000.0,817093000.0,1331270000.0,1207705000.0,975386000.0,,
Net Income Including Noncontrolling Interests,969571000.0,817093000.0,1331270000.0,1207705000.0,975386000.0,,
Net Income Continuous Operations,969571000.0,817093000.0,1331270000.0,1207705000.0,975386000.0,,
Tax Provision,162435000.0,167567000.0,140580000.0,12986000.0,198412000.0,,
Pretax Income,1132006000.0,984660000.0,1471850000.0,1220691000.0,1173798000.0,,
Other Income Expense,-23002000.0,-40798000.0,-88195000.0,-72876000.0,-77726000.0,,
Other Non Operating Income Expenses,,80391000.0,581000.0,-65385000.0,,-5000.0,
Special Income Charges,,-111790000.0,-58308000.0,,,-97395000.0,-130251000.0
Gain On Sale Of Ppe,,2982000.0,55000.0,,,-1086000.0,-2787000.0
Other Special Charges,,114772000.0,58363000.0,,,96309000.0,127464000.0
Earnings From Equity Interest,-16657000.0,-28077000.0,-29796000.0,-25633000.0,-25723000.0,,
Gain On Sale Of Security,-6345000.0,18678000.0,-672000.0,18142000.0,-52003000.0,,
Net Non Operating Interest Income Expense,-562437000.0,-548536000.0,-365648000.0,-462660000.0,-322714000.0,,
Total Other Finance Cost,,129349000.0,41564000.0,,,-739000.0,105242000.0
Interest Expense Non Operating,1512922000.0,639785000.0,589334000.0,824393000.0,789136000.0,,
Interest Income Non Operating,950485000.0,220598000.0,265250000.0,361733000.0,466422000.0,,
Operating Income,1717445000.0,1573994000.0,1925693000.0,1756227000.0,1574238000.0,,
Operating Expense,2137718000.0,1990138000.0,1924660000.0,1929106000.0,1938574000.0,,
Other Operating Expenses,45708000.0,,,,17877000.0,,
Other Taxes,,230575000.0,227637000.0,,,237408000.0,238391000.0
Provision For Doubtful Accounts,,225386000.0,200887000.0,,,182045000.0,181342000.0
Depreciation Amortization Depletion Income Statement,,234137000.0,221886000.0,,,203058000.0,200898000.0
Depreciation And Amortization In Income Statement,,234137000.0,221886000.0,,,203058000.0,200898000.0
Selling General And Administration,2092010000.0,1300040000.0,1274250000.0,1929106000.0,1920697000.0,,
Selling And Marketing Expense,1586934000.0,676523000.0,642160000.0,1504564000.0,1489970000.0,,
General And Administrative Expense,505076000.0,623517000.0,632090000.0,424542000.0,430727000.0,,
Other Gand A,505076000.0,207200000.0,217871000.0,424542000.0,430727000.0,,
Rent And Landing Fees,,50561000.0,59696000.0,,,48680000.0,54271000.0
Salaries And Wages,,365756000.0,354523000.0,,,347264000.0,383998000.0
Gross Profit,3855163000.0,3564132000.0,3850353000.0,3685333000.0,3512812000.0,,
Cost Of Revenue,3110300000.0,3242018000.0,3069807000.0,3025654000.0,3087121000.0,,
Total Revenue,6965463000.0,6806150000.0,6920160000.0,6710987000.0,6599933000.0,,
Excise Taxes,,1035491000.0,1049405000.0,,,1007386000.0,1019871000.0
Operating Revenue,6965463000.0,10711472000.0,10694147000.0,6710987000.0,6599933000.0,,
