,2026-06-30,2026-03-31,2025-12-31,2025-09-30,2025-06-30,2025-03-31,2024-12-31
Free Cash Flow,375278000.0,171626000.0,287161000.0,303923000.0,261328000.0,,
Repurchase Of Capital Stock,-271451000.0,-276618000.0,0.0,,0.0,0.0,
Repayment Of Debt,0.0,-10196000.0,34353000.0,,0.0,0.0,
Issuance Of Debt,-82000.0,2991484000.0,0.0,0.0,0.0,,
Capital Expenditure,-86131000.0,-137981000.0,-57722000.0,-56108000.0,-70032000.0,,
End Cash Position,2020197000.0,1432828000.0,1785703000.0,,2094240000.0,1943040000.0,
Beginning Cash Position,1432828000.0,1785703000.0,2005729000.0,,1943040000.0,1942162000.0,
Changes In Cash,587369000.0,-352875000.0,-220026000.0,,151200000.0,878000.0,
Financing Cash Flow,-412668000.0,2691960000.0,-161296000.0,-140036000.0,-103843000.0,,
Cash Dividends Paid,,,-187823000.0,,,,-128726000.0
Net Common Stock Issuance,-271451000.0,-276618000.0,0.0,,0.0,0.0,
Common Stock Payments,-271451000.0,-276618000.0,0.0,,0.0,0.0,
Net Issuance Payments Of Debt,-82000.0,2981288000.0,34353000.0,,0.0,0.0,
Net Long Term Debt Issuance,-82000.0,2981288000.0,34353000.0,,0.0,0.0,
Long Term Debt Payments,0.0,-10196000.0,34353000.0,,0.0,0.0,
Long Term Debt Issuance,-82000.0,2991484000.0,0.0,0.0,0.0,,
Investing Cash Flow,538628000.0,-3354442000.0,-403613000.0,-308506000.0,-76317000.0,,
Net Other Investing Changes,,,-577233000.0,,,,
Dividends Received Cfi,,,19895000.0,,,,0.0
Net Investment Purchase And Sale,-2492000.0,-33695000.0,-13325000.0,,-2438000.0,-21389000.0,
Net Business Purchase And Sale,625356000.0,-3184810000.0,210730000.0,-247772000.0,-8043000.0,,
Sale Of Business,,,0.0,,0.0,0.0,-1365000.0
Purchase Of Business,-685838000.0,-3187497000.0,210730000.0,-216072000.0,-12359000.0,,
Net Intangibles Purchase And Sale,-26582000.0,-40153000.0,-21533000.0,-25964000.0,-28372000.0,,
Purchase Of Intangibles,-26582000.0,-40153000.0,-21533000.0,-25964000.0,-28372000.0,,
Net PPE Purchase And Sale,-58263000.0,-96387000.0,-29674000.0,-27746000.0,-40763000.0,,
Sale Of PPE,1286000.0,1441000.0,6515000.0,2398000.0,897000.0,,
Purchase Of PPE,-59549000.0,-97828000.0,-36189000.0,-30144000.0,-41660000.0,,
Operating Cash Flow,461409000.0,309607000.0,344883000.0,360031000.0,331360000.0,,
Taxes Refund Paid,-39704000.0,-51349000.0,-15037000.0,-38985000.0,-22779000.0,,
Interest Paid Cfo,-5274000.0,-121245000.0,-3270000.0,-112914000.0,-2223000.0,,
Change In Working Capital,-86425000.0,-111989000.0,-43692000.0,-81119000.0,-53872000.0,,
Change In Other Current Liabilities,77280000.0,-8294000.0,-72960000.0,22531000.0,99526000.0,,
Change In Other Current Assets,-74654000.0,2424000.0,46209000.0,-46897000.0,-105152000.0,,
Change In Payable,3511000.0,19462000.0,-13278000.0,-28884000.0,13150000.0,,
Change In Receivables,-92562000.0,-125581000.0,-3663000.0,-27869000.0,-61396000.0,,
Other Non Cash Items,183440000.0,147510000.0,63458000.0,86087000.0,69527000.0,,
Stock Based Compensation,18685000.0,27561000.0,26981000.0,,14324000.0,12431000.0,
Provisionand Write Offof Assets,2219000.0,9577000.0,5775000.0,14749000.0,6163000.0,,
Depreciation And Amortization,130428000.0,102983000.0,72974000.0,100496000.0,85577000.0,,
Depreciation,815000.0,102983000.0,72974000.0,100496000.0,85577000.0,,
Net Income From Continuing Operations,227339000.0,283186000.0,229866000.0,356145000.0,219292000.0,,
