,2025-12-31,2024-12-31,2023-12-31,2022-12-31,2021-12-31
Tax Effect Of Unusual Items,27719424.0,13596781.0,61137615.0,71413575.0,
Tax Rate For Calcs,0.192,0.097,0.215,0.213,
Normalized EBITDA,1500662000.0,1136849000.0,919026000.0,801671000.0,
Total Unusual Items,144372000.0,140173000.0,284361000.0,335275000.0,
Total Unusual Items Excluding Goodwill,144372000.0,140173000.0,284361000.0,335275000.0,
Net Income From Continuing Operation Net Minority Interest,812721000.0,667997000.0,507051000.0,495226000.0,
Reconciled Depreciation,341084000.0,313263000.0,282801000.0,236128000.0,
Reconciled Cost Of Revenue,1716326000.0,1458672000.0,1304449000.0,1145269000.0,
EBITDA,1645034000.0,1277022000.0,1203387000.0,1136946000.0,
EBIT,1303950000.0,963759000.0,920586000.0,900818000.0,
Net Interest Income,-323963000.0,-290354000.0,-337894000.0,-316006000.0,
Interest Expense,261972000.0,204326000.0,237300000.0,239223000.0,
Interest Income,8453000.0,10736000.0,9197000.0,10604000.0,
Normalized Income,696068424.0,541420781.0,283827615.0,231364575.0,
Net Income From Continuing And Discontinued Operation,891741000.0,717513000.0,734820000.0,498136000.0,
Total Expenses,4600940000.0,4006524000.0,3706549000.0,3151415000.0,
Total Operating Income As Reported,1111305000.0,853554000.0,697500000.0,641517000.0,
Diluted Average Shares,598168000.0,604923000.0,613218000.0,615624000.0,
Basic Average Shares,587051000.0,595007000.0,603896000.0,606803000.0,
Diluted EPS,1.49079,1.18612,1.1983,0.80916,
Basic EPS,1.51902,1.20589,1.2168,0.82092,
Diluted NI Availto Com Stockholders,891741000.0,717513000.0,734820000.0,498136000.0,
Net Income Common Stockholders,891741000.0,717513000.0,734820000.0,498136000.0,
Otherunder Preferred Stock Dividend,0.0,0.0,0.0,0.0,
Net Income,891741000.0,717513000.0,734820000.0,498136000.0,
Minority Interests,-29001000.0,-17930000.0,-29615000.0,-25165000.0,
Net Income Including Noncontrolling Interests,920742000.0,735443000.0,764435000.0,523301000.0,
Net Income Extraordinary,,,227769000.0,2910000.0,-20682000.0
Net Income Discontinuous Operations,79020000.0,49516000.0,227769000.0,2910000.0,
Net Income Continuous Operations,841722000.0,685927000.0,536666000.0,520391000.0,
Tax Provision,200256000.0,73506000.0,146620000.0,141204000.0,
Pretax Income,1041978000.0,759433000.0,683286000.0,661595000.0,
Special Income Charges,-59622000.0,-54669000.0,-36394000.0,-11594000.0,
Other Special Charges,,,,11594000.0,9976000.0
Write Off,59622000.0,54669000.0,36394000.0,,
Net Non Operating Interest Income Expense,-323963000.0,-290354000.0,-337894000.0,-316006000.0,
Total Other Finance Cost,70444000.0,96764000.0,109791000.0,87387000.0,
Interest Expense Non Operating,261972000.0,204326000.0,237300000.0,239223000.0,
Interest Income Non Operating,8453000.0,10736000.0,9197000.0,10604000.0,
Operating Income,1170927000.0,908223000.0,733894000.0,641517000.0,
Operating Expense,2884614000.0,2547852000.0,2402100000.0,2006146000.0,
Other Operating Expenses,-5387000.0,17944000.0,66013000.0,12178000.0,
Research And Development,1005236000.0,877330000.0,844764000.0,719806000.0,
Selling General And Administration,1884765000.0,1652578000.0,1491323000.0,1274162000.0,
Selling And Marketing Expense,1300048000.0,1114656000.0,989089000.0,799504000.0,
General And Administrative Expense,584717000.0,537922000.0,502234000.0,474658000.0,
Gross Profit,4055541000.0,3456075000.0,3135994000.0,2647663000.0,
Cost Of Revenue,1716326000.0,1458672000.0,1304449000.0,1145269000.0,
Total Revenue,5771867000.0,4914747000.0,4440443000.0,3792932000.0,
Operating Revenue,5771867000.0,4914747000.0,4440443000.0,3792932000.0,
