,2026-03-31,2025-12-31,2025-09-30,2025-06-30,2025-03-31,2024-12-31
Tax Effect Of Unusual Items,1174791.1,-318937.769784,40064724.5,58451372.503037,37443236.381487,
Tax Rate For Calcs,0.0763,0.012122,0.1973,0.266655,0.225747,
Normalized EBITDA,204497000.0,187849000.0,126182000.0,363699000.0,179912000.0,
Total Unusual Items,15397000.0,-26310000.0,203065000.0,219202000.0,165864000.0,
Total Unusual Items Excluding Goodwill,15397000.0,-26310000.0,203065000.0,219202000.0,165864000.0,
Net Income From Continuing Operation Net Minority Interest,89119000.0,88258000.0,203521000.0,331555000.0,192333000.0,
Reconciled Depreciation,36099000.0,32118000.0,30250000.0,29237000.0,27783000.0,
Reconciled Cost Of Revenue,3555875000.0,3662565000.0,4449802000.0,2839181000.0,2987775000.0,
EBITDA,219894000.0,161539000.0,329247000.0,582901000.0,345776000.0,
EBIT,183795000.0,129421000.0,298997000.0,553664000.0,317993000.0,
Net Interest Income,-35352000.0,12265000.0,27767000.0,-62949000.0,-27127000.0,
Interest Expense,91580000.0,46021000.0,46043000.0,102516000.0,69471000.0,
Interest Income,60667000.0,60850000.0,76398000.0,41165000.0,43365000.0,
Normalized Income,74896791.1,114249062.230216,40520724.5,170804372.503037,63912236.381487,
Net Income From Continuing And Discontinued Operation,89119000.0,88258000.0,203521000.0,331555000.0,192333000.0,
Total Expenses,4099466000.0,4289908000.0,4971871000.0,3254578000.0,3362500000.0,
Diluted Average Shares,501333333.0,,501172870.0,499250447.0,500942348.0,498187647.0
Basic Average Shares,499580314.0,,499497647.0,499250447.0,498297647.0,498187647.0
Diluted EPS,0.1699,,0.40514,0.662687,0.38411,0.272805
Basic EPS,0.17049,,0.4065,0.662687,0.38615,0.272805
Diluted NI Availto Com Stockholders,89119000.0,88258000.0,203521000.0,331555000.0,192333000.0,
Net Income Common Stockholders,89119000.0,88258000.0,203521000.0,331555000.0,192333000.0,
Otherunder Preferred Stock Dividend,0.0,0.0,0.0,0.0,0.0,
Net Income,89119000.0,88258000.0,203521000.0,331555000.0,192333000.0,
Minority Interests,3944000.0,5869000.0,477000.0,708000.0,-86000.0,
Net Income Including Noncontrolling Interests,85175000.0,82389000.0,203044000.0,330847000.0,192419000.0,
Net Income Continuous Operations,85175000.0,82389000.0,203044000.0,330847000.0,192419000.0,
Tax Provision,7040000.0,1011000.0,49910000.0,120301000.0,56103000.0,
Pretax Income,92215000.0,83400000.0,252954000.0,451148000.0,248522000.0,
Special Income Charges,-2901000.0,18862000.0,-22643000.0,-9399000.0,998000.0,
Other Special Charges,-7138000.0,,,766000.0,-5361000.0,
Write Off,10039000.0,-4209000.0,22643000.0,8633000.0,4363000.0,
Net Non Operating Interest Income Expense,-35352000.0,12265000.0,27767000.0,-62949000.0,-27127000.0,
Total Other Finance Cost,4439000.0,2564000.0,2588000.0,1598000.0,1021000.0,
Interest Expense Non Operating,91580000.0,46021000.0,46043000.0,102516000.0,69471000.0,
Interest Income Non Operating,60667000.0,60850000.0,76398000.0,41165000.0,43365000.0,
Operating Income,107482000.0,76922000.0,23008000.0,308299000.0,136608000.0,
Operating Expense,543591000.0,627343000.0,522069000.0,415397000.0,374725000.0,
Other Operating Expenses,3243000.0,17531000.0,2634000.0,1974000.0,-323000.0,
Selling General And Administration,540643000.0,613406000.0,519435000.0,414338000.0,375304000.0,
Selling And Marketing Expense,496444000.0,571594000.0,478607000.0,383034000.0,352095000.0,
General And Administrative Expense,44199000.0,41812000.0,40828000.0,31304000.0,23209000.0,
Gross Profit,651073000.0,704265000.0,545077000.0,723696000.0,511333000.0,
Cost Of Revenue,3555875000.0,3662565000.0,4449802000.0,2839181000.0,2987775000.0,
Total Revenue,4206948000.0,4366830000.0,4994879000.0,3562877000.0,3499108000.0,
Operating Revenue,4206948000.0,4366830000.0,4994879000.0,3562877000.0,3499108000.0,
