,2025-12-31,2024-12-31,2023-12-31,2022-12-31,2021-12-31
Free Cash Flow,467203000.0,858821000.0,258839000.0,-42324000.0,
Repurchase Of Capital Stock,-156065000.0,-142278000.0,-12181000.0,-1819000.0,
Repayment Of Debt,-379027000.0,-2102548000.0,-163794000.0,-388504000.0,
Issuance Of Debt,27809000.0,2350483000.0,544612000.0,1442221000.0,
Issuance Of Capital Stock,,0.0,0.0,0.0,
Capital Expenditure,-447934000.0,-494670000.0,-570286000.0,-444020000.0,
End Cash Position,1853156000.0,2376203000.0,1593098000.0,1509829000.0,
Beginning Cash Position,2376203000.0,1593098000.0,1509829000.0,1272445000.0,
Effect Of Exchange Rate Changes,-69854000.0,221387000.0,-58781000.0,-23966000.0,
Changes In Cash,-453193000.0,561718000.0,142050000.0,261350000.0,
Financing Cash Flow,-885404000.0,-151687000.0,48134000.0,923561000.0,
Net Other Financing Charges,-13917000.0,-2825000.0,-6791000.0,-49920000.0,
Interest Paid Cff,-306268000.0,-219406000.0,-282355000.0,-59599000.0,
Net Common Stock Issuance,-156065000.0,-142278000.0,-12181000.0,-1819000.0,
Common Stock Payments,-156065000.0,-142278000.0,-12181000.0,-1819000.0,
Common Stock Issuance,,0.0,0.0,0.0,
Net Issuance Payments Of Debt,-351218000.0,247935000.0,380818000.0,1053717000.0,
Net Long Term Debt Issuance,-351218000.0,247935000.0,380818000.0,1053717000.0,
Long Term Debt Payments,-379027000.0,-2102548000.0,-163794000.0,-388504000.0,
Long Term Debt Issuance,27809000.0,2350483000.0,544612000.0,1442221000.0,
Investing Cash Flow,-482926000.0,-640086000.0,-735209000.0,-1063907000.0,
Interest Received Cfi,0.0,0.0,,,
Net Investment Purchase And Sale,3456000.0,0.0,,,
Sale Of Investment,3456000.0,0.0,,,
Net Business Purchase And Sale,-43163000.0,-150093000.0,-166673000.0,-621987000.0,
Sale Of Business,0.0,0.0,0.0,,59985000.0
Purchase Of Business,-43163000.0,-150093000.0,-166673000.0,-621987000.0,
Net PPE Purchase And Sale,-443219000.0,-489993000.0,-568536000.0,-441920000.0,
Sale Of PPE,4715000.0,4677000.0,1750000.0,2100000.0,
Purchase Of PPE,-447934000.0,-494670000.0,-570286000.0,-444020000.0,
Operating Cash Flow,915137000.0,1353491000.0,829125000.0,401696000.0,
Taxes Refund Paid,-72045000.0,-59956000.0,-176370000.0,-10798000.0,
Interest Paid Cfo,-267283000.0,-180446000.0,-114391000.0,-137869000.0,
Change In Working Capital,634341000.0,353886000.0,-159200000.0,-756842000.0,
Change In Other Current Assets,119073000.0,2243000.0,22636000.0,-62710000.0,
Change In Accrued Expense,-46946000.0,-39708000.0,-39087000.0,97212000.0,
Change In Payable,-134047000.0,-198735000.0,-334345000.0,35349000.0,
Change In Inventory,278941000.0,-63027000.0,202564000.0,-292741000.0,
Change In Receivables,389392000.0,679601000.0,-29899000.0,-556655000.0,
Other Non Cash Items,230451000.0,362697000.0,351407000.0,151054000.0,
Stock Based Compensation,9577000.0,6769000.0,10321000.0,5682000.0,
Provisionand Write Offof Assets,227860000.0,97860000.0,105474000.0,49002000.0,
Depreciation And Amortization,381494000.0,387098000.0,366540000.0,348551000.0,
Amortization Cash Flow,22474000.0,21975000.0,16653000.0,,
Depreciation,359020000.0,365123000.0,349887000.0,348551000.0,
Gain Loss On Sale Of PPE,28983000.0,30861000.0,21222000.0,-1296000.0,
Net Income From Continuing Operations,-453341000.0,259128000.0,538140000.0,643078000.0,
