,2025-12-31,2024-12-31,2023-12-31,2022-12-31,2021-12-31
Tax Effect Of Unusual Items,-144740380.0,-104516340.0,1972426.519121,2920621.196807,
Tax Rate For Calcs,0.34,0.34,0.039259,0.219036,
Normalized EBITDA,707300000.0,1422393000.0,1152163000.0,1165830000.0,
Total Unusual Items,-425707000.0,-307401000.0,50241000.0,13334000.0,
Total Unusual Items Excluding Goodwill,-425707000.0,-307401000.0,50241000.0,13334000.0,
Net Income From Continuing Operation Net Minority Interest,-656815000.0,79514000.0,508140000.0,508272000.0,
Reconciled Depreciation,381494000.0,387098000.0,366540000.0,348551000.0,
Reconciled Cost Of Revenue,8469797000.0,8738519000.0,9433067000.0,8290773000.0,
EBITDA,281593000.0,1114992000.0,1202404000.0,1179164000.0,
EBIT,-99901000.0,727894000.0,835864000.0,830613000.0,
Net Interest Income,-256524000.0,-364157000.0,-217499000.0,-122773000.0,
Interest Expense,353440000.0,468766000.0,297724000.0,187535000.0,
Interest Income,123332000.0,140178000.0,97156000.0,90081000.0,
Normalized Income,-375848380.0,282398660.0,459871426.519121,497858621.196807,
Net Income From Continuing And Discontinued Operation,-656815000.0,79514000.0,508140000.0,508272000.0,
Total Expenses,9418192000.0,9844210000.0,10566126000.0,9354777000.0,
Diluted Average Shares,133965053.0,136466821.0,145381809.0,145157179.0,
Basic Average Shares,132297976.0,136466821.0,144147004.0,144151970.0,
Diluted EPS,-4.96466,0.604103,3.49521,3.50153,
Basic EPS,-4.96466,0.604103,3.52515,3.52595,
Diluted NI Availto Com Stockholders,-656815000.0,79514000.0,508140000.0,508272000.0,
Net Income Common Stockholders,-656815000.0,79514000.0,508140000.0,508272000.0,
Otherunder Preferred Stock Dividend,0.0,0.0,0.0,0.0,
Net Income,-656815000.0,79514000.0,508140000.0,508272000.0,
Minority Interests,-2263000.0,-2926000.0,-8873000.0,6051000.0,
Net Income Including Noncontrolling Interests,-654552000.0,82440000.0,517013000.0,502221000.0,
Net Income Continuous Operations,-654552000.0,82440000.0,517013000.0,502221000.0,
Tax Provision,201211000.0,176688000.0,21127000.0,140857000.0,
Pretax Income,-453341000.0,259128000.0,538140000.0,643078000.0,
Other Non Operating Income Expenses,-1070000.0,-17019000.0,4916000.0,-22243000.0,
Special Income Charges,-430167000.0,-244214000.0,22655000.0,-16464000.0,
Other Special Charges,5997000.0,-1674000.0,6448000.0,2166000.0,
Write Off,0.0,-61993000.0,0.0,,
Impairment Of Capital Assets,327284000.0,250126000.0,0.0,,0.0
Restructuring And Mergern Acquisition,96886000.0,57755000.0,-29103000.0,14298000.0,
Net Non Operating Interest Income Expense,-256524000.0,-364157000.0,-217499000.0,-122773000.0,
Total Other Finance Cost,26416000.0,35569000.0,16931000.0,25319000.0,
Interest Expense Non Operating,353440000.0,468766000.0,297724000.0,187535000.0,
Interest Income Non Operating,123332000.0,140178000.0,97156000.0,90081000.0,
Operating Income,274756000.0,820900000.0,802064000.0,823639000.0,
Operating Expense,948395000.0,1105691000.0,1133059000.0,1064004000.0,
Other Operating Expenses,178182000.0,85901000.0,96275000.0,95519000.0,
Depreciation And Amortization In Income Statement,7035000.0,8470000.0,8634000.0,18200000.0,
Amortization,,,0.0,17784000.0,57260000.0
Depreciation Income Statement,7035000.0,8470000.0,8634000.0,416000.0,
Selling General And Administration,936678000.0,1011320000.0,1028150000.0,950285000.0,
Selling And Marketing Expense,466656000.0,561747000.0,599913000.0,618300000.0,
General And Administrative Expense,470022000.0,449573000.0,428237000.0,331985000.0,
Gross Profit,1223151000.0,1926591000.0,1935123000.0,1887643000.0,
Cost Of Revenue,8469797000.0,8738519000.0,9433067000.0,8290773000.0,
Total Revenue,9692948000.0,10665110000.0,11368190000.0,10178416000.0,
Operating Revenue,9692948000.0,10665110000.0,11368190000.0,10178416000.0,
