,2026-03-31,2025-12-31,2025-06-30,2025-03-31,2024-12-31
Tax Effect Of Unusual Items,-4772000.0,-130868720.0,-521900.0,-10381900.0,-74134620.0
Tax Rate For Calcs,0.4,0.34,0.34,0.34,0.34
Normalized EBITDA,96725000.0,137047000.0,222230000.0,199550000.0,395376000.0
Total Unusual Items,-11930000.0,-384908000.0,-1535000.0,-30535000.0,-218043000.0
Total Unusual Items Excluding Goodwill,-11930000.0,-384908000.0,-1535000.0,-30535000.0,-218043000.0
Net Income From Continuing Operation Net Minority Interest,-96543000.0,-627071000.0,22276000.0,-12439000.0,-97615000.0
Reconciled Cost Of Revenue,2072129000.0,2007843000.0,2262465000.0,2101960000.0,2069985000.0
EBITDA,84795000.0,-247861000.0,220695000.0,169015000.0,177333000.0
EBIT,-10338000.0,-341432000.0,123474000.0,73358000.0,70893000.0
Net Interest Income,-32889000.0,-108403000.0,-48102000.0,-28913000.0,-113566000.0
Interest Expense,79256000.0,117406000.0,80943000.0,62593000.0,145978000.0
Interest Income,40630000.0,20965000.0,33909000.0,35701000.0,41648000.0
Normalized Income,-89385000.0,-373031720.0,23289100.0,7714100.0,46293380.0
Net Income From Continuing And Discontinued Operation,-96543000.0,-627071000.0,22276000.0,-12439000.0,-97615000.0
Total Expenses,2327254000.0,2169141000.0,2541103000.0,2351468000.0,2365986000.0
Diluted Average Shares,134321023.0,,145253901.0,145253901.0,136466821.0
Basic Average Shares,132300729.0,,124306693.0,144072980.0,136466821.0
Diluted EPS,-0.72972,,0.15336,-0.08634,-0.715676
Basic EPS,-0.72972,,0.1792,-0.08634,-0.715676
Diluted NI Availto Com Stockholders,-96543000.0,-627071000.0,22276000.0,-12439000.0,-97615000.0
Net Income Common Stockholders,-96543000.0,-627071000.0,22276000.0,-12439000.0,-97615000.0
Otherunder Preferred Stock Dividend,0.0,0.0,0.0,0.0,0.0
Net Income,-96543000.0,-627071000.0,22276000.0,-12439000.0,-97615000.0
Minority Interests,-2352000.0,-526000.0,-1659000.0,-246000.0,51000.0
Net Income Including Noncontrolling Interests,-94191000.0,-626545000.0,23935000.0,-12193000.0,-97666000.0
Net Income Continuous Operations,-94191000.0,-626545000.0,23935000.0,-12193000.0,-97666000.0
Tax Provision,4597000.0,167707000.0,18596000.0,22958000.0,22581000.0
Pretax Income,-89594000.0,-458838000.0,42531000.0,10765000.0,-75085000.0
Other Non Operating Income Expenses,-10312000.0,11467000.0,,1382000.0,15401000.0
Special Income Charges,-8477000.0,-392449000.0,-9055000.0,-19602000.0,-228688000.0
Other Special Charges,365000.0,-7043000.0,5136000.0,6765000.0,8032000.0
Restructuring And Mergern Acquisition,8112000.0,72208000.0,3919000.0,12837000.0,32523000.0
Net Non Operating Interest Income Expense,-32889000.0,-108403000.0,-48102000.0,-28913000.0,-113566000.0
Total Other Finance Cost,-5737000.0,11962000.0,1068000.0,2021000.0,9236000.0
Interest Expense Non Operating,79256000.0,117406000.0,80943000.0,62593000.0,145978000.0
Interest Income Non Operating,40630000.0,20965000.0,33909000.0,35701000.0,41648000.0
Operating Income,-21095000.0,14193000.0,86266000.0,131576000.0,127440000.0
Operating Expense,255125000.0,161298000.0,278638000.0,249508000.0,296001000.0
Other Operating Expenses,24747000.0,104761000.0,26273000.0,20056000.0,18542000.0
Depreciation And Amortization In Income Statement,2096000.0,2096000.0,2110000.0,729000.0,2112000.0
Depreciation Income Statement,2096000.0,2096000.0,2110000.0,729000.0,2112000.0
Selling General And Administration,228282000.0,227941000.0,250255000.0,228723000.0,275347000.0
Selling And Marketing Expense,104446000.0,110040000.0,122372000.0,117535000.0,157494000.0
General And Administrative Expense,123836000.0,117901000.0,127883000.0,111188000.0,117853000.0
Gross Profit,234030000.0,175491000.0,364904000.0,381084000.0,423441000.0
Cost Of Revenue,2072129000.0,2007843000.0,2262465000.0,2101960000.0,2069985000.0
Total Revenue,2306159000.0,2183334000.0,2627369000.0,2483044000.0,2493426000.0
Operating Revenue,2306159000.0,2183334000.0,2627369000.0,2483044000.0,2493426000.0
