,2025-12-31,2024-12-31,2023-12-31,2022-12-31,2021-12-31
Free Cash Flow,3447259000.0,1948401000.0,2562492000.0,797858000.0,
Repurchase Of Capital Stock,-266954000.0,-148945000.0,0.0,0.0,
Repayment Of Debt,-5614853000.0,-3152441000.0,-3508638000.0,-6199622000.0,
Issuance Of Debt,8669139000.0,4179974000.0,2903031000.0,1519580000.0,
Capital Expenditure,-2005243000.0,-1787175000.0,-1287330000.0,-1206836000.0,
End Cash Position,3175125000.0,2071593000.0,5925688000.0,5621769000.0,
Other Cash Adjustment Outside Changein Cash,11313000.0,0.0,0.0,,
Beginning Cash Position,2071593000.0,5925688000.0,5621769000.0,2280074000.0,
Effect Of Exchange Rate Changes,-44981000.0,32381000.0,-29952000.0,-43340000.0,
Changes In Cash,1137200000.0,-3886476000.0,333871000.0,3385035000.0,
Cash Flow From Discontinued Operation,0.0,0.0,0.0,387981000.0,
Financing Cash Flow,-1469590000.0,-1234102000.0,-2494396000.0,-6910741000.0,
Cash From Discontinued Financing Activities,-6596000.0,0.0,0.0,-179025000.0,
Cash Flow From Continuing Financing Activities,-1462994000.0,-1234102000.0,-2494396000.0,-6731716000.0,
Net Other Financing Charges,-178943000.0,-161470000.0,-221317000.0,-8297000.0,
Interest Paid Cff,-1899251000.0,-1117562000.0,-1267447000.0,-1405097000.0,
Cash Dividends Paid,-2172132000.0,-833658000.0,-400025000.0,-638280000.0,
Common Stock Dividend Paid,,,,-638280000.0,-705753000.0
Net Common Stock Issuance,-266954000.0,-148945000.0,0.0,0.0,
Common Stock Payments,-266954000.0,-148945000.0,0.0,0.0,
Net Issuance Payments Of Debt,3054286000.0,1027533000.0,-605607000.0,-4680042000.0,
Net Long Term Debt Issuance,3054286000.0,1027533000.0,-605607000.0,-4680042000.0,
Long Term Debt Payments,-5614853000.0,-3152441000.0,-3508638000.0,-6199622000.0,
Long Term Debt Issuance,8669139000.0,4179974000.0,2903031000.0,1519580000.0,
Investing Cash Flow,-2845712000.0,-6387950000.0,-1021555000.0,7903101000.0,
Cash From Discontinued Investing Activities,-34948000.0,0.0,0.0,-220190000.0,
Cash Flow From Continuing Investing Activities,-2810764000.0,-6387950000.0,-1021555000.0,8123291000.0,
Net Other Investing Changes,,,,3980699000.0,2334000.0
Net Investment Purchase And Sale,-2019031000.0,-4601297000.0,262675000.0,5377428000.0,
Sale Of Investment,429283000.0,1386252000.0,586800000.0,5377428000.0,
Purchase Of Investment,-2448314000.0,-5987549000.0,-324125000.0,0.0,
Net Business Purchase And Sale,1213510000.0,522000.0,3100000.0,-28000000.0,
Sale Of Business,1213510000.0,522000.0,3100000.0,0.0,
Purchase Of Business,0.0,0.0,-265479000.0,-28000000.0,
Net Intangibles Purchase And Sale,,,-274691000.0,-277600000.0,-237488000.0
Purchase Of Intangibles,,,-274691000.0,-277600000.0,-237488000.0
Net PPE Purchase And Sale,-2005243000.0,-1787175000.0,-1287330000.0,-1206836000.0,
Sale Of PPE,,,,,162837000.0
Purchase Of PPE,-2005243000.0,-1787175000.0,-1287330000.0,-1206836000.0,
Operating Cash Flow,5452502000.0,3735576000.0,3849822000.0,2004694000.0,
Cash From Discontinued Operating Activities,30231000.0,0.0,0.0,30550000.0,
Cash Flow From Continuing Operating Activities,5422271000.0,3735576000.0,3849822000.0,1974144000.0,
Taxes Refund Paid,-124077000.0,-308915000.0,-268558000.0,-283331000.0,
Dividend Received Cfo,11141000.0,2028000.0,12041000.0,146000.0,
Change In Working Capital,-1074839000.0,-2616157000.0,-1860093000.0,-1708544000.0,
Change In Other Working Capital,,,,,-44873000.0
Change In Other Current Liabilities,189931000.0,-160331000.0,218523000.0,677016000.0,
Change In Other Current Assets,167931000.0,-114528000.0,-87797000.0,-224379000.0,
Change In Payables And Accrued Expense,-924682000.0,-2307627000.0,-2586676000.0,1678981000.0,
Change In Accrued Expense,47615000.0,-17019000.0,30965000.0,130586000.0,
Change In Payable,-972297000.0,-2290608000.0,-2617641000.0,1548395000.0,
Change In Account Payable,-31818000.0,-1209636000.0,-1700496000.0,1557837000.0,
Change In Tax Payable,-940479000.0,-1080972000.0,-917145000.0,-9442000.0,
Change In Income Tax Payable,-940479000.0,-1080972000.0,-917145000.0,-9442000.0,
Change In Prepaid Assets,,,,,-25611000.0
Change In Inventory,-151282000.0,371244000.0,645301000.0,-1004819000.0,
Change In Receivables,-356737000.0,-404915000.0,-49444000.0,-2835343000.0,
Changes In Account Receivables,-185611000.0,180339000.0,259878000.0,-779239000.0,
Other Non Cash Items,966673000.0,886011000.0,510588000.0,699917000.0,
Provisionand Write Offof Assets,352392000.0,573010000.0,695123000.0,683335000.0,
Deferred Tax,959788000.0,1480909000.0,1253917000.0,341514000.0,
Deferred Income Tax,959788000.0,1480909000.0,1253917000.0,341514000.0,
Depreciation Amortization Depletion,1586163000.0,1212733000.0,1154794000.0,1027323000.0,
Depreciation And Amortization,1586163000.0,1212733000.0,1154794000.0,1027323000.0,
Amortization Cash Flow,,,204656000.0,158069000.0,
Amortization Of Intangibles,,,204656000.0,158069000.0,
Depreciation,1586163000.0,1212733000.0,1154794000.0,1027323000.0,
Operating Gains Losses,-3190000.0,-19943000.0,-165743000.0,-324427000.0,
Pension And Employee Benefit Expense,,,-2893000.0,1939000.0,-2393000.0
Earnings Losses From Equity Investments,66505000.0,129675000.0,-11908000.0,-12181000.0,
Gain Loss On Investment Securities,40564000.0,57458000.0,38909000.0,9944000.0,
Gain Loss On Sale Of PPE,-110259000.0,-207076000.0,-192744000.0,-322190000.0,
Net Income From Continuing Operations,2748220000.0,2525900000.0,2517753000.0,1538211000.0,
