,2025-12-31,2024-12-31,2023-12-31,2022-12-31,2021-12-31
Free Cash Flow,33155000.0,-49439000.0,652750000.0,1767835000.0,
Repurchase Of Capital Stock,-62748000.0,-62223000.0,-1582000.0,-43824000.0,
Repayment Of Debt,-719203000.0,-1266365000.0,-89995000.0,-128846000.0,
Issuance Of Debt,1900734000.0,1565024000.0,750006000.0,508000.0,
Capital Expenditure,-1075968000.0,-670903000.0,-412374000.0,-268492000.0,
End Cash Position,520271000.0,845342000.0,1343204000.0,402122000.0,
Beginning Cash Position,845342000.0,1343204000.0,402122000.0,331177000.0,
Effect Of Exchange Rate Changes,-37486000.0,-9860000.0,-75233000.0,-233332000.0,
Changes In Cash,-287585000.0,-488002000.0,1016315000.0,304277000.0,
Financing Cash Flow,-585189000.0,-558095000.0,158863000.0,-1673236000.0,
Interest Paid Cff,-382599000.0,-354643000.0,-153984000.0,-145724000.0,
Cash Dividends Paid,-1319692000.0,-438648000.0,-345392000.0,-1355350000.0,
Net Common Stock Issuance,-62748000.0,-62223000.0,-1582000.0,-43824000.0,
Common Stock Payments,-62748000.0,-62223000.0,-1582000.0,-43824000.0,
Net Issuance Payments Of Debt,1181531000.0,298659000.0,660011000.0,-128338000.0,
Net Long Term Debt Issuance,1181531000.0,298659000.0,660011000.0,-128338000.0,
Long Term Debt Payments,-719203000.0,-1266365000.0,-89995000.0,-128846000.0,
Long Term Debt Issuance,1900734000.0,1565024000.0,750006000.0,508000.0,
Investing Cash Flow,-811519000.0,-551371000.0,-207672000.0,-58814000.0,
Interest Received Cfi,,,0.0,0.0,0.0
Net Investment Purchase And Sale,264449000.0,134532000.0,209138000.0,279426000.0,
Sale Of Investment,,,209138000.0,279426000.0,
Purchase Of Investment,,,,,-1102364000.0
Net Business Purchase And Sale,0.0,-15000000.0,-4436000.0,-69748000.0,
Purchase Of Business,0.0,-15000000.0,-4436000.0,-69748000.0,
Net PPE Purchase And Sale,-1075968000.0,-670903000.0,-412374000.0,-268492000.0,
Purchase Of PPE,-1075968000.0,-670903000.0,-412374000.0,-268492000.0,
Operating Cash Flow,1109123000.0,621464000.0,1065124000.0,2036327000.0,
Taxes Refund Paid,-55916000.0,-138105000.0,-478176000.0,-504931000.0,
Change In Working Capital,-178415000.0,-387340000.0,69381000.0,-125288000.0,
Change In Other Current Liabilities,-9616000.0,-50391000.0,-31543000.0,-42374000.0,
Change In Other Current Assets,34380000.0,-20530000.0,2437000.0,19758000.0,
Change In Accrued Expense,-10347000.0,38974000.0,-62530000.0,28344000.0,
Change In Payable,-207114000.0,44280000.0,-277656000.0,-392012000.0,
Change In Inventory,-167440000.0,-172509000.0,161934000.0,-4993000.0,
Change In Receivables,182073000.0,-233750000.0,285158000.0,247180000.0,
Other Non Cash Items,451855000.0,197845000.0,111478000.0,308438000.0,
Stock Based Compensation,3240000.0,6450000.0,10867000.0,20660000.0,
Provisionand Write Offof Assets,45272000.0,-104264000.0,-9461000.0,24080000.0,
Deferred Tax,-58681000.0,-27786000.0,-41085000.0,0.0,
Depreciation And Amortization,316150000.0,322978000.0,246977000.0,247294000.0,
Depreciation,316150000.0,322978000.0,246977000.0,247294000.0,
Pension And Employee Benefit Expense,5337000.0,3986000.0,0.0,,
Gain Loss On Investment Securities,-83040000.0,-71263000.0,,,
Net Income From Continuing Operations,648720000.0,784044000.0,1165461000.0,2051990000.0,
