,2026-06-30,2026-03-31,2025-12-31,2025-09-30,2025-06-30,2025-03-31,2024-12-31
Free Cash Flow,1168000000.0,694000000.0,510000000.0,1183000000.0,688000000.0,,
Repurchase Of Capital Stock,-140000000.0,-74000000.0,0.0,0.0,0.0,,
Repayment Of Debt,-130000000.0,-1151000000.0,-92000000.0,-503000000.0,-63000000.0,,
Issuance Of Debt,161000000.0,962000000.0,1161000000.0,1011000000.0,1676000000.0,,
Capital Expenditure,-1244000000.0,-1185000000.0,-2189000000.0,-1394000000.0,-1168000000.0,,
End Cash Position,5577000000.0,5085000000.0,7372000000.0,5902000000.0,5514000000.0,,
Other Cash Adjustment Outside Changein Cash,0.0,0.0,115000000.0,0.0,-12000000.0,,
Beginning Cash Position,5085000000.0,7372000000.0,5902000000.0,5514000000.0,3955000000.0,,
Effect Of Exchange Rate Changes,17000000.0,110000000.0,-62000000.0,28000000.0,101000000.0,,
Changes In Cash,475000000.0,-2397000000.0,1417000000.0,360000000.0,1470000000.0,,
Financing Cash Flow,-109000000.0,-3008000000.0,972000000.0,-977000000.0,1613000000.0,,
Cash Flow From Continuing Financing Activities,-109000000.0,-3008000000.0,972000000.0,-977000000.0,1613000000.0,,
Cash Dividends Paid,0.0,-2745000000.0,-97000000.0,-1485000000.0,0.0,,
Net Common Stock Issuance,-140000000.0,-74000000.0,0.0,0.0,0.0,,
Common Stock Payments,-140000000.0,-74000000.0,0.0,0.0,0.0,,
Net Issuance Payments Of Debt,31000000.0,-189000000.0,1069000000.0,508000000.0,1613000000.0,,
Net Long Term Debt Issuance,31000000.0,-189000000.0,1069000000.0,508000000.0,1613000000.0,,
Long Term Debt Payments,-130000000.0,-1151000000.0,-92000000.0,-503000000.0,-63000000.0,,
Long Term Debt Issuance,161000000.0,962000000.0,1161000000.0,1011000000.0,1676000000.0,,
Investing Cash Flow,-1828000000.0,-1268000000.0,-2254000000.0,-1240000000.0,-1999000000.0,,
Cash Flow From Continuing Investing Activities,-1828000000.0,-1268000000.0,-2254000000.0,-1240000000.0,-1999000000.0,,
Net Other Investing Changes,-678000000.0,-169000000.0,-268000000.0,-971000000.0,-999000000.0,,
Dividends Received Cfi,35000000.0,28000000.0,175000000.0,58000000.0,61000000.0,,
Net Investment Purchase And Sale,59000000.0,58000000.0,143000000.0,61000000.0,107000000.0,,
Sale Of Investment,,58000000.0,,61000000.0,107000000.0,26000000.0,
Net Business Purchase And Sale,,,-115000000.0,1006000000.0,,,-838000000.0
Net PPE Purchase And Sale,,-1185000000.0,-2189000000.0,-1394000000.0,,-1255000000.0,
Purchase Of PPE,,-1185000000.0,-2189000000.0,-1394000000.0,,-1255000000.0,
Capital Expenditure Reported,,,,-1394000000.0,,,-2326000000.0
Operating Cash Flow,2412000000.0,1879000000.0,2699000000.0,2577000000.0,1856000000.0,,
Cash Flow From Continuing Operating Activities,2412000000.0,1879000000.0,2699000000.0,2577000000.0,1856000000.0,,
Taxes Refund Paid,-271000000.0,-321000000.0,-360000000.0,-558000000.0,-468000000.0,,
Interest Paid Cfo,-449000000.0,-214000000.0,-1120000000.0,-185000000.0,-400000000.0,,
Change In Working Capital,127000000.0,-863000000.0,179000000.0,-231000000.0,-8000000.0,,
Change In Other Working Capital,-85000000.0,-268000000.0,310000000.0,215000000.0,-448000000.0,,
Change In Payables And Accrued Expense,726000000.0,-262000000.0,48000000.0,105000000.0,743000000.0,,
Change In Payable,726000000.0,-262000000.0,48000000.0,105000000.0,743000000.0,,
Change In Account Payable,726000000.0,-262000000.0,48000000.0,105000000.0,743000000.0,,
Change In Inventory,-255000000.0,-214000000.0,-349000000.0,-344000000.0,-144000000.0,,
Change In Receivables,-259000000.0,-119000000.0,170000000.0,-207000000.0,-159000000.0,,
Changes In Account Receivables,-259000000.0,-119000000.0,170000000.0,-207000000.0,-159000000.0,,
Other Non Cash Items,145000000.0,573000000.0,-7017000000.0,3320000000.0,320000000.0,,
Asset Impairment Charge,-16000000.0,120000000.0,3844000000.0,370000000.0,132000000.0,,
Deferred Tax,,,14000000.0,,,,
Deferred Income Tax,,,14000000.0,,,,
Depreciation Amortization Depletion,911000000.0,845000000.0,860000000.0,761000000.0,780000000.0,,
Operating Gains Losses,183000000.0,-706000000.0,482000000.0,-338000000.0,-603000000.0,,
Earnings Losses From Equity Investments,-100000000.0,-36000000.0,369000000.0,-160000000.0,68000000.0,,
Gain Loss On Investment Securities,-39000000.0,-835000000.0,-170000000.0,-373000000.0,-643000000.0,,
Net Foreign Currency Exchange Gain Loss,322000000.0,165000000.0,283000000.0,195000000.0,-28000000.0,,
Net Income From Continuing Operations,1782000000.0,2445000000.0,-2105000000.0,2612000000.0,2103000000.0,,
