,2025-12-31,2024-12-31,2023-12-31,2022-12-31
Tax Effect Of Unusual Items,17624236.8,70043053.2,0.0,12567074.8
Tax Rate For Calcs,0.2416,0.2309,0.093029,0.1439
Normalized EBITDA,3682898000.0,3173657000.0,2729156000.0,1947109000.0
Total Unusual Items,72948000.0,303348000.0,-109641000.0,87332000.0
Total Unusual Items Excluding Goodwill,72948000.0,303348000.0,-109641000.0,87332000.0
Net Income From Continuing Operation Net Minority Interest,328702000.0,724929000.0,497555000.0,668629000.0
Reconciled Depreciation,1037831000.0,750613000.0,547118000.0,321955000.0
Reconciled Cost Of Revenue,2738110000.0,1693944000.0,1184339000.0,2821051000.0
EBITDA,3755846000.0,3477005000.0,2729156000.0,2034441000.0
EBIT,2718015000.0,2726392000.0,2182038000.0,1712486000.0
Net Interest Income,-2366453000.0,-1773412000.0,-1480427000.0,-908850000.0
Interest Expense,2284612000.0,1783782000.0,1633448000.0,931499000.0
Interest Income,18139000.0,41706000.0,153021000.0,11063000.0
Normalized Income,273378236.8,491624053.2,497555000.0,593864074.8
Net Income From Continuing And Discontinued Operation,328702000.0,380974000.0,586959000.0,668629000.0
Total Expenses,3168226000.0,2151538000.0,1519701000.0,3320524000.0
Diluted Average Shares,1061038035.0,1085054098.0,924426952.0,995844587.0
Basic Average Shares,1060964328.0,1085054098.0,924426952.0,995844587.0
Diluted EPS,0.309804,0.351042,0.634944,0.671235
Basic EPS,0.309804,0.351042,0.634944,0.671432
Diluted NI Availto Com Stockholders,328702000.0,380974000.0,586959000.0,668629000.0
Net Income Common Stockholders,328702000.0,380974000.0,586959000.0,668629000.0
Otherunder Preferred Stock Dividend,0.0,0.0,0.0,0.0
Net Income,328702000.0,380974000.0,586959000.0,668629000.0
Net Income Including Noncontrolling Interests,328702000.0,380974000.0,586959000.0,668629000.0
Net Income Discontinuous Operations,0.0,-343955000.0,89404000.0,
Net Income Continuous Operations,328702000.0,724929000.0,497555000.0,668629000.0
Tax Provision,104701000.0,217681000.0,51035000.0,112358000.0
Pretax Income,433403000.0,942610000.0,548590000.0,780987000.0
Net Non Operating Interest Income Expense,-2366453000.0,-1773412000.0,-1480427000.0,-908850000.0
Total Other Finance Cost,99980000.0,31336000.0,-16142000.0,-11586000.0
Interest Expense Non Operating,2284612000.0,1783782000.0,1633448000.0,931499000.0
Interest Income Non Operating,18139000.0,41706000.0,153021000.0,11063000.0
Operating Income,2587486000.0,2547774000.0,2029017000.0,1592930000.0
Operating Expense,430116000.0,457594000.0,335362000.0,499473000.0
Other Operating Expenses,115779000.0,199879000.0,84671000.0,46872000.0
Selling General And Administration,340200000.0,260994000.0,250691000.0,477413000.0
Selling And Marketing Expense,152717000.0,107557000.0,89066000.0,213115000.0
General And Administrative Expense,187483000.0,153437000.0,161625000.0,264298000.0
Gross Profit,3017602000.0,3005368000.0,2364379000.0,2092403000.0
Cost Of Revenue,2738110000.0,1693944000.0,1184339000.0,2821051000.0
Total Revenue,5755712000.0,4699312000.0,3548718000.0,4913454000.0
Operating Revenue,5755712000.0,4699312000.0,3548718000.0,4913454000.0
