,2025-12-31,2024-12-31,2023-12-31,2022-12-31,2021-12-31
Free Cash Flow,5214000000.0,3014000000.0,5505000000.0,536000000.0,
Repurchase Of Capital Stock,-47000000.0,-29000000.0,0.0,-234000000.0,
Repayment Of Debt,-8328000000.0,-2101000000.0,-3174000000.0,-1170000000.0,
Issuance Of Debt,3571000000.0,5925000000.0,1836000000.0,4742000000.0,
Capital Expenditure,-1452000000.0,-1134000000.0,-742000000.0,-727000000.0,
End Cash Position,3647000000.0,10480000000.0,6666000000.0,4145000000.0,
Beginning Cash Position,10480000000.0,6666000000.0,4145000000.0,3625000000.0,
Effect Of Exchange Rate Changes,-107000000.0,174000000.0,-54000000.0,28000000.0,
Changes In Cash,-6726000000.0,3640000000.0,2575000000.0,492000000.0,
Financing Cash Flow,-9250000000.0,325000000.0,-4117000000.0,1240000000.0,
Net Other Financing Charges,-170000000.0,-535000000.0,-801000000.0,-539000000.0,
Interest Paid Cff,-2613000000.0,-1314000000.0,-1447000000.0,-943000000.0,
Cash Dividends Paid,-1547000000.0,-1528000000.0,-401000000.0,-490000000.0,
Net Common Stock Issuance,-47000000.0,-29000000.0,0.0,-234000000.0,
Common Stock Payments,-47000000.0,-29000000.0,0.0,-234000000.0,
Net Issuance Payments Of Debt,-4757000000.0,3824000000.0,-1338000000.0,3572000000.0,
Net Long Term Debt Issuance,-4757000000.0,3824000000.0,-1338000000.0,3572000000.0,
Long Term Debt Payments,-8328000000.0,-2101000000.0,-3174000000.0,-1170000000.0,
Long Term Debt Issuance,3571000000.0,5925000000.0,1836000000.0,4742000000.0,
Investing Cash Flow,-4142000000.0,-833000000.0,445000000.0,-2011000000.0,
Net Other Investing Changes,277000000.0,488000000.0,1271000000.0,361000000.0,
Dividends Received Cfi,104000000.0,7000000.0,137000000.0,53000000.0,
Net Investment Purchase And Sale,67000000.0,-8000000.0,0.0,0.0,
Sale Of Investment,67000000.0,,,,
Purchase Of Investment,,-8000000.0,0.0,0.0,-1998000000.0
Net Business Purchase And Sale,-3061000000.0,-155000000.0,-190000000.0,-1693000000.0,
Sale Of Business,35000000.0,0.0,,,
Purchase Of Business,-3096000000.0,-155000000.0,-190000000.0,-1693000000.0,
Net PPE Purchase And Sale,-1452000000.0,-1134000000.0,-742000000.0,-727000000.0,
Purchase Of PPE,-1452000000.0,-1134000000.0,-742000000.0,-727000000.0,
Operating Cash Flow,6666000000.0,4148000000.0,6247000000.0,1263000000.0,
Taxes Refund Paid,-160000000.0,-64000000.0,-52000000.0,-478000000.0,
Change In Working Capital,-273000000.0,-1583000000.0,950000000.0,-2644000000.0,
Change In Other Current Assets,-254000000.0,-111000000.0,119000000.0,-162000000.0,
Change In Payable,2092000000.0,-2182000000.0,-14000000.0,622000000.0,
Change In Prepaid Assets,-1035000000.0,-442000000.0,-791000000.0,-830000000.0,
Change In Inventory,224000000.0,-149000000.0,797000000.0,-1078000000.0,
Change In Receivables,-992000000.0,1590000000.0,1136000000.0,-865000000.0,
Other Non Cash Items,1635000000.0,2337000000.0,1542000000.0,1332000000.0,
Provisionand Write Offof Assets,1050000000.0,1267000000.0,1914000000.0,1458000000.0,
Deferred Tax,-1062000000.0,-3000000000.0,-1784000000.0,-350000000.0,
Depreciation And Amortization,1068000000.0,554000000.0,554000000.0,553000000.0,
Depreciation,1068000000.0,554000000.0,554000000.0,553000000.0,
Pension And Employee Benefit Expense,101000000.0,129000000.0,111000000.0,243000000.0,
Gain Loss On Investment Securities,1944000000.0,-1250000000.0,9000000.0,733000000.0,
Net Income From Continuing Operations,1979000000.0,6367000000.0,4766000000.0,1537000000.0,
