,2026-03-31,2025-12-31,2025-06-30,2025-03-31,2024-12-31
Free Cash Flow,93733000.0,58802000.0,-14516000.0,125382000.0,-34191000.0
Repurchase Of Capital Stock,0.0,0.0,0.0,-11537000.0,-10405000.0
Repayment Of Debt,-36192000.0,-102396000.0,-7479000.0,-82688000.0,-98742000.0
Issuance Of Debt,97500000.0,54906000.0,94999000.0,2349000.0,97303000.0
Issuance Of Capital Stock,4323000.0,0.0,0.0,4409000.0,0.0
Capital Expenditure,-44529000.0,-64923000.0,-66701000.0,-46074000.0,-75498000.0
End Cash Position,349673000.0,203970000.0,211761000.0,243846000.0,307660000.0
Beginning Cash Position,203970000.0,567232000.0,243846000.0,307660000.0,454081000.0
Effect Of Exchange Rate Changes,108000.0,-38000.0,512000.0,132000.0,-33000.0
Changes In Cash,145595000.0,-363224000.0,-32597000.0,-63946000.0,-146388000.0
Financing Cash Flow,61560000.0,-425759000.0,-18306000.0,-192448000.0,-116890000.0
Net Other Financing Charges,,,,,0.0
Cash Dividends Paid,,-373392000.0,-101760000.0,-101636000.0,-102006000.0
Net Common Stock Issuance,4323000.0,0.0,0.0,-7128000.0,-10405000.0
Common Stock Payments,0.0,0.0,0.0,-11537000.0,-10405000.0
Common Stock Issuance,4323000.0,0.0,0.0,4409000.0,0.0
Net Issuance Payments Of Debt,61308000.0,-47490000.0,87520000.0,-80339000.0,-1439000.0
Net Long Term Debt Issuance,61308000.0,-47490000.0,87520000.0,-80339000.0,-1439000.0
Long Term Debt Payments,-36192000.0,-102396000.0,-7479000.0,-82688000.0,-98742000.0
Long Term Debt Issuance,97500000.0,54906000.0,94999000.0,2349000.0,97303000.0
Investing Cash Flow,-54227000.0,-61190000.0,-66476000.0,-42954000.0,-70805000.0
Dividends Received Cfi,,3694000.0,,,211000.0
Net Investment Purchase And Sale,-10013000.0,38000.0,8000.0,3104000.0,4425000.0
Net Business Purchase And Sale,0.0,,,0.0,0.0
Sale Of Business,0.0,,,0.0,
Net Intangibles Purchase And Sale,-1409000.0,-1622000.0,-2392000.0,-2725000.0,-2062000.0
Purchase Of Intangibles,-1409000.0,-1622000.0,-2392000.0,-2725000.0,-2062000.0
Net PPE Purchase And Sale,-42805000.0,-63300000.0,-64092000.0,-43333000.0,-73379000.0
Sale Of PPE,315000.0,1000.0,217000.0,16000.0,57000.0
Purchase Of PPE,-43120000.0,-63301000.0,-64309000.0,-43349000.0,-73436000.0
Operating Cash Flow,138262000.0,123725000.0,52185000.0,171456000.0,41307000.0
Taxes Refund Paid,-29208000.0,-12549000.0,-1435000.0,-21136000.0,-8323000.0
Interest Paid Cfo,-50699000.0,-20884000.0,-6323000.0,-7893000.0,-20541000.0
Change In Working Capital,46468000.0,-78506000.0,-110552000.0,38617000.0,-139788000.0
Change In Other Current Assets,-1704000.0,-1125000.0,15705000.0,-2283000.0,-707000.0
Change In Accrued Expense,7579000.0,-47130000.0,28858000.0,8553000.0,-32431000.0
Change In Payable,35547000.0,-43192000.0,-3638000.0,34836000.0,-56968000.0
Change In Inventory,-159824000.0,57523000.0,-35974000.0,-153310000.0,38512000.0
Change In Receivables,166503000.0,-40657000.0,-97556000.0,152407000.0,-85745000.0
Other Non Cash Items,37095000.0,31474000.0,16993000.0,8381000.0,4308000.0
Stock Based Compensation,-4066000.0,2147000.0,2155000.0,-894000.0,-105000.0
Provisionand Write Offof Assets,13024000.0,-1895171000.0,-2388000.0,12627000.0,11709000.0
Deferred Tax,6749000.0,4543000.0,-234174000.0,5366000.0,-5153000.0
Depreciation And Amortization,33671000.0,33729000.0,32680000.0,30592000.0,28949000.0
Depreciation,33671000.0,33729000.0,32680000.0,30592000.0,28949000.0
Gain Loss On Investment Securities,-209000.0,-40000.0,,-251000.0,-25000.0
Net Income From Continuing Operations,80133000.0,158820000.0,353277000.0,106065000.0,169220000.0
