,2026-03-31,2025-12-31,2025-09-30,2025-06-30,2025-03-31,2024-12-31
Free Cash Flow,388696000.0,41721000.0,402550000.0,115467000.0,352372000.0,
Repurchase Of Capital Stock,-19092000.0,0.0,0.0,-1000.0,-154441000.0,
Repayment Of Debt,-429827000.0,0.0,0.0,0.0,-211451000.0,
Issuance Of Debt,,500000000.0,0.0,0.0,0.0,300000000.0
Capital Expenditure,-113580000.0,-121414000.0,-119232000.0,-105592000.0,-114294000.0,
End Cash Position,571424000.0,982314000.0,625153000.0,490765000.0,586431000.0,
Beginning Cash Position,982314000.0,625153000.0,490765000.0,586431000.0,677472000.0,
Changes In Cash,-410890000.0,357161000.0,134388000.0,-95666000.0,-91041000.0,
Financing Cash Flow,-717311000.0,398702000.0,-106538000.0,-254617000.0,-467026000.0,
Cash Dividends Paid,-154967000.0,-4000.0,2000.0,,,-1000.0
Common Stock Dividend Paid,-154967000.0,-4000.0,2000.0,-149956000.0,0.0,
Net Common Stock Issuance,-19092000.0,0.0,0.0,-1000.0,-154441000.0,
Common Stock Payments,-19092000.0,0.0,0.0,-1000.0,-154441000.0,
Net Issuance Payments Of Debt,-429827000.0,500000000.0,0.0,0.0,-211451000.0,
Net Long Term Debt Issuance,-429827000.0,500000000.0,0.0,0.0,-211451000.0,
Long Term Debt Payments,-429827000.0,0.0,0.0,0.0,-211451000.0,
Long Term Debt Issuance,,500000000.0,0.0,0.0,0.0,300000000.0
Investing Cash Flow,-195855000.0,-204676000.0,-280856000.0,-62108000.0,-90681000.0,
Net Other Investing Changes,-735000.0,-18306000.0,-32930000.0,-143000.0,-80000.0,
Net Investment Purchase And Sale,-14011000.0,-64956000.0,-128694000.0,43627000.0,23693000.0,
Sale Of Investment,,,,43627000.0,23693000.0,
Purchase Of Investment,-14011000.0,,,,,
Net Business Purchase And Sale,-67529000.0,,,,0.0,
Purchase Of Business,-67529000.0,,,,0.0,
Net Intangibles Purchase And Sale,-98375000.0,-65118000.0,-85073000.0,-75411000.0,-92911000.0,
Purchase Of Intangibles,-98375000.0,-65118000.0,-85073000.0,-75411000.0,-92911000.0,
Net PPE Purchase And Sale,-15205000.0,-56296000.0,-34159000.0,-30181000.0,-21383000.0,
Purchase Of PPE,-15205000.0,-56296000.0,-34159000.0,-30181000.0,-21383000.0,
Operating Cash Flow,502276000.0,163135000.0,521782000.0,221059000.0,466666000.0,
Taxes Refund Paid,-8931000.0,-2963000.0,-4196000.0,-18455000.0,-11797000.0,
Interest Paid Cfo,-72374000.0,-203525000.0,-70136000.0,-169059000.0,-71505000.0,
Change In Working Capital,-119086000.0,-220548000.0,-53337000.0,-179081000.0,-163137000.0,
Change In Other Current Liabilities,-2748000.0,886000.0,3344000.0,-4522000.0,10527000.0,
Change In Other Current Assets,59578000.0,63283000.0,31985000.0,-129126000.0,54261000.0,
Change In Accrued Expense,64450000.0,-124913000.0,6189000.0,15822000.0,65971000.0,
Change In Payable,5095000.0,-27043000.0,9900000.0,40491000.0,-43354000.0,
Change In Prepaid Assets,-58082000.0,18927000.0,-22519000.0,36178000.0,-36891000.0,
Change In Receivables,-184983000.0,-3004000.0,-79598000.0,-136729000.0,-212371000.0,
Other Non Cash Items,150995000.0,227371000.0,174899000.0,131520000.0,118202000.0,
Provisionand Write Offof Assets,218920000.0,223148000.0,177535000.0,251621000.0,220489000.0,
Deferred Tax,-2868000.0,-2225000.0,-3416000.0,-3512000.0,-3829000.0,
Depreciation And Amortization,196566000.0,199100000.0,204992000.0,204106000.0,207421000.0,
Depreciation,196566000.0,199100000.0,204992000.0,204106000.0,207421000.0,
Gain Loss On Investment Securities,20037000.0,-66678000.0,10442000.0,19931000.0,58965000.0,
Gain Loss On Sale Of PPE,68140000.0,2110000.0,470000.0,144000.0,3762000.0,
Net Income From Continuing Operations,50877000.0,-36862000.0,84529000.0,-16156000.0,108095000.0,
